
[00:00:00.000 --> 00:00:02.740]   (audio cuts out)
[00:00:02.740 --> 00:00:06.020]   - Getting into the church and seeing
[00:00:06.020 --> 00:00:08.500]   various habits of the flesh.
[00:00:08.500 --> 00:00:11.160]   And I pray, Lord, that in seeing these things,
[00:00:11.160 --> 00:00:15.080]   we would not simply become dull or judgmental, even,
[00:00:15.080 --> 00:00:17.100]   but Father, with humility, realize that
[00:00:17.100 --> 00:00:19.020]   these are all things we need to be convicted of,
[00:00:19.020 --> 00:00:21.260]   these are all things that we are susceptible to,
[00:00:21.260 --> 00:00:23.240]   and I pray, Lord, that from learning,
[00:00:23.240 --> 00:00:25.040]   we would desire to be both protected
[00:00:25.040 --> 00:00:26.660]   and guard ourselves from it.
[00:00:26.660 --> 00:00:28.740]   I pray, Lord, that in every time we read your word,
[00:00:28.740 --> 00:00:30.100]   we would have a heart of obedience,
[00:00:30.100 --> 00:00:32.940]   we would have a desire to apply into our lives.
[00:00:32.940 --> 00:00:35.040]   It's in Christ's name we pray, amen.
[00:00:35.040 --> 00:00:37.340]   Okay.
[00:00:37.340 --> 00:00:42.220]   All right, well, taking a look at our Bible passage
[00:00:42.220 --> 00:00:47.220]   for today, 1 Corinthians chapter six, verses one through 11.
[00:00:47.220 --> 00:00:49.380]   And this is what it says.
[00:00:49.380 --> 00:00:54.300]   Does anyone of you, when he has a case against his neighbor,
[00:00:54.300 --> 00:00:57.460]   dare to go to law before the unrighteous
[00:00:57.460 --> 00:00:59.380]   and not before the saints?
[00:00:59.380 --> 00:01:02.300]   Or do you not know that the saints will judge the world?
[00:01:02.300 --> 00:01:03.860]   If the world is judged by you,
[00:01:03.860 --> 00:01:08.420]   are you not competent to constitute the smallest law courts?
[00:01:08.420 --> 00:01:11.340]   Do you not know that we will judge angels?
[00:01:11.340 --> 00:01:13.960]   How much more matters of this life?
[00:01:13.960 --> 00:01:18.960]   So if you have law courts dealing with matters of this life,
[00:01:18.960 --> 00:01:20.540]   do you appoint them as judges
[00:01:20.540 --> 00:01:23.140]   who are of no account in the church?
[00:01:23.140 --> 00:01:24.980]   I say this to your shame.
[00:01:24.980 --> 00:01:27.500]   It is so that there is not,
[00:01:27.500 --> 00:01:29.780]   all right, is it so that there is not among you
[00:01:29.780 --> 00:01:32.340]   one wise man who will be able to decide
[00:01:32.340 --> 00:01:33.980]   between his brethren?
[00:01:33.980 --> 00:01:35.820]   But brother goes to law with brother
[00:01:35.820 --> 00:01:38.740]   and that before unbelievers?
[00:01:38.740 --> 00:01:41.100]   Actually then, it is already a defeat for you
[00:01:41.100 --> 00:01:43.480]   that you have lawsuits with one another.
[00:01:43.480 --> 00:01:44.980]   Why not rather be wrong?
[00:01:44.980 --> 00:01:46.880]   Why not rather be defrauded?
[00:01:46.880 --> 00:01:50.060]   On the contrary, you yourselves wrong and defraud,
[00:01:50.060 --> 00:01:51.980]   you do this even to your brethren.
[00:01:52.820 --> 00:01:55.220]   Or do you not know that the unrighteous
[00:01:55.220 --> 00:01:57.780]   will not inherit the kingdom of God?
[00:01:57.780 --> 00:01:59.340]   Do not be deceived.
[00:01:59.340 --> 00:02:02.900]   Neither fornicators, nor idolaters, nor adulterers,
[00:02:02.900 --> 00:02:05.660]   nor effeminate, nor homosexuals, nor thieves,
[00:02:05.660 --> 00:02:08.300]   nor the covetous, nor drunkards, nor revilers,
[00:02:08.300 --> 00:02:11.460]   nor swindlers will inherit the kingdom of God.
[00:02:11.460 --> 00:02:14.260]   Such were some of you, but you were washed,
[00:02:14.260 --> 00:02:16.940]   but you were sanctified, but you were justified
[00:02:16.940 --> 00:02:19.340]   in the name of the Lord Jesus Christ
