
[00:00:00.000 --> 00:00:05.280]   All right.
[00:00:05.280 --> 00:00:08.480]   Thanks Ryan for your testimony.
[00:00:08.480 --> 00:00:12.080]   And I think that's what we're trying to do here.
[00:00:12.080 --> 00:00:18.960]   We're trying to see those many years ago how the life of Christ and the death of Christ
[00:00:18.960 --> 00:00:23.240]   and the resurrection of Christ applies to people thousands of years later just like
[00:00:23.240 --> 00:00:24.920]   Ryan.
[00:00:24.920 --> 00:00:26.960]   That's what we're doing every single day this week.
[00:00:26.960 --> 00:00:31.720]   As we get to Tuesday, that that wasn't just then.
[00:00:31.720 --> 00:00:38.800]   That Jesus was actually actively and intentionally, just as we learned both on Sunday and yesterday,
[00:00:38.800 --> 00:00:42.880]   intentionally moving his way towards the cross so that people like you and me could have
[00:00:42.880 --> 00:00:44.500]   life.
[00:00:44.500 --> 00:00:49.640]   And we're going to be continuing this observation of Jesus' walk on the cross today.
[00:00:49.640 --> 00:00:50.640]   This is Tuesday.
[00:00:50.640 --> 00:00:58.040]   And what we see on Tuesday is kind of a heightening of this desire for the religious leaders to
[00:00:58.040 --> 00:01:00.560]   ensnare and to trap Jesus.
[00:01:00.560 --> 00:01:03.160]   That's what we're going to see.
[00:01:03.160 --> 00:01:09.280]   All these different people that come into play on this Tuesday, interestingly enough,
[00:01:09.280 --> 00:01:11.840]   is not going to be Roman soldiers.
[00:01:11.840 --> 00:01:13.840]   They're not going to be Gentiles or Samaritans.
[00:01:13.840 --> 00:01:20.160]   It's going to be all different sorts of religious leaders.
[00:01:20.160 --> 00:01:24.760]   The people who are trying to ensnare Christ were the leaders of the people of God.
[00:01:24.760 --> 00:01:26.920]   They were the people of Israel.
[00:01:26.920 --> 00:01:30.120]   They're the Pharisees.
[00:01:30.120 --> 00:01:32.440]   They're scribes.
[00:01:32.440 --> 00:01:36.560]   They're these Herodians and Sadducees and priests.
[00:01:36.560 --> 00:01:43.720]   And the crazy thing is, these Jewish sects were usually at odds with each other.
[00:01:43.720 --> 00:01:47.920]   There was no unity between these people.
[00:01:47.920 --> 00:01:52.360]   But they were unifying here on this day with the same goal.
[00:01:52.360 --> 00:01:56.480]   They didn't simply want to trap Jesus.
[00:01:56.480 --> 00:02:00.640]   They wanted Jesus dead.
[00:02:00.640 --> 00:02:02.920]   Jesus knew this.
[00:02:02.920 --> 00:02:05.960]   He knew that this was on their hearts.
[00:02:05.960 --> 00:02:11.520]   Jesus knew who these teachers and religious leaders were.
[00:02:11.520 --> 00:02:19.160]   Jesus wasn't startled into this realization, and they were coming together to kill him.
[00:02:19.160 --> 00:02:22.520]   It's amazing to see what kind of obstacles can be overcome by the unity of the people
[00:02:22.520 --> 00:02:24.560]   of God, right?
[00:02:24.560 --> 00:02:29.640]   When we think about what it is for the people of God in the church of God to be unified,
[00:02:29.640 --> 00:02:34.760]   that overcomes all barriers and obstacles, that come united in a single cause of glorifying
[00:02:34.760 --> 00:02:38.360]   God and bringing his kingdom.
[00:02:38.360 --> 00:02:43.680]   But there's another side too that brings great unity, and that's what we see here today.
[00:02:43.680 --> 00:02:50.240]   A unity that comes when people, even religious, these people are seemingly morally upright
[00:02:50.240 --> 00:02:56.480]   people coming together in their hatred of God.
[00:02:56.480 --> 00:02:58.640]   Isaiah chapter 29, verse 13.
[00:02:58.640 --> 00:03:04.160]   I want to direct our attention to this verse because we commonly go to this passage to
[00:03:04.160 --> 00:03:09.840]   remember, but today let's take a little extra time to remember that this is the people that
[00:03:09.840 --> 00:03:14.160]   were being talked about here in Isaiah many, many years ago.
[00:03:14.160 --> 00:03:19.840]   It says there, "This people draw near me with their words and honor me with their lip service,
[00:03:19.840 --> 00:03:25.080]   but they remove their hearts far from me, and their reverence for me consists of tradition
[00:03:25.080 --> 00:03:29.820]   learned by rote."
[00:03:29.820 --> 00:03:33.940]   In Psalm chapter 2, there's a Psalm there that describes all these nations that are
[00:03:33.940 --> 00:03:43.860]   coming together, raging together in their unity of their opposition before God.
[00:03:43.860 --> 00:03:49.140]   And so you're going to have lots of different types of people, but anyone who is in opposition
[00:03:49.140 --> 00:03:54.580]   to God is not only found there in Psalm 2 with all the nations, but you see it very
[00:03:54.580 --> 00:04:00.260]   clearly here even in the nation of Israel, the people that were chosen by God.
[00:04:00.260 --> 00:04:02.620]   These were people who saw Jesus' miracles.
[00:04:02.620 --> 00:04:04.980]   They saw his might.
[00:04:04.980 --> 00:04:07.180]   They saw his kindness.
[00:04:07.180 --> 00:04:11.960]   They saw how compassionate and gracious and loving he was.
[00:04:11.960 --> 00:04:16.220]   They saw what he was doing and the power that he came in.
[00:04:16.220 --> 00:04:18.420]   They saw his spirit-filled teaching.
[00:04:18.420 --> 00:04:24.300]   They were wondering, "Who is this man?"
[00:04:24.300 --> 00:04:27.860]   And after seeing all this, they schemed together.
[00:04:27.860 --> 00:04:34.500]   They turn around and all these different groups of Jewish leaders come together and say, "How
[00:04:34.500 --> 00:04:41.220]   can we kill this man?"
[00:04:41.220 --> 00:04:46.780]   These are all different groups of people that were looking for some sort of an understanding
[00:04:46.780 --> 00:04:52.540]   of God, perhaps waiting for this Messiah for years and years and years.
[00:04:52.540 --> 00:04:59.740]   And when they finally encounter the man who is systematically fulfilling every single
[00:04:59.740 --> 00:05:03.820]   little prophecy that was given in the Old Testament, they come across this man and what
[00:05:03.820 --> 00:05:06.380]   happens?
[00:05:06.380 --> 00:05:09.420]   How can we kill him?
[00:05:09.420 --> 00:05:16.020]   They were studying Scripture day by day.
[00:05:16.020 --> 00:05:20.940]   When he arrives, they're seething in anger.
[00:05:20.940 --> 00:05:26.040]   They want him not just set aside, but they want to annihilate him.
[00:05:26.040 --> 00:05:28.320]   They want him to be dead.
[00:05:28.320 --> 00:05:34.000]   They actually actively plot not just his death, but they're plotting his murder.
[00:05:34.000 --> 00:05:35.000]   How can we kill him?
[00:05:35.000 --> 00:05:37.580]   Do you see the intention there?
[00:05:37.580 --> 00:05:44.140]   How can we kill him?
[00:05:44.140 --> 00:05:49.180]   They overcome great obstacles and barriers and unify before this Jesus, not to worship
[00:05:49.180 --> 00:05:51.600]   and love him, but to kill him.
[00:05:51.600 --> 00:05:56.340]   And here is this Messiah Jesus who imposes a threat on what they truly want.
[00:05:56.340 --> 00:05:59.620]   This is a kingdom that they want for themselves.
[00:05:59.620 --> 00:06:03.020]   This is a world that revolves around them.
[00:06:03.020 --> 00:06:06.180]   This is a desire to say that, "I want to live on that throne.
[00:06:06.180 --> 00:06:09.740]   I want to live as God."
[00:06:09.740 --> 00:06:13.600]   So on this day of Passion Week, on this Tuesday, this is what is heightening.
[00:06:13.600 --> 00:06:23.040]   They are scheming to get him to that cross, to kill him.
[00:06:23.040 --> 00:06:27.520]   The people who say, "Lord, Lord," are the very ones who are out to ensnare and murder
[00:06:27.520 --> 00:06:28.520]   Christ.
[00:06:28.520 --> 00:06:34.760]   And again, Jesus knew all of this.
[00:06:34.760 --> 00:06:36.560]   Think about that.
[00:06:36.560 --> 00:06:43.840]   Jesus was encountering these people and he knew exactly what they were doing.
[00:06:43.840 --> 00:06:49.280]   Jesus who came down in love to his people, to extend a hand of grace and mercy to his
[00:06:49.280 --> 00:06:54.920]   people, to spend an entire earthly lifetime wanting nothing more for them to come to know
[00:06:54.920 --> 00:07:01.480]   him, to describe to them that, "I am he you've been waiting for."
[00:07:01.480 --> 00:07:03.080]   He's been praying for them.
[00:07:03.080 --> 00:07:04.320]   He's been teaching them.
[00:07:04.320 --> 00:07:05.880]   He's been teaching them.
[00:07:05.880 --> 00:07:13.280]   He's been hoping for them to know he's condescended to humanity and their response isn't to surrender.
[00:07:13.280 --> 00:07:15.840]   Their response isn't love or awe.
[00:07:15.840 --> 00:07:18.200]   It isn't even neglect or ignorance.
[00:07:18.200 --> 00:07:20.400]   It is, "How can we kill him?"
[00:07:20.400 --> 00:07:23.880]   I'm saying this over and over for a reason because that is what we're moving towards
[00:07:23.880 --> 00:07:25.900]   here on this Passion Week.
