
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:00:02.160 --> 00:00:09.240]   - Hello, church family.
[00:00:09.240 --> 00:00:12.140]   Would you please take a moment to pray with me
[00:00:12.140 --> 00:00:14.140]   as we jump into God's word,
[00:00:14.140 --> 00:00:16.840]   continue the study, the book of Ephesians.
[00:00:16.840 --> 00:00:17.680]   Let's pray.
[00:00:17.680 --> 00:00:21.640]   Our God, we thank you so much
[00:00:21.640 --> 00:00:25.200]   that so far in the study of the book of Ephesians,
[00:00:25.200 --> 00:00:28.120]   we have been hearing and learning
[00:00:28.120 --> 00:00:32.280]   about your incredible love that has been lavished upon us.
[00:00:32.280 --> 00:00:34.840]   God, we have been learning about your intent,
[00:00:34.840 --> 00:00:37.000]   your heart's desire, and the goal that you have
[00:00:37.000 --> 00:00:41.240]   to show forth your rich, rich mercies.
[00:00:41.240 --> 00:00:45.480]   And I pray, God, that by faith we would hear and receive,
[00:00:45.480 --> 00:00:48.440]   and by faith, God, we would respond with gratitude,
[00:00:48.440 --> 00:00:50.800]   and God, we continue on to study.
[00:00:50.800 --> 00:00:51.640]   Amen.
[00:00:51.640 --> 00:00:54.720]   I pray that your spirit would bless our heart, our mind,
[00:00:54.720 --> 00:00:57.680]   and cause us, Father, Lord, to live by faith,
[00:00:57.680 --> 00:01:01.440]   that perhaps though our lives may be discouraging,
[00:01:01.440 --> 00:01:05.280]   full of worry, and God, constantly a threat,
[00:01:05.280 --> 00:01:07.680]   Lord, that we absolutely trust in you.
[00:01:07.680 --> 00:01:10.080]   Lord, God, we lift up a prayer for all those individuals
[00:01:10.080 --> 00:01:12.740]   going through difficult times right now,
[00:01:12.740 --> 00:01:14.720]   going through worrisome moments.
[00:01:14.720 --> 00:01:16.800]   We pray, Father, that you would encourage them,
[00:01:16.800 --> 00:01:19.240]   and you, Lord, in your very presence,
[00:01:19.240 --> 00:01:20.880]   we would be their solid rock.
[00:01:20.880 --> 00:01:22.660]   We thank you, it's in Christ's name we pray.
[00:01:22.660 --> 00:01:23.500]   Amen.
[00:01:23.500 --> 00:01:27.360]   Well, as we continue the study of Ephesians,
[00:01:27.360 --> 00:01:31.240]   we want to take a moment to review again.
[00:01:31.240 --> 00:01:33.320]   In the previous passage in chapter two,
[00:01:33.320 --> 00:01:38.160]   we finished off a segment that really highlighted
[00:01:38.160 --> 00:01:40.960]   different elements of the gospel, right?
[00:01:40.960 --> 00:01:43.360]   In the beginning portion of chapter two,
[00:01:43.360 --> 00:01:48.000]   we recall that Apostle Paul showed us who we were before,
[00:01:48.000 --> 00:01:51.040]   that prior to, we were formerly absolutely dead
[00:01:51.040 --> 00:01:53.240]   in our transgressions and sins.
[00:01:53.240 --> 00:01:55.340]   And he showed us that we were objects of wrath,
[00:01:55.340 --> 00:01:58.040]   children of wrath, and just like the rest, right,
[00:01:58.040 --> 00:02:00.580]   complete in disobedience and suppressed
[00:02:00.580 --> 00:02:02.600]   by so many evil forces.
[00:02:02.600 --> 00:02:05.560]   And then to teach us that we've been made alive in Christ.
[00:02:05.560 --> 00:02:07.920]   And then in the second half of that chapter,
[00:02:07.920 --> 00:02:11.040]   he showed us that formerly we were completely far off,
[00:02:11.040 --> 00:02:13.880]   but now we've been brought near by the blood of Christ.
[00:02:13.880 --> 00:02:15.480]   And at the tail end of that,
[00:02:15.480 --> 00:02:19.480]   Apostle Paul turned from the personal salvation in Christ,
[00:02:19.480 --> 00:02:22.720]   and he turned to what that means for us collectively
[00:02:22.720 --> 00:02:25.800]   as a church, what God is doing through all of that,
[00:02:25.800 --> 00:02:28.600]   and the ramifications of what that makes us.
[00:02:28.600 --> 00:02:31.180]   And what we learned was that God was causing us
[00:02:31.180 --> 00:02:35.360]   to be built up together as a household of God.
[00:02:35.360 --> 00:02:36.960]   Metaphorically and spiritually,
[00:02:36.960 --> 00:02:39.080]   we're supposed to be a temple,
[00:02:39.080 --> 00:02:41.140]   and surprisingly, he said,
[00:02:41.140 --> 00:02:44.220]   in connecting us to the many saints of old,
[00:02:44.220 --> 00:02:46.520]   that we were going to be the dwelling place spiritually
[00:02:46.520 --> 00:02:47.680]   for the Lord.
[00:02:47.680 --> 00:02:50.040]   And so that to us is actually a magnificent,
[00:02:50.040 --> 00:02:53.520]   you can say an incredibly epic, epic privilege
[00:02:53.520 --> 00:02:55.480]   that we would desire to be near,
[00:02:55.480 --> 00:02:58.840]   or that God would even desire to be near us.
[00:02:58.840 --> 00:03:02.800]   So with that said, we take a look at the structure
[00:03:02.800 --> 00:03:05.180]   of what our passage says today.
[00:03:05.180 --> 00:03:07.080]   Now, before I read our passage,
[00:03:07.080 --> 00:03:10.080]   I want to highlight that there is an interesting structure
[00:03:10.080 --> 00:03:14.520]   to this because there is a pause and a break.
[00:03:14.520 --> 00:03:16.800]   What I mean by that is, verse one,
[00:03:16.800 --> 00:03:18.920]   Apostle Paul begins this thought.
[00:03:18.920 --> 00:03:23.000]   For this reason, I Paul, the prisoner of Christ Jesus,
[00:03:23.000 --> 00:03:26.480]   for the sake of you Gentiles, and then he pauses.
[00:03:26.480 --> 00:03:29.240]   So it's an incomplete beginning portion of a thought
[00:03:29.240 --> 00:03:31.540]   saying essentially, I'm praying for you,
[00:03:31.540 --> 00:03:32.880]   but then he stops.
[00:03:32.880 --> 00:03:37.600]   And that thought actually picks up later on in verse 14.
[00:03:37.600 --> 00:03:39.600]   So it's not going to be for another two weeks
[00:03:39.600 --> 00:03:41.240]   that we're going to actually get to
[00:03:41.240 --> 00:03:42.880]   the thought he introduces.
[00:03:42.880 --> 00:03:44.880]   And essentially, the introductory thought
[00:03:44.880 --> 00:03:47.280]   is that he is praying for us
[00:03:47.280 --> 00:03:49.400]   so that we would know all the things
[00:03:49.400 --> 00:03:51.180]   that he is talking about.
[00:03:51.180 --> 00:03:54.120]   So then there is this weird, interesting section
[00:03:54.120 --> 00:03:59.040]   in verse 2 to 13, where he takes a parenthetical pause.
[00:03:59.040 --> 00:04:01.720]   But in this pause, we read,
[00:04:01.720 --> 00:04:04.240]   essentially, Apostle Paul wants to make sure
[00:04:04.240 --> 00:04:07.800]   that we actually have heard and understand.
[00:04:07.800 --> 00:04:11.000]   And so he essentially, in my own way, I like to hear,
[00:04:11.000 --> 00:04:13.720]   I like to say, Apostle Paul asks the question,
[00:04:13.720 --> 00:04:15.440]   did you really hear me?
[00:04:15.440 --> 00:04:17.640]   He's taking a moment's pause to say,
[00:04:17.640 --> 00:04:20.520]   if indeed this is actually true of you,
[00:04:20.520 --> 00:04:22.360]   that you heard this stuff.
[00:04:22.360 --> 00:04:25.020]   And so let's take a moment to read our passage.
[00:04:25.020 --> 00:04:27.800]   The word on the screen is going to be a bit small,
[00:04:27.800 --> 00:04:30.740]   so please make sure you follow along in your Bibles.
[00:04:30.740 --> 00:04:35.280]   He says this, "For this reason, I, Paul,
[00:04:35.280 --> 00:04:37.100]   "the prisoner of Christ Jesus,
[00:04:37.100 --> 00:04:39.100]   "for the sake of you Gentiles,
[00:04:39.100 --> 00:04:41.080]   "if indeed you have heard of the stewardship
[00:04:41.080 --> 00:04:44.460]   "of God's grace, which was given to me for you,
[00:04:44.460 --> 00:04:47.840]   "that by revelation there was made known to me the mystery,
[00:04:47.840 --> 00:04:50.980]   "as I wrote, which in other generations
[00:04:50.980 --> 00:04:53.280]   "was not made known to the sons of men,
[00:04:53.280 --> 00:04:57.020]   "as it now has been revealed to his holy apostles
[00:04:57.020 --> 00:04:58.440]   "and prophets in the spirit.
[00:04:58.440 --> 00:05:01.940]   "To be specific, that the Gentiles are fellow heirs
[00:05:01.940 --> 00:05:03.620]   "and fellow members of the body,
[00:05:03.620 --> 00:05:06.460]   "and fellow partakers of the promise in Christ Jesus
[00:05:06.460 --> 00:05:09.240]   "through the gospel, of which I was made a minister
[00:05:09.240 --> 00:05:11.580]   "according to the gift of God's grace,
[00:05:11.580 --> 00:05:13.480]   "which was given to me according to the working
[00:05:13.480 --> 00:05:14.880]   "of his power."
[00:05:14.880 --> 00:05:17.640]   Now this next section we're going to study in the next week,
[00:05:17.640 --> 00:05:20.720]   but let me read it for the full context of the passage.
