
[00:00:00.000 --> 00:00:07.680]   All right, good morning.
[00:00:07.680 --> 00:00:14.120]   As you can see up here, for the kids, what is this?
[00:00:14.120 --> 00:00:19.440]   I went all the way to Jerusalem to get one of these so I can use this as a prop, or I
[00:00:19.440 --> 00:00:22.440]   went outside and just ruined one of our trees.
[00:00:22.440 --> 00:00:27.640]   Today is Palm Sunday, and the reason why it's called Palm Sunday is because this is the
[00:00:27.640 --> 00:00:36.600]   day that we remember Christ coming into Jerusalem and preparing his last day that he may go
[00:00:36.600 --> 00:00:39.320]   be crucified on the cross on Friday.
[00:00:39.320 --> 00:00:44.120]   It's called Palm Sunday because the crowds were shaking the palm branches and laying
[00:00:44.120 --> 00:00:48.680]   it on the ground for the path that Jesus was taking along with the cloak.
[00:00:48.680 --> 00:00:52.920]   And so I'll explain the meaning behind the Palm Sunday during the sermon, but this is
[00:00:52.920 --> 00:00:54.000]   why it's up here.
[00:00:54.000 --> 00:00:57.080]   It's just to remind us of what day it is today.
[00:00:57.080 --> 00:01:01.480]   The text that I want to jump off of, I'm actually going to be going back and forth through the
[00:01:01.480 --> 00:01:04.600]   four different texts in the Gospels.
[00:01:04.600 --> 00:01:09.760]   As I mentioned last week, the feeding of the 5,000 is the only two of miracles that are
[00:01:09.760 --> 00:01:14.360]   mentioned in the four Gospels, but the triumphal entry, again, not as a miracle, but as an
[00:01:14.360 --> 00:01:19.040]   event of Christ is mentioned in all four Gospels because of the significance behind it.
[00:01:19.040 --> 00:01:26.720]   I'm going to be reading from Luke chapter 19, verse 28 to verse 37, and then I'll pray
[00:01:26.720 --> 00:01:27.720]   and then we'll jump in.
[00:01:27.720 --> 00:01:34.880]   "After he had said these things, he was going on ahead, going up to Jerusalem.
[00:01:34.880 --> 00:01:40.160]   When he approached Bethphage and Bethany near the mount that is called Olivet, he sent two
[00:01:40.160 --> 00:01:42.920]   of his disciples saying, 'Go into the village ahead of you.
[00:01:42.920 --> 00:01:48.400]   There, as you enter, you will find a cold tide on which no one yet has ever sat.
[00:01:48.400 --> 00:01:51.520]   Untie it and bring it here.
[00:01:51.520 --> 00:01:53.560]   If anyone asks you, 'Why are you untying it?'
[00:01:53.560 --> 00:01:56.380]   you shall say to them, 'The Lord has need of it.'
[00:01:56.380 --> 00:02:00.920]   So those who were sent went away and found it just as he had told them.
