
[00:00:00.000 --> 00:00:04.020]   [ Silence ]
[00:00:04.020 --> 00:00:10.960]   If you decide to put up your coffee carrier in the wrong room, okay?
[00:00:10.960 --> 00:00:11.960]   All right.
[00:00:11.960 --> 00:00:13.960]   So there's good topics going on.
[00:00:13.960 --> 00:00:18.960]   This is going to be more than where this is actually going to go for the full, maybe two hours.
[00:00:18.960 --> 00:00:24.460]   It might be less, but I couldn't imagine just the format we're going to do this to do it less than an hour.
[00:00:24.460 --> 00:00:29.460]   So I'll just, you know, instead of being rushed, I thought it would be better just to take the whole two hours.
[00:00:29.460 --> 00:00:36.460]   So I apologize for some of you who want to take the other, but, you know, because of this, you're here.
[00:00:36.460 --> 00:00:40.460]   But it is being recorded, so you'll get an opportunity.
[00:00:40.460 --> 00:00:47.960]   But it is a very important topic, and the first part of it is just looking at some scripture.
[00:00:47.960 --> 00:00:48.960]   Not a whole lot.
[00:00:48.960 --> 00:00:51.460]   More of this is going to be personal stories.
[00:00:51.460 --> 00:00:56.960]   So I'm just going to share a little bit about, you know, Marion and myself, our personal story with our adoption,
[00:00:56.960 --> 00:00:59.460]   some of the things that we went through, our process.
[00:00:59.460 --> 00:01:05.460]   And also, the second half is going to be we're going to have those who are currently in the process of adopting
[00:01:05.460 --> 00:01:11.460]   or in, you know, looking through foster care and wanting to get their story
[00:01:11.460 --> 00:01:16.460]   and wanting to get some Q&A time for everybody.
[00:01:16.460 --> 00:01:22.460]   So I think that would be a good way to really be blessed and encouraged about this topic.
[00:01:22.460 --> 00:01:30.460]   The reason for myself, the reason why I was -- why didn't I -- why didn't I -- I don't know.
[00:01:30.460 --> 00:01:31.960]   It'll come out as I do this.
[00:01:31.960 --> 00:01:34.460]   So why don't I just get started, okay?
[00:01:34.460 --> 00:01:38.460]   So first some, you know, Bible verses.
[00:01:38.460 --> 00:01:43.460]   Bible verses just to show the heart of God.
[00:01:43.460 --> 00:01:48.460]   I just listed, you know, six passages, and there isn't going to be a lot of exposition,
[00:01:48.460 --> 00:01:49.960]   but I think it's very clear.
[00:01:49.960 --> 00:01:55.460]   Like Deuteronomy 10, 18, it says, "He executes justice for the fatherless and the widow
[00:01:55.460 --> 00:01:59.460]   and loves the sojourner, giving him food and clothing."
[00:01:59.460 --> 00:02:03.960]   And this idea of fatherless, if you type that up, in the Old Testament,
[00:02:03.960 --> 00:02:07.960]   constantly comes up along with the widow and the sojourner,
[00:02:07.960 --> 00:02:11.960]   just showing that God's heart is with the weak,
[00:02:11.960 --> 00:02:18.960]   and you don't have the, you know, the fatherless is one of the weakest, you know, parts of society
[00:02:18.960 --> 00:02:24.960]   in the sense that they are young, they're, you know, really don't have a voice, right?
[00:02:24.960 --> 00:02:28.960]   They're not an adult, they can't speak, some of them, they're too young.
[00:02:28.960 --> 00:02:31.960]   So God's part of the fatherless.
[00:02:31.960 --> 00:02:37.960]   And in Matthew 25, 40, right, in that passage, that's the final judgment,
[00:02:37.960 --> 00:02:40.960]   and Jesus is giving this parable.
[00:02:40.960 --> 00:02:43.960]   It says, "And the king will answer them, 'What did you do?'"
[00:02:43.960 --> 00:02:46.960]   And I think everybody most of all is familiar with this passage.
[00:02:46.960 --> 00:02:52.960]   "And I say to you, as you did it to one of the least of these, my brother, you did it to me."
[00:02:52.960 --> 00:02:56.960]   And I emphasize, okay, what you do to the least, you're doing unto me,
[00:02:56.960 --> 00:03:02.960]   kind of calling the Christian body to look out for the weak
[00:03:02.960 --> 00:03:05.960]   and be the voice for those who have no voice.
[00:03:05.960 --> 00:03:11.960]   In James 1, 27, "Religion that is pure and undefiled before God the Father is this,
[00:03:11.960 --> 00:03:17.960]   to visit orphans and widows in their affliction and to keep oneself unstained from the world."
[00:03:17.960 --> 00:03:22.960]   So this idea of caring for the fatherless, this idea of looking after the orphans,
[00:03:22.960 --> 00:03:27.960]   is something that in the Old Testament, the New Testament, is a heart of God.
[00:03:27.960 --> 00:03:32.960]   Psalm 68, 5, regarding kind of the idea of adoption,
[00:03:32.960 --> 00:03:38.960]   it says, "Father of God, the Father of the fatherless and the protector of widows,
[00:03:38.960 --> 00:03:41.960]   is God in His holy habitation."
[00:03:41.960 --> 00:03:46.960]   So that's who God is, and God is one who is a father to the fatherless.
[00:03:46.960 --> 00:03:51.960]   And that is His habitation, that's what the passage says.
[00:03:51.960 --> 00:03:58.960]   Ephesians 1, 5, "He predestined us for adoption to Himself as sons through Jesus Christ,
[00:03:58.960 --> 00:04:00.960]   according to the purpose of His will."
[00:04:00.960 --> 00:04:05.960]   And when Pastor Peter Chung was sharing his message today,
[00:04:05.960 --> 00:04:10.960]   and what just dawned on me, and that was amazing,
[00:04:10.960 --> 00:04:14.960]   was in Ephesians 5, he says this, right, "He predestined us for adoption."
[00:04:14.960 --> 00:04:16.960]   Here's God adopting us.
[00:04:16.960 --> 00:04:19.960]   Then the passage he read, right, in Ephesians 2, it says,
[00:04:19.960 --> 00:04:23.960]   "In which you once walked, following the course of this world,
[00:04:23.960 --> 00:04:27.960]   following the Prince of the power of the air, the Spirit that is now at work,
[00:04:27.960 --> 00:04:30.960]   in the sons of disobedience."
[00:04:30.960 --> 00:04:39.960]   So we were once sons of disobedience to a wicked, right, wicked father,
[00:04:39.960 --> 00:04:43.960]   in the sense of this world, who is against God.
[00:04:43.960 --> 00:04:45.960]   But what does God do?
[00:04:45.960 --> 00:04:49.960]   He chooses, right, He predestines, even though we were sons of disobedience,
[00:04:49.960 --> 00:04:54.960]   He predestines us for adoption, right?
[00:04:54.960 --> 00:04:58.960]   So just emphasizing to what extent that we've been saved,
[00:04:58.960 --> 00:05:01.960]   we've been not frothed up, it's not just because He was neutral,
[00:05:01.960 --> 00:05:04.960]   but rather we were sons of disobedience.
[00:05:04.960 --> 00:05:08.960]   So I thought that was just, you know, meditating, and I thought that was amazing.
[00:05:08.960 --> 00:05:10.960]   So I just wanted to share that.
[00:05:10.960 --> 00:05:12.960]   Romans 8, 15, the last passage,
[00:05:12.960 --> 00:05:16.960]   "For you did not receive the spirit of slavery to fall back into fear,
[00:05:16.960 --> 00:05:20.960]   but you have received the spirit of adoption as sons,
[00:05:20.960 --> 00:05:23.960]   by whom we cry, 'Abba, Father.'"
[00:05:23.960 --> 00:05:27.960]   That the whole idea, "Abba, Father," He adopted us,
[00:05:27.960 --> 00:05:30.960]   not just adopted us and put us on the side,
[00:05:30.960 --> 00:05:33.960]   but rather He brought us in as an image,
[00:05:33.960 --> 00:05:36.960]   I see the image of the Father hugging the child and saying,
[00:05:36.960 --> 00:05:40.960]   "You were my child, now you can call me 'Abba, Father.'"
[00:05:40.960 --> 00:05:43.960]   To this day, don't make fun of Jonathan,
[00:05:43.960 --> 00:05:46.960]   but he calls myself, he calls me "Daddy," right?
[00:05:46.960 --> 00:05:48.960]   He's Daddy.
[00:05:48.960 --> 00:05:52.960]   And just that term, I, you know, he's an 18-year-old kid,
[00:05:52.960 --> 00:05:55.960]   so I don't expect him to call me "Daddy" while he's with his friends,
[00:05:55.960 --> 00:05:58.960]   but I still like the fact, because it's very intimate, right?
[00:05:58.960 --> 00:06:01.960]   When he's young and they call you "Daddy,"
[00:06:01.960 --> 00:06:03.960]   you don't want that to change.
[00:06:03.960 --> 00:06:05.960]   You don't want that to change.
[00:06:05.960 --> 00:06:08.960]   But in any case, yeah, the same thing with my daughter,
[00:06:08.960 --> 00:06:11.960]   she calls me "Daddy," and I'd like for her to call me "Daddy"
[00:06:11.960 --> 00:06:13.960]   as long as she can, because I want that relationship,
[00:06:13.960 --> 00:06:15.960]   I want that closeness.
[00:06:15.960 --> 00:06:18.960]   But that's what I see here, that's the kind of Father we have.
[00:06:18.960 --> 00:06:20.960]   He wants to be the Father for the Fatherless.
[00:06:20.960 --> 00:06:23.960]   He not only is your Father, He's "Abba, Father."
[00:06:23.960 --> 00:06:25.960]   Right? Okay.
[00:06:25.960 --> 00:06:32.960]   So, alright, I just wanted to show this video before I go to the definition,
[00:06:32.960 --> 00:06:36.960]   adoption, I found this, I thought it was good.
[00:06:36.960 --> 00:06:50.960]   My wife and I struggled for years to have children,
[00:06:50.960 --> 00:06:52.960]   so we were led on a journey of adoption.
[00:06:52.960 --> 00:06:54.960]   We were mounted on a table and said,
