
[00:00:00.000 --> 00:00:04.000]   (Pause)
[00:00:04.000 --> 00:00:05.000]   Alright, good morning.
[00:00:05.000 --> 00:00:09.000]   We're going to take a break from the study of Hebrews,
[00:00:09.000 --> 00:00:23.000]   and we're going to be jumping into Philippians 2, verse 14-18.
[00:00:23.000 --> 00:00:25.000]   Reading out of the NASB.
[00:00:25.000 --> 00:00:27.000]   "Do all things without grumbling or disputing,
[00:00:27.000 --> 00:00:30.000]   so that you will prove yourselves to be blameless and innocent.
[00:00:30.000 --> 00:00:34.000]   Children of God, above reproach, in the midst of a crooked and perverse generation,
[00:00:34.000 --> 00:00:37.000]   among whom you appear as lights in the world,
[00:00:37.000 --> 00:00:41.000]   holding fast the word of life, so that in the day of Christ I will have reason to glory,
[00:00:41.000 --> 00:00:45.000]   because I did not run in vain, nor toil in vain.
[00:00:45.000 --> 00:00:47.000]   But even if I am being poured out as a drink offering,
[00:00:47.000 --> 00:00:50.000]   upon the sacrifice and service of your faith,
[00:00:50.000 --> 00:00:53.000]   I rejoice and share my joy with you all.
[00:00:53.000 --> 00:00:57.000]   You too, I urge you, rejoice in the same way and share your joy with me."
[00:00:57.000 --> 00:01:01.000]   Let's pray.
[00:01:01.000 --> 00:01:05.000]   Heavenly Father, we ask for your guidance,
[00:01:05.000 --> 00:01:09.000]   and let your word go forth and nothing else.
[00:01:09.000 --> 00:01:13.000]   Help us, Lord God, to be discerning hearers,
[00:01:13.000 --> 00:01:16.000]   that we would test the scriptures, Lord God,
[00:01:16.000 --> 00:01:21.000]   and make sure that it is your voice that we hear.
[00:01:21.000 --> 00:01:24.000]   So we pray that you would protect our pulpit,
[00:01:24.000 --> 00:01:26.000]   that you would protect the hearers,
[00:01:26.000 --> 00:01:29.000]   that all that we believe and all that we apply,
[00:01:29.000 --> 00:01:32.000]   that it may be coming with your authority and your word.
[00:01:32.000 --> 00:01:36.000]   In Jesus' name we pray, amen.
[00:01:36.000 --> 00:01:40.000]   Well, Merry Thanksgiving, everybody.
[00:01:40.000 --> 00:01:44.000]   So, did you know Thanksgiving is this Thursday?
[00:01:44.000 --> 00:01:47.000]   You would never know by what's going on,
[00:01:47.000 --> 00:01:51.000]   but every single year we hear less of Thanksgiving.
[00:01:51.000 --> 00:01:53.000]   There's already talks of Christmas.
[00:01:53.000 --> 00:01:57.000]   In previous years, Christmas lights and Christmas trees
[00:01:57.000 --> 00:02:00.000]   don't get put up until after Black Friday.
[00:02:00.000 --> 00:02:04.000]   But I've heard more about Black Friday this year than I've done Thanksgiving.
[00:02:04.000 --> 00:02:06.000]   Have you heard of Thanksgiving?
[00:02:06.000 --> 00:02:09.000]   I'm trying to look for who's actually talking about Thanksgiving.
[00:02:09.000 --> 00:02:12.000]   All I've heard is what you can't do on Thanksgiving.
[00:02:12.000 --> 00:02:15.000]   You're not supposed to do this, you're not supposed to do that.
[00:02:15.000 --> 00:02:17.000]   Thanksgiving is a uniquely Christian holiday,
[00:02:17.000 --> 00:02:20.000]   and I think part of the reason, it may not be all the reason,
[00:02:20.000 --> 00:02:24.000]   but part of the reason why Thanksgiving is kind of slowly dying out
