
[00:00:00.000 --> 00:00:04.000]   [no audio]
[00:00:04.000 --> 00:00:08.000]   attention on this particular passage this morning.
[00:00:08.000 --> 00:00:12.000]   We're not going to be on this passage, I'm just going to be reading this as an opening.
[00:00:12.000 --> 00:00:16.000]   But Luke chapter 17
[00:00:16.000 --> 00:00:20.000]   and verse 11
[00:00:20.000 --> 00:00:24.000]   through 19.
[00:00:24.000 --> 00:00:28.000]   Luke chapter 17
[00:00:28.000 --> 00:00:32.000]   verse 11 through 19. "On the way to Jerusalem he was passing along between Samaria and Galilee
[00:00:32.000 --> 00:00:36.000]   and as he entered a village he was met by ten lepers who stood at a
[00:00:36.000 --> 00:00:40.000]   distance and lifted up their voices saying, 'Jesus, Master, have mercy
[00:00:40.000 --> 00:00:44.000]   on us.' When he saw them he said to them, 'Go and show yourself to the
[00:00:44.000 --> 00:00:48.000]   priests.' And as they went they were cleansed. Then one of them, when he
[00:00:48.000 --> 00:00:52.000]   saw that he was healed, turned back, praising God with a loud voice. And he
[00:00:52.000 --> 00:00:56.000]   fell on his face at Jesus' feet, giving him thanks. Now he was a Samaritan.
[00:00:56.000 --> 00:01:00.000]   Then Jesus answered, 'We're not ten cleansed, we are the nine.'
[00:01:00.000 --> 00:01:04.000]   Was no one found to return and give praise to God except this foreigner?'
[00:01:04.000 --> 00:01:08.000]   And he said to him, 'Rise and go your way, your faith has made you well.'"
[00:01:08.000 --> 00:01:12.000]   Let's pray.
[00:01:12.000 --> 00:01:16.000]   Heavenly Father, we thank you so much for this morning.
[00:01:16.000 --> 00:01:20.000]   We thank you for the body of Christ that you have placed us in
[00:01:20.000 --> 00:01:24.000]   that we may grow, keep each other accountable, to find
[00:01:24.000 --> 00:01:28.000]   encouragement and strength, and to be able to worship and run this race together.
[00:01:28.000 --> 00:01:32.000]   I pray, Father God, that the truth of your grace would
[00:01:32.000 --> 00:01:36.000]   always sustain, strengthen, and encourage and feed us.
[00:01:36.000 --> 00:01:40.000]   We pray this morning, Lord, as we search your word to know what it means to be
[00:01:40.000 --> 00:01:44.000]   thankful. Help us, Lord God, to fix our eyes upon you,
[00:01:44.000 --> 00:01:48.000]   that all that we glean from your word would be yours and not mine.
[00:01:48.000 --> 00:01:52.000]   So we entrust this time to you, Lord, in Jesus' name we pray, amen.
[00:01:52.000 --> 00:01:56.000]   Obviously this Thursday is Thanksgiving, I'm sure you are
[00:01:56.000 --> 00:02:00.000]   aware of it. Either some of you guys are going out of town to visit your family or
[00:02:00.000 --> 00:02:04.000]   family is coming in. And so I'm sure we're all aware
[00:02:04.000 --> 00:02:08.000]   of it, but every year it seems like this holiday is
[00:02:08.000 --> 00:02:12.000]   diminishing more and more. In fact, even the term Thanksgiving, I just
[00:02:12.000 --> 00:02:16.000]   don't hear it much. I hear Black Friday and what kind of
[00:02:16.000 --> 00:02:20.000]   deals are going to be on Cyber Monday. And some of you guys
[00:02:20.000 --> 00:02:24.000]   probably already scoped all that out. I don't know if people stand in front
[00:02:24.000 --> 00:02:28.000]   of stores anymore, because Cyber Monday, you can get it online. But it seems
[00:02:28.000 --> 00:02:32.000]   like Thanksgiving is almost, just kind of gradually disappearing.
[00:02:32.000 --> 00:02:36.000]   And now we just want to skip to Christmas.
[00:02:36.000 --> 00:02:40.000]   Thanksgiving, not just because it's Thanksgiving, but for Christians
[00:02:40.000 --> 00:02:44.000]   is absolutely essential. Not only, again,
[00:02:44.000 --> 00:02:48.000]   as I said, not only is it because Thanksgiving is coming up, but I want
[00:02:48.000 --> 00:02:52.000]   to search through the Scriptures this morning and look at four principles,
[00:02:52.000 --> 00:02:56.000]   four things that the Bible teaches about why Thanksgiving
