
[00:00:00.000 --> 00:00:04.000]   Good morning, everybody.
[00:00:04.000 --> 00:00:10.240]   Well, it's a blessing to be able to sing those powerful words and to give our Lord just some
[00:00:10.240 --> 00:00:11.520]   worship together.
[00:00:11.520 --> 00:00:16.440]   For those of you who are joining us for the very first time, I want to welcome you warmly.
[00:00:16.440 --> 00:00:19.520]   After the service is done, please do visit right outside.
[00:00:19.520 --> 00:00:23.880]   There's a welcome table, and our welcome team members would love to greet you, answer some
[00:00:23.880 --> 00:00:29.040]   questions that you may have, and I'll tell you just more about our church.
[00:00:29.040 --> 00:00:33.560]   So please, again, after the service is done, please stop by.
[00:00:33.560 --> 00:00:38.520]   So as you guys are well aware, pertaining to what's happening at church, there are things
[00:00:38.520 --> 00:00:43.800]   that have been postponed definitively, and then there are a lot of things that are tentative.
[00:00:43.800 --> 00:00:46.400]   And so I'll be going over some of those things.
[00:00:46.400 --> 00:00:52.480]   Importantly, for today's service, as we continue to just practice the things that are recommended,
[00:00:52.480 --> 00:00:56.360]   whether it be the distance, the washing of hands, there are sanitizer bottles right at
[00:00:56.360 --> 00:00:57.360]   the entrance.
[00:00:57.360 --> 00:01:02.080]   Today, for offering time, we're going to be having two ways that you could be doing
[00:01:02.080 --> 00:01:03.080]   your offering.
[00:01:03.080 --> 00:01:08.740]   So the first is to submit your offering via the online format, and we have various ways
[00:01:08.740 --> 00:01:10.080]   that you can do that.
[00:01:10.080 --> 00:01:14.160]   And the second is to come up to the front at the end of the service when the service
[00:01:14.160 --> 00:01:15.160]   is done.
[00:01:15.160 --> 00:01:18.320]   We have two boxes at the front for those of you who have prepared your checks.
[00:01:18.320 --> 00:01:23.560]   So again, up on the screen, there are the account information for both Venmo, that's
[00:01:23.560 --> 00:01:26.520]   also the Chase QuickPay there.
[00:01:26.520 --> 00:01:29.560]   And so again, please refer to those things, okay?
[00:01:29.560 --> 00:01:34.640]   Importantly, for midweek Bible study, our Wednesday meeting that we normally have is
[00:01:34.640 --> 00:01:36.640]   going to be moved online.
[00:01:36.640 --> 00:01:42.040]   And so likewise for the home groups, the recording will happen on Tuesday.
[00:01:42.040 --> 00:01:46.580]   So I'm going to be recording the actual Bible study with various questions and preparing
[00:01:46.580 --> 00:01:49.720]   a handout that will be distributed online.
[00:01:49.720 --> 00:01:56.200]   And then the groups and small groups can choose to meet together if possible, even in pairs
[00:01:56.200 --> 00:01:57.400]   if possible.
[00:01:57.400 --> 00:02:01.280]   But the whole idea is just to continue the efforts to make sure we're going through Scripture
[00:02:01.280 --> 00:02:06.320]   together, discussing together our reflections, and just our reflections of application as
[00:02:06.320 --> 00:02:07.320]   well.
[00:02:07.320 --> 00:02:11.960]   So please just put forth your best effort to, whether it be to discuss, again, in a
[00:02:11.960 --> 00:02:17.880]   much smaller pocket or whatnot, to again move our Bible study on to the online, okay?
[00:02:17.880 --> 00:02:20.880]   Coming up next Saturday, we're going to be doing a spring cleaning.
[00:02:20.880 --> 00:02:24.760]   We're very grateful for all of you guys who showed up yesterday to sanitize the church,
[00:02:24.760 --> 00:02:28.800]   all the door handles, the switches, they were all wiped down with Lysol and our cleaning
[00:02:28.800 --> 00:02:30.040]   solution.
[00:02:30.040 --> 00:02:32.800]   But we're going to be doing a cleaning next Saturday, and that's going to be held, and
[00:02:32.800 --> 00:02:34.940]   we're going to do a second round of that.
[00:02:34.940 --> 00:02:39.540]   In terms of the other events, for example, there is supposed to be a baptism info session
[00:02:39.540 --> 00:02:40.860]   at the end of the month.
[00:02:40.860 --> 00:02:41.860]   That's going to be postponed.
[00:02:41.860 --> 00:02:47.320]   Likewise, unfortunately, the gospel night that was scheduled for April 4th, that is
[00:02:47.320 --> 00:02:50.120]   also being postponed until further notice.
[00:02:50.120 --> 00:02:54.400]   So please continue to stay up to speed on our various announcements and sites so that
[00:02:54.400 --> 00:02:56.360]   you can know what events are happening.
[00:02:56.360 --> 00:02:59.800]   At this time, Pastor Peter Kim will come to deliver us the word.
[00:02:59.800 --> 00:03:05.040]   All right, good morning.
[00:03:05.040 --> 00:03:07.840]   Let me pray for us before we begin.
[00:03:07.840 --> 00:03:17.920]   Heavenly Father, we pray, especially in these special times for wisdom and guidance.
[00:03:17.920 --> 00:03:25.480]   Lord, we need to hear your wisdom, your guidance, your Holy Spirit to lead us in our thinking,
[00:03:25.480 --> 00:03:30.800]   in our feelings, in our lives and decision making, especially now.
[00:03:30.800 --> 00:03:35.040]   So we pray, Father, that you would help us to cut through the clutter in our lives and
[00:03:35.040 --> 00:03:38.280]   to focus our hearts and minds on you and you alone.
[00:03:38.280 --> 00:03:44.540]   In Jesus' name we pray, amen.
[00:03:44.540 --> 00:03:50.800]   We are very aware that there are probably more churches closed today than are open.
[00:03:50.800 --> 00:03:55.200]   And I know a handful of churches that are having services today, but most of the churches
[00:03:55.200 --> 00:03:59.240]   that I'm aware of have already made a decision to close.
[00:03:59.240 --> 00:04:04.960]   I want to give you some background information because there's a lot of talk, a lot of stuff
[00:04:04.960 --> 00:04:09.220]   going on online just to kind of let you know our thinking process and what pattern that
[00:04:09.220 --> 00:04:10.440]   we're following.
[00:04:10.440 --> 00:04:14.740]   And there is a possibility, again, because this is progressing pretty quickly, that we
[00:04:14.740 --> 00:04:18.600]   may make a decision, again, to not have the service next Sunday.
[00:04:18.600 --> 00:04:19.600]   So it's week to week.
[00:04:19.600 --> 00:04:23.820]   So please stay online and check your emails as often as you can.
[00:04:23.820 --> 00:04:26.020]   If you can put up that...
[00:04:26.020 --> 00:04:29.860]   Okay.
[00:04:29.860 --> 00:04:36.620]   So if you don't have Facebook, for whatever the reason, I ask you to get it.
[00:04:36.620 --> 00:04:43.740]   But if you do, I mean, obviously if you don't have it, we have emails and smoke snacks.
[00:04:43.740 --> 00:04:46.140]   It's different stuff that we can use to communicate with you.
[00:04:46.140 --> 00:04:50.980]   But those of you who do have Facebook, you probably saw this already.
[00:04:50.980 --> 00:04:53.220]   And this is the reasoning behind what we're doing.
[00:04:53.220 --> 00:04:58.860]   If you look at it, the first stage, and again, let me tell you where this is from.
[00:04:58.860 --> 00:05:05.660]   This is from a missionary doctor who was actually very intimately involved with the SARS outbreak.
[00:05:05.660 --> 00:05:08.740]   And he was in Beijing.
[00:05:08.740 --> 00:05:13.220]   And so he was in the context of not only dealing with the information and the spread of SARS,
[00:05:13.220 --> 00:05:16.260]   but which was at that time, which was a lot more deadly than what's going on right now.
[00:05:16.260 --> 00:05:20.100]   At least if you did get it.
[00:05:20.100 --> 00:05:24.220]   But to apply that in the church, like how we ought to respond to that.
[00:05:24.220 --> 00:05:25.220]   And so he made this chart.
[00:05:25.220 --> 00:05:28.600]   And I thought this was, of all the things that I saw, this was the most helpful.
[00:05:28.600 --> 00:05:32.140]   The first stage was there's no cases in my community, which is not where we are.
[00:05:32.140 --> 00:05:34.580]   We passed that several weeks ago.
[00:05:34.580 --> 00:05:39.100]   The second stage is there are cases in my community, but cases are all imported from
[00:05:39.100 --> 00:05:43.260]   another area or contracts, again, imported from other.
[00:05:43.260 --> 00:05:48.540]   Which means that somebody from the outside who had it came into the community, which
[00:05:48.540 --> 00:05:50.700]   was the case until recently.
[00:05:50.700 --> 00:05:57.900]   The third is there are one or more cases that do not have contacts to a known case, multiple
[00:05:57.900 --> 00:05:59.540]   generations of transmissions.
[00:05:59.540 --> 00:06:04.460]   Meaning that somebody who contracted it was independent of somebody that came, or at least
[00:06:04.460 --> 00:06:06.860]   they can't directly connect it.
[00:06:06.860 --> 00:06:10.620]   And there's multiple layers of generations that they gave it to somebody, and then they
[00:06:10.620 --> 00:06:13.380]   gave it to somebody else, and there's generations of this.
[00:06:13.380 --> 00:06:17.700]   The first case that they found of somebody that they can't trace from outside was found
[00:06:17.700 --> 00:06:19.480]   Thursday.
[00:06:19.480 --> 00:06:24.600]   So meaning that according to this chart, we're at not green, not yellow, but the beginning
[00:06:24.600 --> 00:06:26.460]   of the red.
[00:06:26.460 --> 00:06:30.740]   According to all the facts, most likely this is going to grow exponentially within the
[00:06:30.740 --> 00:06:32.580]   next days or weeks.
[00:06:32.580 --> 00:06:36.900]   So we're not naive to think that this is not going to happen, but we are at stage three.
[00:06:36.900 --> 00:06:41.820]   And so we have moved from stage three in caution to stage four, which is what we're doing right
[00:06:41.820 --> 00:06:42.820]   now.
[00:06:42.820 --> 00:06:47.940]   We are asking people to take precautions, the Bible studies that, again, you know, that
[00:06:47.940 --> 00:06:51.420]   we're going to try to go online as much as possible and distance ourselves, sanitize
[00:06:51.420 --> 00:06:53.100]   everything, giving instructions.
[00:06:53.100 --> 00:06:55.540]   We're doing everything that we can.
[00:06:55.540 --> 00:07:03.220]   And then if by chance that this does progress, we need to go to stage five, which is basically
[00:07:03.220 --> 00:07:06.280]   shut down everything, everything's going online, right?
[00:07:06.280 --> 00:07:10.540]   We will give that information as soon as we feel the need to do that.
[00:07:10.540 --> 00:07:14.900]   The question is, why didn't we just completely go online to begin with?
[00:07:14.900 --> 00:07:20.300]   Why didn't we go from stage one to stage five just out of precaution?
[00:07:20.300 --> 00:07:27.020]   Because there are more things to consider than just our safety.
[00:07:27.020 --> 00:07:33.300]   According to Orange County Health, not what's going on in Wuhan and Italy and even San Francisco,
[00:07:33.300 --> 00:07:39.460]   but according to Orange County Health Organization, they say that our risk at this time today
[00:07:39.460 --> 00:07:41.460]   is pretty low.
[00:07:41.460 --> 00:07:44.880]   The number of people who have contracted it versus the number of people who live in Orange
[00:07:44.880 --> 00:07:47.580]   County is one to 500,000.
[00:07:47.580 --> 00:07:50.980]   Obviously, that number is going to grow.
[00:07:50.980 --> 00:07:55.780]   So we need to be careful that we are not panicking, that we highly value the gathering of the
[00:07:55.780 --> 00:08:02.340]   people, that we are not just reacting to the information that we are hearing.
[00:08:02.340 --> 00:08:05.620]   And we are not naive to think that, "Oh, this is nothing.
[00:08:05.620 --> 00:08:10.100]   It's like a common flu and that we're kind of treating it like it's nothing."
[00:08:10.100 --> 00:08:11.140]   That is not the case.
[00:08:11.140 --> 00:08:17.900]   The leaders are in communication as often as we can, multiple times during the day,
[00:08:17.900 --> 00:08:21.700]   every information that we get, every article that is sent to us, we read it thoroughly
[00:08:21.700 --> 00:08:26.560]   and we are examining carefully, how do we balance between the high call of the gathering
[00:08:26.560 --> 00:08:30.220]   of the believers with what's going on around us?
[00:08:30.220 --> 00:08:34.260]   Again, as it progresses, we will let you know.
[00:08:34.260 --> 00:08:40.100]   But those of you who are sitting in these seats, these seats are interlocked for a reason.
[00:08:40.100 --> 00:08:44.380]   When our church was being built, the fire department came and one of the requirements
