
[00:00:00.000 --> 00:00:02.740]   (audio cuts out)
[00:00:02.740 --> 00:00:06.000]   But the husband does.
[00:00:06.000 --> 00:00:08.600]   And likewise also, the husband does not have authority
[00:00:08.600 --> 00:00:10.960]   over his own body, but the wife does.
[00:00:10.960 --> 00:00:12.960]   Stop depriving one another,
[00:00:12.960 --> 00:00:14.520]   except by agreement for a time
[00:00:14.520 --> 00:00:16.800]   so that you may devote yourself to prayer
[00:00:16.800 --> 00:00:20.880]   and to come together again so that Satan will not tempt you
[00:00:20.880 --> 00:00:22.900]   because of your lack of self-control.
[00:00:22.900 --> 00:00:27.140]   But this I say by way of concession, not a command.
[00:00:27.140 --> 00:00:31.380]   Yet I wish that all men were even as I myself am.
[00:00:31.380 --> 00:00:34.440]   However, each man has his own gift from God,
[00:00:34.440 --> 00:00:37.500]   one in this manner and another in that.
[00:00:37.500 --> 00:00:39.480]   But I say to the unmarried and to widows
[00:00:39.480 --> 00:00:42.920]   that it is good for them if they remain even as I.
[00:00:42.920 --> 00:00:45.440]   But if they do not have self-control, let them marry,
[00:00:45.440 --> 00:00:48.440]   for it is better to marry than to burn with passion.
[00:00:48.440 --> 00:00:50.440]   But to the married I give instructions,
[00:00:50.440 --> 00:00:51.920]   not I but the Lord,
[00:00:51.920 --> 00:00:54.140]   that the wife should not leave her husband.
[00:00:54.140 --> 00:00:56.400]   If she does leave, she must remain unmarried,
[00:00:56.400 --> 00:00:58.640]   or else be reconciled to her husband,
[00:00:58.640 --> 00:01:01.360]   and that the husband should not divorce his wife.
[00:01:01.360 --> 00:01:03.560]   But to the rest I say, not the Lord,
[00:01:03.560 --> 00:01:06.480]   that if any brother has a wife who is an unbeliever
[00:01:06.480 --> 00:01:09.560]   and she consents to live with him, he must not divorce her.
[00:01:09.560 --> 00:01:11.480]   And a woman who has an unbelieving husband
[00:01:11.480 --> 00:01:13.240]   and he consents to live with her,
[00:01:13.240 --> 00:01:15.680]   she must not send her husband away,
[00:01:15.680 --> 00:01:18.480]   for the unbelieving husband is sanctified through his wife,
[00:01:18.480 --> 00:01:20.440]   and the unbelieving wife is sanctified
[00:01:20.440 --> 00:01:21.960]   through her believing husband.
[00:01:21.960 --> 00:01:24.200]   For otherwise your children are unclean,
[00:01:24.200 --> 00:01:25.940]   but now they are holy.
[00:01:25.940 --> 00:01:29.200]   Yet if the unbelieving ones leave, let him leave.
[00:01:29.200 --> 00:01:32.880]   The brother or sister is not under bondage in such cases.
[00:01:32.880 --> 00:01:35.160]   But God has called us to peace.
[00:01:35.160 --> 00:01:37.000]   For how do you know, O wife,
[00:01:37.000 --> 00:01:38.760]   whether you will save your husband?
[00:01:38.760 --> 00:01:40.080]   Or how do you know, O husband,
[00:01:40.080 --> 00:01:42.320]   whether you will save your wife?
[00:01:42.320 --> 00:01:44.080]   Okay, let's take a moment to pray,
[00:01:44.080 --> 00:01:45.840]   and then we'll jump into the study.
[00:01:45.840 --> 00:01:49.440]   Heavenly Father, we thank you so much for your grace.
[00:01:49.440 --> 00:01:52.220]   God, we thank you for your love to us.
[00:01:52.220 --> 00:01:54.120]   We thank you for your care.
[00:01:54.120 --> 00:01:56.460]   But we thank you, Lord God, that you care for us
[00:01:56.460 --> 00:01:57.680]   as our Heavenly Father.
[00:01:57.680 --> 00:01:59.760]   We thank you, God, that you love us
[00:01:59.760 --> 00:02:03.260]   according to your holiness, according to your discretion.
[00:02:03.260 --> 00:02:05.240]   So God, I thank you that you instruct us.
[00:02:05.240 --> 00:02:07.600]   I thank you, God, that you cause us to be holy.
