
[00:00:00.000 --> 00:00:06.280]   All right, good morning.
[00:00:06.280 --> 00:00:10.280]   As we celebrate the Lord's resurrection,
[00:00:10.280 --> 00:00:12.920]   we're going to spend some time in John chapter 11,
[00:00:12.920 --> 00:00:14.320]   and we're actually going to work backwards
[00:00:14.320 --> 00:00:17.000]   because what happens in John chapter 11
[00:00:17.000 --> 00:00:18.920]   is really a setup for the resurrection
[00:00:18.920 --> 00:00:20.640]   that will take place.
[00:00:20.640 --> 00:00:23.080]   And so I'm not going to read a text,
[00:00:23.080 --> 00:00:24.880]   but I'm going to pray for us,
[00:00:24.880 --> 00:00:27.360]   and then we'll jump right into the sermon this morning.
[00:00:27.360 --> 00:00:30.360]   So let's pray.
[00:00:30.360 --> 00:00:34.680]   Heavenly Father, we pray for your blessing over this time.
[00:00:34.680 --> 00:00:37.840]   Help us to understand the significance of this day
[00:00:37.840 --> 00:00:40.680]   and be impacted by it,
[00:00:40.680 --> 00:00:46.160]   that our confession as you being our Lord and Savior
[00:00:46.160 --> 00:00:48.440]   will be more than mere words.
[00:00:48.440 --> 00:00:51.800]   I pray for radical changes in our hearts, Lord God,
[00:00:51.800 --> 00:00:56.160]   that we may reevaluate every part of who we are,
[00:00:56.160 --> 00:00:58.120]   what we think, what we do,
[00:00:58.120 --> 00:01:01.160]   our goals, our hopes, our dreams, Lord God.
[00:01:01.160 --> 00:01:07.000]   May all be satisfied in Christ and Christ alone.
[00:01:07.000 --> 00:01:08.840]   May your word be highlighted.
[00:01:08.840 --> 00:01:11.320]   May your very breath, Lord God,
[00:01:11.320 --> 00:01:13.280]   be experienced by the people who hear it.
[00:01:13.280 --> 00:01:17.040]   In Jesus' name we pray, amen.
[00:01:17.040 --> 00:01:19.600]   You know, if you did a survey online
[00:01:19.600 --> 00:01:22.200]   to see what's the greatest fear of mankind,
[00:01:22.200 --> 00:01:25.680]   you'll probably get many different lists.
[00:01:25.680 --> 00:01:28.240]   On some lists, they say that the greatest fear
[00:01:28.240 --> 00:01:33.080]   that most people will say is public speaking,
[00:01:33.080 --> 00:01:34.440]   which is kind of weird,
[00:01:34.440 --> 00:01:37.320]   but, you know, like people fear judgment
[00:01:37.320 --> 00:01:39.360]   when they speak in public.
[00:01:39.360 --> 00:01:43.000]   Some people fear -- their greatest fear is rejection,
[00:01:43.000 --> 00:01:46.920]   fear of heights, fear of failing.
[00:01:46.920 --> 00:01:50.600]   Now, fear of death is always in the top 10,
[00:01:50.600 --> 00:01:54.760]   but for whatever the reason, it was never number one.
[00:01:54.760 --> 00:01:57.080]   And I think the reason why it's not number one
[00:01:57.080 --> 00:02:00.560]   in most people's list is because for most people
[00:02:00.560 --> 00:02:03.720]   on a day-to-day basis, death is not real
[00:02:03.720 --> 00:02:05.800]   until we actually pass away
[00:02:05.800 --> 00:02:10.160]   or we experience the death in some way, in an intimate way.
[00:02:10.160 --> 00:02:12.960]   But I think most of us will agree
[00:02:12.960 --> 00:02:16.320]   that death is the greatest fear of all mankind.
[00:02:16.320 --> 00:02:19.000]   I mean, part of the reason why we're having service online
[00:02:19.000 --> 00:02:21.080]   is because of this fear of death.
[00:02:21.080 --> 00:02:22.480]   The world did not get shut down
[00:02:22.480 --> 00:02:24.920]   because of fear of public speaking.
[00:02:24.920 --> 00:02:28.240]   The world didn't shut down because of fear of rejection.
[00:02:28.240 --> 00:02:32.200]   The world shut down because of this pandemic,
[00:02:32.200 --> 00:02:33.400]   and it's not just a pandemic.
[00:02:33.400 --> 00:02:36.920]   If there was a cure to this pandemic, people --
[00:02:36.920 --> 00:02:39.440]   We didn't shut down. The world did not shut down
[00:02:39.440 --> 00:02:41.440]   because of fear of getting ill.
[00:02:41.440 --> 00:02:45.320]   The world shut down because there is a possibility
[00:02:45.320 --> 00:02:48.360]   that this illness can lead to death.
[00:02:48.360 --> 00:02:51.680]   But according to statistics, at least in the United States,
[00:02:51.680 --> 00:02:56.080]   the fatality rate is somewhere between 1% to 1.2%.
[00:02:56.080 --> 00:02:58.000]   At least that's what it is now.
[00:02:58.000 --> 00:02:59.640]   And they've had enough samples
[00:02:59.640 --> 00:03:01.880]   to say that that's probably accurate.
[00:03:01.880 --> 00:03:04.640]   It may even go down further as they do more testing.
[00:03:04.640 --> 00:03:07.040]   But that's 1% fatality of people
[00:03:07.040 --> 00:03:08.600]   who actually get the disease.
