
[00:00:00.000 --> 00:00:03.800]   All right, good morning.
[00:00:03.800 --> 00:00:06.800]   If you can turn your Bibles with me to Hebrews chapter 11.
[00:00:06.800 --> 00:00:09.500]   Hebrews chapter 11.
[00:00:09.500 --> 00:00:12.400]   I'm going to be reading verses 1 and 2, but actually I want
[00:00:12.400 --> 00:00:14.900]   to read it starting from verse 35 just
[00:00:14.900 --> 00:00:18.700]   so that we understand his thought flow that got us
[00:00:18.700 --> 00:00:20.700]   to chapter 11, okay?
[00:00:20.700 --> 00:00:26.200]   So I want to read it in context of verse 35 all the way
[00:00:26.200 --> 00:00:28.300]   to chapter 11 verse 2.
[00:00:28.300 --> 00:00:32.600]   Okay. Again, reading out of the NASB.
[00:00:32.600 --> 00:00:34.600]   "Therefore do not throw away your confidence
[00:00:34.600 --> 00:00:37.800]   which has a great reward, for you have need of endurance
[00:00:37.800 --> 00:00:39.500]   so that when you have done the will of God,
[00:00:39.500 --> 00:00:42.300]   you may receive what was promised.
[00:00:42.300 --> 00:00:45.400]   For yet in a little while, he who is coming will come
[00:00:45.400 --> 00:00:48.000]   and will not delay, but my righteous one shall live
[00:00:48.000 --> 00:00:50.100]   by faith, and if he shrinks back,
[00:00:50.100 --> 00:00:52.300]   my soul has no pleasure in him.
[00:00:52.300 --> 00:00:54.800]   But we are not of those who shrink back to destruction,
[00:00:54.800 --> 00:00:58.400]   but of those who have faith to the persevering of the soul.
[00:00:58.400 --> 00:01:00.800]   Now faith is the assurance of things hoped for,
[00:01:00.800 --> 00:01:03.300]   the conviction of things not seen.
[00:01:03.300 --> 00:01:06.400]   For by it, the men of old gained approval."
[00:01:06.400 --> 00:01:07.700]   Let's pray.
[00:01:07.700 --> 00:01:12.400]   Heavenly Father, we pray that you would ordain this time
[00:01:12.400 --> 00:01:17.700]   to exalt yourself, your son, Holy Spirit, in your word.
[00:01:17.700 --> 00:01:22.800]   Help us, Lord, to open our ears that we may understand, apply,
[00:01:22.800 --> 00:01:25.500]   and to be obedient to all that you have given us.
[00:01:25.500 --> 00:01:30.400]   Open our eyes that we may see a greater sight of your glory,
[00:01:30.400 --> 00:01:32.800]   that all that we do, Father God, may lead
[00:01:32.800 --> 00:01:34.200]   to a greater honor to your name.
[00:01:34.200 --> 00:01:35.800]   So we pray for your blessing over this time.
[00:01:35.800 --> 00:01:38.900]   In Jesus' name we pray, amen.
[00:01:38.900 --> 00:01:41.900]   Let me ask you, how many of you guys have been following the
[00:01:41.900 --> 00:01:44.400]   NBA finals?
[00:01:44.400 --> 00:01:48.900]   Okay, I heard the ratings have been down tremendously,
[00:01:48.900 --> 00:01:51.200]   but you know, obviously, if you've been a Lakers fan
[00:01:51.200 --> 00:01:54.200]   for a while, we haven't been here in a while.
[00:01:54.200 --> 00:01:57.400]   So it's exciting to see what's going on, but you know,
[00:01:57.400 --> 00:01:59.700]   I don't know if you've noticed, but one of the things
[00:01:59.700 --> 00:02:02.700]   that they've been doing in order to gain an edge
[00:02:02.700 --> 00:02:03.700]   and to be motivated, you know,
[00:02:03.700 --> 00:02:07.100]   how they've been wearing the Mamba jerseys,
[00:02:07.100 --> 00:02:10.600]   the black Mamba jerseys, and then so after they win a game,
[00:02:10.600 --> 00:02:12.900]   they would ask, "Do you think, you know,
