
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:00:02.160 --> 00:00:08.920]   Okay.
[00:00:08.920 --> 00:00:13.340]   Okay.
[00:00:13.340 --> 00:00:22.760]   Alright.
[00:00:22.760 --> 00:00:27.000]   Well, as we begin our second lesson,
[00:00:27.000 --> 00:00:28.660]   I want to begin with
[00:00:29.600 --> 00:00:31.380]   just a quick review.
[00:00:31.380 --> 00:00:33.780]   Last time, Pastor Peter
[00:00:33.780 --> 00:00:35.780]   focused our study
[00:00:35.780 --> 00:00:38.600]   on the character of God and His holiness.
[00:00:38.600 --> 00:00:39.440]   Okay?
[00:00:39.440 --> 00:00:41.380]   Just want to jog your memory a little bit
[00:00:41.380 --> 00:00:42.780]   and ask you,
[00:00:42.780 --> 00:00:45.520]   in what ways did He define
[00:00:45.520 --> 00:00:47.180]   that holiness to be?
[00:00:47.180 --> 00:00:48.120]   You know?
[00:00:48.120 --> 00:00:50.620]   I'm just going to go through a couple of lists here.
[00:00:50.620 --> 00:00:53.140]   He mentioned that the holiness that God
[00:00:53.140 --> 00:00:54.640]   is described as,
[00:00:54.640 --> 00:00:55.480]   first and foremost,
[00:00:55.480 --> 00:00:57.240]   the definition we typically think of
[00:00:57.240 --> 00:00:59.840]   is that He is perfect in His morality.
[00:00:59.840 --> 00:01:00.680]   Right?
[00:01:00.680 --> 00:01:01.900]   That there isn't evil in Him.
[00:01:01.900 --> 00:01:04.360]   That there isn't sin and wickedness in Him.
[00:01:04.360 --> 00:01:05.500]   Right?
[00:01:05.500 --> 00:01:08.200]   But He elevated that by saying,
[00:01:08.200 --> 00:01:10.500]   it's not just that God is moral,
[00:01:10.500 --> 00:01:13.420]   but He is the standard of morality.
[00:01:13.420 --> 00:01:15.540]   He is the standard of perfection.
[00:01:15.540 --> 00:01:16.620]   Okay?
[00:01:16.620 --> 00:01:17.460]   Now,
[00:01:17.460 --> 00:01:19.940]   I'm not going to ask for volunteers,
[00:01:19.940 --> 00:01:20.780]   it's a big room,
[00:01:20.780 --> 00:01:23.220]   so just kind of getting you to think about,
[00:01:23.220 --> 00:01:26.500]   and then as He stated that God in His morality,
[00:01:26.500 --> 00:01:28.300]   or in His perfection,
[00:01:28.300 --> 00:01:29.640]   is the standard,
[00:01:29.640 --> 00:01:33.480]   He went on to talk about how God is truly unique.
[00:01:33.480 --> 00:01:35.380]   That there is nobody like Him.
[00:01:35.380 --> 00:01:37.980]   And this uniqueness about God
[00:01:37.980 --> 00:01:41.440]   contributes to our understanding of how God is holy.
[00:01:41.440 --> 00:01:42.280]   And what's more,
