
[00:00:00.000 --> 00:00:05.000]   [BLANK_AUDIO]
[00:00:05.000 --> 00:00:07.800]   >> Okay, great, good afternoon, everybody.
[00:00:07.800 --> 00:00:12.280]   I was a little bit worried that right after lunch, we'd all be a little sleepy.
[00:00:12.280 --> 00:00:14.580]   Good thing they have this room down to ice cold.
[00:00:14.580 --> 00:00:18.320]   >> [LAUGH] >> So that we can all sleep.
[00:00:18.320 --> 00:00:23.800]   Now, the second session is entitled,
[00:00:23.800 --> 00:00:30.520]   The Anchor Family, and we're gonna walk through being anchored in Christ.
[00:00:30.520 --> 00:00:33.400]   This arena is of our life.
[00:00:33.400 --> 00:00:37.880]   And I'm so very thankful for the last session that we had.
[00:00:37.880 --> 00:00:41.240]   In thinking about, ultimately, our salvation, and
[00:00:41.240 --> 00:00:44.720]   thinking about a key concept like purpose.
[00:00:44.720 --> 00:00:50.440]   Now, what I'm saying is I'm really digging the entire analogy or
[00:00:50.440 --> 00:00:55.520]   illustration of the anchor, long term, things like that.
[00:00:55.520 --> 00:00:58.800]   Because truly when it comes to these major stages of our lives,
[00:00:58.800 --> 00:01:04.440]   whether it be that we're moving from student life to young adult life.
[00:01:04.440 --> 00:01:07.600]   Or moving from young adult life to singlehood and marriage.
[00:01:07.600 --> 00:01:10.000]   And ultimately then starting your own family.
[00:01:10.000 --> 00:01:12.880]   And then you're moving to another stage where you have children.
[00:01:12.880 --> 00:01:16.680]   Within each of these stages, there is a drift.
[00:01:16.680 --> 00:01:20.400]   Meaning there is a potential threat of strain because there's so
[00:01:20.400 --> 00:01:23.200]   many different things that come at you, right?
[00:01:23.200 --> 00:01:26.200]   Whether it be temptations, distractions.
[00:01:26.200 --> 00:01:29.360]   You can even literally call it storms because sometimes
[00:01:29.360 --> 00:01:32.560]   it's incredibly difficult to navigate through these things.
[00:01:32.560 --> 00:01:38.120]   When it comes to starting a family, you guys have experienced that maybe
[00:01:38.120 --> 00:01:43.240]   some of these distractions, the difficulties, are more intense.
[00:01:43.240 --> 00:01:45.080]   Because it simply gets multiplied.
[00:01:45.080 --> 00:01:47.520]   You thought you were busy when you were single.
[00:01:47.520 --> 00:01:49.600]   And the next thing you know, you're like, well, goodness.
[00:01:49.600 --> 00:01:52.280]   The busyness just tripled, quadrupled.
[00:01:52.280 --> 00:01:55.560]   And some of you guys, whatever the term is for six people, right?
[00:01:55.560 --> 00:01:57.480]   You just got bigger and bigger.
[00:01:57.480 --> 00:02:02.320]   And what's more, you experience your fatigue grow at an exponential rate.
[00:02:02.320 --> 00:02:03.560]   How tired you are.
[00:02:03.560 --> 00:02:06.680]   And people are looking at each other like, man, you think you're tired.
[00:02:06.680 --> 00:02:08.880]   Let me tell you how tired I am.
[00:02:08.880 --> 00:02:12.920]   And people are all competing with each other, talking about how tired we are.
[00:02:12.920 --> 00:02:14.200]   Okay?
[00:02:14.200 --> 00:02:16.240]   But in the midst of all those various storms,
[00:02:16.240 --> 00:02:20.680]   whether it be not only fatigue and tiredness, but the worries.
[00:02:20.680 --> 00:02:22.200]   The worry multiplies.
[00:02:22.200 --> 00:02:24.160]   The concern, right?
[00:02:24.160 --> 00:02:26.880]   It's multifaceted.
[00:02:26.880 --> 00:02:31.760]   Within these things, we recognize that we absolutely need an anchor.
[00:02:31.760 --> 00:02:34.920]   And it's so good that we're thinking on the lines of,
[00:02:34.920 --> 00:02:38.720]   Jesus Christ is absolutely our stronghold.
[00:02:38.720 --> 00:02:42.040]   But the paradoxical thing about our Christian lives
[00:02:42.040 --> 00:02:49.160]   is that He is not simply an anchor so that we can walk this earthly life well.
[00:02:49.160 --> 00:02:51.440]   He is also the goal, right?
[00:02:51.440 --> 00:02:55.400]   He is the anchor to the goal of Him, to pursue Him.
[00:02:55.400 --> 00:02:59.480]   And so I was so thankful that Pastor Peter Chung reminded us
[00:02:59.480 --> 00:03:06.000]   that not only is our desire to be in Him, but our purpose is for Him.
[00:03:06.000 --> 00:03:09.200]   And so if you guys recall, the statement that he said multiple times was,
[00:03:09.200 --> 00:03:11.280]   "Front to end, everything God."
[00:03:11.280 --> 00:03:19.600]   So we were created by God, created for God, to love God and serve God.
[00:03:19.600 --> 00:03:22.200]   Excellent way to summarize our purpose.
[00:03:22.200 --> 00:03:30.320]   Now, as we think about this, and we have our verse here.
[00:03:30.320 --> 00:03:31.320]   Sorry.
[00:03:31.320 --> 00:03:40.440]   Our verse here put into a nice graphic that I found on the internet.
[00:03:40.440 --> 00:03:45.320]   And there's something interesting about it.
[00:03:45.320 --> 00:03:50.240]   We recognize that Jesus Christ is the absolute stronghold.
[00:03:50.240 --> 00:03:53.440]   We recognize that He is weighty.
[00:03:53.440 --> 00:03:54.480]   He's glorious.
[00:03:54.480 --> 00:03:56.840]   He's wonderful, and beautiful.
[00:03:56.840 --> 00:04:02.080]   And what's more, Jesus Christ should be what we're looking to.
[00:04:02.080 --> 00:04:07.000]   But one of the core questions that Pastor Peter Chung left off with in the last sermon
[00:04:07.000 --> 00:04:10.760]   is that where is your linkage to that?
