
[00:00:00.000 --> 00:00:04.000]   [no audio]
[00:00:04.000 --> 00:00:08.000]   ... devotions. Okay? Alright, I'll make less.
[00:00:08.000 --> 00:00:10.000]   [laughter]
[00:00:10.000 --> 00:00:15.000]   No, the homework, homework or, um, the devotions, I'll make more copy.
[00:00:15.000 --> 00:00:19.000]   But the ones that you're filling out while we're going at it, like, a lot of you guys aren't using that.
[00:00:19.000 --> 00:00:23.000]   You're putting it into your cell phone or whatever you're using.
[00:00:23.000 --> 00:00:26.000]   Anyway, alright.
[00:00:26.000 --> 00:00:29.000]   Let me pray first and we'll start.
[00:00:29.000 --> 00:00:33.000]   Heavenly Father, we thank you for today.
[00:00:33.000 --> 00:00:37.000]   We thank you, Lord God, for constant reminders and
[00:00:37.000 --> 00:00:41.000]   little blessings, Lord, that cause us to know
[00:00:41.000 --> 00:00:45.000]   that it is because you are watching over us, that you care for your people.
[00:00:45.000 --> 00:00:49.000]   And as you express your love toward the nation of Israel,
[00:00:49.000 --> 00:00:53.000]   despite their weakness, despite their shortcomings,
[00:00:53.000 --> 00:00:57.000]   Lord, it's a constant reminder to us how faithful you are
[00:00:57.000 --> 00:01:01.000]   to your own promise, to your own glory, and as a result, how we benefit from it.
[00:01:01.000 --> 00:01:05.000]   We pray, Father God, that as we see and observe and study
[00:01:05.000 --> 00:01:09.000]   how you've dealt with the nation of Israel, and how you will ultimately
[00:01:09.000 --> 00:01:13.000]   deal with all your people, help us to find confidence in you,
[00:01:13.000 --> 00:01:17.000]   that we would give you true worship, that you would be our refuge,
[00:01:17.000 --> 00:01:21.000]   that you would be the one that we find our joy and our peace in.
[00:01:21.000 --> 00:01:25.000]   And so we ask for your grace this evening as we study your word,
[00:01:25.000 --> 00:01:29.000]   that all of these things would have its effect in our hearts. In Jesus' name we pray. Amen.
[00:01:29.000 --> 00:01:33.000]   Okay, so as we're looking on chapter 42 and 43,
[00:01:33.000 --> 00:01:37.000]   I'm sure you've noticed that God is going back and forth.
[00:01:37.000 --> 00:01:41.000]   His argument of him sending
[00:01:41.000 --> 00:01:45.000]   the promised Messiah, obviously Christ, coming to save the nation of Israel.
[00:01:45.000 --> 00:01:49.000]   But then in between his promises, you'll notice that
[00:01:49.000 --> 00:01:53.000]   he's constantly reminding them that despite all the things that he's done,
[00:01:53.000 --> 00:01:57.000]   that they have a tendency to continue to strive or continue to drift away from God.
[00:01:57.000 --> 00:02:01.000]   And so, primary theme
[00:02:01.000 --> 00:02:05.000]   in chapter 42 and 43 is God's faithfulness and his redeeming grace.
[00:02:05.000 --> 00:02:09.000]   But again, it's always kind of in the context of
