
[00:00:00.000 --> 00:00:07.600]   - Hello, everyone.
[00:00:07.600 --> 00:00:12.280]   Welcome to another session of our Ephesians Bible study.
[00:00:12.280 --> 00:00:14.520]   Let's take a moment to go before the Lord.
[00:00:14.520 --> 00:00:17.160]   Pray for His blessing as we jump into the text.
[00:00:17.160 --> 00:00:18.160]   Let's pray.
[00:00:18.160 --> 00:00:20.760]   God, we thank you for your grace.
[00:00:20.760 --> 00:00:27.280]   Lord, we think about all the various difficult things that we must do in our lives.
[00:00:27.280 --> 00:00:33.360]   We think about all the various things you have blessed us with, especially our families.
[00:00:33.360 --> 00:00:39.640]   And we pray, Father, that we would hold those gifts and blessings with great thankfulness,
[00:00:39.640 --> 00:00:43.200]   but also a weightiness of responsibility.
[00:00:43.200 --> 00:00:49.160]   And God, as you challenge us to be more like you, to be like Christ in the home, I pray,
[00:00:49.160 --> 00:00:54.320]   Father, that we would be all the more inspired by your word and instruction, that we would
[00:00:54.320 --> 00:01:00.000]   be inspired by your spirit, that God, ultimately, it would be to your glory and good pleasure
[00:01:00.000 --> 00:01:05.440]   to see your children, Lord, build and continue to love as you do.
[00:01:05.440 --> 00:01:08.480]   Lord, we thank you again for your instruction.
[00:01:08.480 --> 00:01:10.520]   It's in Christ's name we pray.
[00:01:10.520 --> 00:01:11.520]   Amen.
[00:01:11.520 --> 00:01:12.520]   Okay.
[00:01:12.520 --> 00:01:16.600]   Well, let's jump right in and read our passage.
[00:01:16.600 --> 00:01:22.800]   I'm gonna start from verse 21 and make our way down to verse 33.
[00:01:22.800 --> 00:01:27.960]   And the passage says, "And be subject to one another in the fear of Christ.
[00:01:27.960 --> 00:01:31.920]   Wives, be subject to your own husbands as to the Lord.
[00:01:31.920 --> 00:01:37.080]   For the husband is the head of the wife, as Christ also is the head of the church, he
[00:01:37.080 --> 00:01:40.400]   himself being the savior of the body.
[00:01:40.400 --> 00:01:45.120]   But as the church is subject to Christ, so also the wives ought to be to their husbands
[00:01:45.120 --> 00:01:46.120]   in everything."
[00:01:46.120 --> 00:01:52.480]   Husbands, love your wives as, just as Christ also loved the church and gave
[00:01:52.480 --> 00:01:57.840]   himself up for her, so that he might sanctify her, having cleansed her by the washing of
[00:01:57.840 --> 00:02:03.320]   water with the word, that he might present to himself the church in all her glory, having
[00:02:03.320 --> 00:02:08.800]   no spot or wrinkle or any such thing, but that she would be holy and blameless.
[00:02:08.800 --> 00:02:12.720]   So husbands ought also to love their own wives as their own bodies.
[00:02:12.720 --> 00:02:18.840]   He who loves his own wife loves himself, for no one ever hated his own flesh, but nourishes
[00:02:18.840 --> 00:02:23.920]   and cherishes it just as Christ also does the church, because we are members of his
[00:02:23.920 --> 00:02:25.480]   body.
[00:02:25.480 --> 00:02:29.960]   For this reason, a man shall leave his father and mother, and shall be joined to his wife,
[00:02:29.960 --> 00:02:33.000]   and the two shall become one flesh.
[00:02:33.000 --> 00:02:38.320]   This mystery is great, but I am speaking with reference to Christ and the church.
[00:02:38.320 --> 00:02:43.800]   Nevertheless, each individual among you also is to love his own wife even as himself, and
[00:02:43.800 --> 00:02:48.960]   the wife must see to it that she respects her husband.
[00:02:48.960 --> 00:02:54.080]   Again, we just always try to typically do a quick review and connection that when you
[00:02:54.080 --> 00:02:59.520]   think about submission, you are placing yourself under, right?
[00:02:59.520 --> 00:03:04.780]   And what you realize is there is a regular pattern in our lives as Christians to diminish
[00:03:04.780 --> 00:03:06.320]   our own significance.
[00:03:06.320 --> 00:03:11.600]   And the scriptures literally tell us in other passages to regard others as much more important
[00:03:11.600 --> 00:03:12.960]   than yourself.
[00:03:12.960 --> 00:03:16.920]   And the needs of others in greater priority than yourself.
[00:03:16.920 --> 00:03:22.320]   But within that also, in the home, God has designed it that there be levels of leadership
[00:03:22.320 --> 00:03:25.160]   and submission within the home.
