
[00:00:00.000 --> 00:00:07.000]   All right.
[00:00:07.000 --> 00:00:15.000]   So I want to start by sharing a passage in Deuteronomy 23, 13, 14.
[00:00:15.000 --> 00:00:19.560]   It says, "Because the Lord your God walks in the midst of your camp to deliver you and
[00:00:19.560 --> 00:00:25.020]   to give up your enemies before you, therefore your camp must be holy so that he may not
[00:00:25.020 --> 00:00:28.800]   see anything indecent among you and turn away from you."
[00:00:28.800 --> 00:00:34.960]   So God made it very clear that he not only wanted the individuals in the camp to be holy,
[00:00:34.960 --> 00:00:37.440]   but the camp itself to be holy.
[00:00:37.440 --> 00:00:43.820]   So again, we see the same thing in the New Testament where God is rebuking the Corinthians
[00:00:43.820 --> 00:00:47.540]   church and saying, "Do you not know that you are the temple of God?"
[00:00:47.540 --> 00:00:53.760]   And whatever you do to defile the temple, it says that it is like you're defiling God
[00:00:53.760 --> 00:00:54.760]   himself.
[00:00:54.760 --> 00:00:55.820]   It's blasphemy against God.
[00:00:55.820 --> 00:01:01.040]   That's how sacred God sees the church, and that's how God saw the sacred assembly of
[00:01:01.040 --> 00:01:02.800]   the Israelites.
[00:01:02.800 --> 00:01:10.160]   The reason why I share all of this is because leprosy was a disease that not only affected
[00:01:10.160 --> 00:01:14.040]   that individual, but it affected the community.
[00:01:14.040 --> 00:01:20.680]   So everything about how to deal with this skin disease was to protect not only that
[00:01:20.680 --> 00:01:24.640]   person or to heal that person, but the community itself.
[00:01:24.640 --> 00:01:30.360]   And ultimately, it's going to point to something very meaningful in the gospel.
[00:01:30.360 --> 00:01:34.920]   So my approach today in chapter 13 is not to go into intricate details of the medical
[00:01:34.920 --> 00:01:37.000]   facts and what it points to.
[00:01:37.000 --> 00:01:42.080]   Is this really this disease of leprosy, the Hansen disease, or is this pointing to something
[00:01:42.080 --> 00:01:43.080]   else?
[00:01:43.080 --> 00:01:49.240]   We can get into all of these arguments, but in the end, I think that's an unfruitful discussion.
[00:01:49.240 --> 00:01:52.760]   We can know all of that and then just say, "Oh, okay, that's what it means."
[00:01:52.760 --> 00:01:58.400]   But what does this ultimately point to?
[00:01:58.400 --> 00:02:05.440]   The Hebrew word that's translated leprosy in Leviticus 13-15, it's not specifically
[00:02:05.440 --> 00:02:11.160]   just limited to what we know today about the disease of leprosy.
[00:02:11.160 --> 00:02:16.120]   It definitely includes that disease, but it's not limited to that.
[00:02:16.120 --> 00:02:19.720]   So it points to all kinds of various skin diseases.
[00:02:19.720 --> 00:02:24.200]   Now if you're from the medical community and you know all the facts and all the biological
[00:02:24.200 --> 00:02:28.280]   things that happens in leprosy, you may read all these things and maybe it would make more
[00:02:28.280 --> 00:02:29.680]   sense to you.
[00:02:29.680 --> 00:02:35.080]   But for most of us, all of these things are going to bleed in and we're not going to be
[00:02:35.080 --> 00:02:36.160]   able to tell the difference.
[00:02:36.160 --> 00:02:41.320]   So just for our benefit, so that it would help us, I'm just going to be referring it
[00:02:41.320 --> 00:02:48.520]   to leprosy, but the term leprosy doesn't really cover all of the things that they're mentioning.
[00:02:48.520 --> 00:02:52.320]   Just in case there's any medical people in here saying, "Hey, that's not true."
[00:02:52.320 --> 00:02:55.160]   So they already acknowledge that it covers more than that.
[00:02:55.160 --> 00:03:04.160]   But for our study, I'm just going to be referring to all of it as just leprosy.
[00:03:04.160 --> 00:03:10.000]   So among the 61 defilements of ancient Jewish law that is mentioned in the Old Testament,
[00:03:10.000 --> 00:03:14.240]   leprosy was second only to the dead body in seriousness.
[00:03:14.240 --> 00:03:17.800]   And you could clearly see that in chapter 13 and 14.
[00:03:17.800 --> 00:03:19.800]   The way that they dealt with leprosy.
[00:03:19.800 --> 00:03:26.440]   So if there's any one particular disease that really stood out among other diseases, like
[00:03:26.440 --> 00:03:29.040]   if you caught this, it was the end to your life.
[00:03:29.040 --> 00:03:35.080]   Like today, I think when you hear the word cancer, that's the word that most people are
[00:03:35.080 --> 00:03:36.080]   afraid of.
[00:03:36.080 --> 00:03:39.360]   You go to the doctor and they say it could be cancerous and automatically your heart
[00:03:39.360 --> 00:03:42.680]   drops because it leads to death.
[00:03:42.680 --> 00:03:49.200]   Well at that particular time, leprosy was cancerous and it was much more serious than
[00:03:49.200 --> 00:03:53.640]   cancer because of all the ramifications before it led to the death.
[00:03:53.640 --> 00:04:00.680]   So it was pretty much the worst thing, worst news that you can get.
[00:04:00.680 --> 00:04:06.840]   And leper wasn't allowed to come within six feet of any other human being.
[00:04:06.840 --> 00:04:08.660]   They weren't allowed to be near any human.
[00:04:08.660 --> 00:04:12.820]   So imagine what that does to an individual, that if you get leprosy, you're not allowed
[00:04:12.820 --> 00:04:17.060]   to have any contact with other human beings, including your own family members, because
[00:04:17.060 --> 00:04:20.820]   the moment you came into contact with them, they became unclean.
[00:04:20.820 --> 00:04:25.780]   So it forced complete isolation.
[00:04:25.780 --> 00:04:32.340]   This disease was considered so revolting that the leper wasn't permitted to come within
[00:04:32.340 --> 00:04:39.340]   150 feet of anyone when the wind was blowing, just in case it was infectious.
[00:04:39.340 --> 00:04:43.620]   So if there was any kind of wind, normally not even six feet, even among your family
[00:04:43.620 --> 00:04:49.260]   members, but if there was any kind of wind blowing, you couldn't be anywhere near them,
[00:04:49.260 --> 00:04:52.900]   where you couldn't even hear them.
[00:04:52.900 --> 00:04:56.980]   The Jewish custom said that you should not even greet a leper.
[00:04:56.980 --> 00:05:04.340]   Actually this is not in scripture, but the Jewish community automatically equated that
[00:05:04.340 --> 00:05:06.460]   with sin.
[00:05:06.460 --> 00:05:11.100]   So if somebody has leprosy, it must be because they've been cursed by God, so they were treated
[00:05:11.100 --> 00:05:12.100]   accordingly.
[00:05:12.100 --> 00:05:15.180]   Not only, they weren't treated with any kind of compassion.
[00:05:15.180 --> 00:05:19.900]   So not only were they completely isolated, they were considered to be unclean, and they
[00:05:19.900 --> 00:05:21.420]   deserved it.
[00:05:21.420 --> 00:05:27.180]   And one rabbi actually bragged that he would not even buy an egg on a street where he saw
[00:05:27.180 --> 00:05:32.460]   a leper, and another boasted that he threw rocks at lepers to keep them far from him.
[00:05:32.460 --> 00:05:36.460]   So it just kind of gives you the prejudice and the kind of life a leper lived.
[00:05:36.460 --> 00:05:41.100]   So think about all the situations in the New Testament where Jesus is healing a leper,
[00:05:41.100 --> 00:05:45.400]   or a leper is coming and crying out to God, that the cultural circumstance behind that
[00:05:45.400 --> 00:05:48.140]   particular individual and what he was experiencing.
[00:05:48.140 --> 00:05:52.940]   So it gives us kind of a better understanding of Jesus' interaction with the leper, and
[00:05:52.940 --> 00:05:55.900]   why that was so shocking, right?
[00:05:55.900 --> 00:06:00.180]   Everybody was so concerned that Jesus was hanging around with prostitutes and tax collectors,
[00:06:00.180 --> 00:06:05.220]   but a leper among all of them would have been considered the filthiest.
