
[00:00:00.000 --> 00:00:06.160]   All right, good morning.
[00:00:06.160 --> 00:00:10.840]   We're finally jumping back into Hebrews chapter 7.
[00:00:10.840 --> 00:00:15.160]   I'm encouraged to see how many of you are excited to get back into Hebrews,
[00:00:15.160 --> 00:00:19.440]   especially the study of Melchizedek.
[00:00:19.440 --> 00:00:22.660]   Hopefully your enthusiasm will be the same after we study it
[00:00:22.660 --> 00:00:26.800]   because it is something that really requires your commitment
[00:00:26.800 --> 00:00:30.280]   to work toward understanding.
[00:00:30.280 --> 00:00:36.120]   But it is also really rich in knowing that God had prepared this
[00:00:36.120 --> 00:00:37.600]   deep into the scripture.
[00:00:37.600 --> 00:00:43.880]   And so I think personally when I study about Melchizedek
[00:00:43.880 --> 00:00:47.520]   and what he means in the redemptive history,
[00:00:47.520 --> 00:00:50.600]   you can see God's intricate work that's going on behind the scene
[00:00:50.600 --> 00:00:52.480]   that sometimes we don't see.
[00:00:52.480 --> 00:00:56.240]   And that all of this leads to a greater confidence in who Christ is.
[00:00:56.240 --> 00:00:59.960]   So let me read the passage that we're going to be covering.
[00:00:59.960 --> 00:01:03.480]   And we're going to be in chapter 7 for about at least two to three weeks.
[00:01:03.480 --> 00:01:07.280]   But let me read you the first part of it in verses 1 through 10 before we get in.
[00:01:07.280 --> 00:01:09.800]   Okay.
[00:01:09.800 --> 00:01:13.360]   For this Melchizedek, king of Salem, priest of the most high God,
[00:01:13.360 --> 00:01:18.140]   who met Abraham as he was returning from the slaughter of the kings and blessed him,
[00:01:18.140 --> 00:01:22.040]   to whom also Abraham apportioned a tenth part of all the spoils,
[00:01:22.040 --> 00:01:25.800]   was first of all by the translation of his name, king of righteousness,
[00:01:25.800 --> 00:01:29.280]   and also king of Salem, which is king of peace.
[00:01:29.280 --> 00:01:31.560]   Without father, without mother, without genealogy,
[00:01:31.560 --> 00:01:34.080]   having neither beginning of days nor end of life,
[00:01:34.080 --> 00:01:38.480]   but made like the son of God, he remains a priest perpetually.
[00:01:38.480 --> 00:01:41.680]   Now observe how great this man was to whom Abraham, the patriarch,
[00:01:41.680 --> 00:01:44.080]   gave a tenth of the choicest spoils.
[00:01:44.080 --> 00:01:47.560]   And those indeed of the sons of Levi who received the priest's office
[00:01:47.560 --> 00:01:52.560]   have commandment in the law to collect a tenth from the people,
[00:01:52.560 --> 00:01:56.400]   that is from their brethren, although these are descended from Abraham.
[00:01:56.400 --> 00:01:58.640]   But the one whose genealogy is not traced from them
[00:01:58.640 --> 00:02:03.300]   collected a tenth from Abraham and blessed the one who had the promises.
[00:02:03.300 --> 00:02:06.020]   But without any dispute, the lesser is blessed by the greater.
[00:02:06.020 --> 00:02:09.280]   In this case, more men receive tithes, but in that case,
[00:02:09.280 --> 00:02:13.120]   one receives them of whom it is witnessed that he lives on.
[00:02:13.120 --> 00:02:18.400]   And so to speak, through Abraham, even Levi, who received his tithes, paid tithes,
[00:02:18.400 --> 00:02:22.640]   for he was still in the loins of his father when Melchizedek met him.
[00:02:22.640 --> 00:02:26.280]   Let's pray.
[00:02:26.280 --> 00:02:29.680]   Heavenly Father, we pray for your blessing.
[00:02:29.680 --> 00:02:36.440]   We pray that the study of Hebrews and specifically the priesthood of Melchizedek
[00:02:36.440 --> 00:02:42.440]   would open our eyes to see your intricate hands of your sovereignty
[00:02:42.440 --> 00:02:47.040]   and how you work together all things according to your good purpose.
[00:02:47.040 --> 00:02:51.000]   So help us, Lord God, to have eyes to see, ears to hear,
[00:02:51.000 --> 00:02:53.920]   and a heart that can be molded, Lord God, as you desire.
[00:02:53.920 --> 00:02:56.040]   In Jesus' name we pray.
[00:02:56.040 --> 00:02:57.040]   Amen.
[00:02:57.040 --> 00:03:02.960]   All right, so again, you know, we're living in really crazy times,
[00:03:02.960 --> 00:03:06.640]   and I'm sure some of you have been following the news carefully.
[00:03:06.640 --> 00:03:10.240]   I've literally been watching probably about an hour or more
[00:03:10.240 --> 00:03:13.600]   of different information that comes out every day,
[00:03:13.600 --> 00:03:16.120]   seeing what kind of judgments we're going to make,
[00:03:16.120 --> 00:03:18.720]   what is the government saying, what are the numbers,
[00:03:18.720 --> 00:03:20.040]   what's going on around the world.
[00:03:20.040 --> 00:03:23.160]   And so all of this obviously is so that we can have a better grasp
[00:03:23.160 --> 00:03:24.960]   of what to expect going forward.
[00:03:24.960 --> 00:03:28.600]   But right now the information coming out is so all over the place.
[00:03:28.600 --> 00:03:32.440]   I mean, you have the extremes of if we come out, we're going to die,
[00:03:32.440 --> 00:03:35.880]   to all of this is a hoax, is a fake, you know, this doesn't exist.
[00:03:35.880 --> 00:03:38.600]   I mean, it's all over the place.
[00:03:38.600 --> 00:03:40.880]   And some will say, well, science says this,
[00:03:40.880 --> 00:03:43.520]   and the other side will also say science says this,
