
[00:00:00.000 --> 00:00:02.740]   (audio cuts out)
[00:00:02.740 --> 00:00:05.320]   All right.
[00:00:05.320 --> 00:00:08.840]   Okay, so let's take a look at our passes tonight.
[00:00:08.840 --> 00:00:10.840]   We'll pray and then we'll jump in, okay?
[00:00:10.840 --> 00:00:13.340]   Let's take a look at our passes for tonight here.
[00:00:13.340 --> 00:00:19.240]   Let's see, it says in 1 Corinthians 11:17-34.
[00:00:19.240 --> 00:00:23.680]   And it reads, "But in giving this instruction,
[00:00:23.680 --> 00:00:25.840]   "I do not praise you, because you come together
[00:00:25.840 --> 00:00:28.300]   "not for the better, but for the worse.
[00:00:28.300 --> 00:00:32.000]   "For in the first place, when you come together as a church,
[00:00:32.000 --> 00:00:34.160]   "I hear that divisions exist among you,
[00:00:34.160 --> 00:00:35.680]   "and in part, I believe it.
[00:00:35.680 --> 00:00:39.540]   "For there must also be fractions among you,
[00:00:39.540 --> 00:00:41.100]   "so that those who are approved
[00:00:41.100 --> 00:00:43.160]   "may become evident among you.
[00:00:43.160 --> 00:00:44.620]   "Therefore, when you meet together,
[00:00:44.620 --> 00:00:47.000]   "it is not to eat the Lord's supper,
[00:00:47.000 --> 00:00:50.720]   "for in your eating, each one takes his own supper first.
[00:00:50.720 --> 00:00:53.100]   "The one is hungry and another is drunk.
[00:00:53.100 --> 00:00:54.200]   "What?
[00:00:54.200 --> 00:00:56.840]   "Do you not have houses in which to eat and drink?
[00:00:56.840 --> 00:00:58.460]   "Or do you despise the church of God
[00:00:58.460 --> 00:01:00.860]   "and shame those who have nothing?
[00:01:00.860 --> 00:01:02.280]   "What shall I say to you?
[00:01:02.280 --> 00:01:03.580]   "Shall I praise you?
[00:01:03.580 --> 00:01:06.080]   "In this, I will not praise you.
[00:01:06.080 --> 00:01:07.760]   "For I receive from the Lord
[00:01:07.760 --> 00:01:10.540]   "that which I delivered also to you.
[00:01:10.540 --> 00:01:11.760]   "The Lord Jesus in the night
[00:01:11.760 --> 00:01:13.920]   "in which he was betrayed took bread,
[00:01:13.920 --> 00:01:15.220]   "and when he had given thanks,
[00:01:15.220 --> 00:01:17.220]   "he broke it and said, 'This is my body,
[00:01:17.220 --> 00:01:18.540]   "'which is for you.
[00:01:18.540 --> 00:01:20.520]   "'Do this in remembrance of me.'
[00:01:20.520 --> 00:01:23.100]   "In the same way, he took the cup also after supper,
[00:01:23.100 --> 00:01:26.520]   "saying, 'This cup is a new covenant in my blood.
[00:01:26.520 --> 00:01:30.280]   "'Do this as often as you drink in remembrance of me.
[00:01:30.280 --> 00:01:32.920]   "'For as often as you eat this bread and drink the cup,
[00:01:32.920 --> 00:01:35.640]   "'you proclaim the Lord's death until he comes.
[00:01:35.640 --> 00:01:37.480]   "'Therefore, whoever eats the bread
[00:01:37.480 --> 00:01:40.140]   "'or drinks the cup of the Lord in an unworthy manner
[00:01:40.140 --> 00:01:43.280]   "'shall be guilty of the body and the blood of the Lord.
[00:01:43.280 --> 00:01:45.360]   "'But a man must examine himself,
[00:01:45.360 --> 00:01:47.260]   "'and in so doing, he is to eat of the bread
[00:01:47.260 --> 00:01:48.560]   "'and drink of the cup.
[00:01:48.560 --> 00:01:50.720]   "'For he who eats and drinks,
[00:01:50.720 --> 00:01:52.640]   "'eats and drinks judgment to himself
[00:01:52.640 --> 00:01:54.960]   "'if he does not judge the body rightly.
[00:01:54.960 --> 00:01:58.760]   "'For this reason, many among you are weak and sick
[00:01:58.760 --> 00:02:00.660]   "'and a number asleep.
[00:02:00.660 --> 00:02:03.040]   "'But if we judge ourselves rightly,
[00:02:03.040 --> 00:02:04.320]   "'we would not be judged.
[00:02:04.320 --> 00:02:07.140]   "'But when we are judged, we are disciplined by the Lord
[00:02:07.140 --> 00:02:10.160]   "'so that we will not be condemned along with the world.
[00:02:10.160 --> 00:02:11.860]   "'So then, my brethren,
[00:02:11.860 --> 00:02:14.660]   "'when you come together to eat, wait for one another.
