
[00:00:00.000 --> 00:00:04.000]   [audio cuts out]
[00:00:04.000 --> 00:00:08.000]   been faithful in their life and preaching the gospel to them, bringing them to church,
[00:00:08.000 --> 00:00:12.000]   and how God has used them to bring them to the faith. And we
[00:00:12.000 --> 00:00:16.000]   stopped doing that a while back because it was just getting too long. You know, so
[00:00:16.000 --> 00:00:20.000]   we had so many people and so many people praying, and so for the purpose
[00:00:20.000 --> 00:00:24.000]   of to be able to do all this in the same time, we stopped
[00:00:24.000 --> 00:00:28.000]   doing that. But nevertheless, that was a really important time to recognize
[00:00:28.000 --> 00:00:32.000]   all the people who have labored in their lives. And I know that each one of the
[00:00:32.000 --> 00:00:36.000]   people who are being baptized today, that many of you have encouraged
[00:00:36.000 --> 00:00:40.000]   them, shared with them. Some of you directly was able to share the gospel with them.
[00:00:40.000 --> 00:00:44.000]   And again, I can testify for myself with
[00:00:44.000 --> 00:00:48.000]   my children that there's a lot of people, even in this room,
[00:00:48.000 --> 00:00:52.000]   that share the gospel with my two boys who are being baptized today. And I remember
[00:00:52.000 --> 00:00:56.000]   even when they were little, little kids, you know, like in Sunday school,
[00:00:56.000 --> 00:01:00.000]   literally the Sunday school was them, and then a few of my nephews,
[00:01:00.000 --> 00:01:04.000]   and that was usually the Sunday school. And those of you who taught Sunday school at that
[00:01:04.000 --> 00:01:08.000]   time, you know, and I know that you guys share the gospel with them, and the
[00:01:08.000 --> 00:01:12.000]   youth group, youth teachers, and pastors who have been faithful in their lives.
[00:01:12.000 --> 00:01:16.000]   And so again, I'm very thankful that the room is filled with people who labor.
[00:01:16.000 --> 00:01:20.000]   Again, not only in my children's lives, but every single person that's here,
[00:01:20.000 --> 00:01:24.000]   that God uses the body of Christ in different ways. Sometimes you don't
[00:01:24.000 --> 00:01:28.000]   even know how you're being used. Sometimes you'll hear in their testimony how
[00:01:28.000 --> 00:01:32.000]   you welcome them into the church, and how that kind of opened the door
[00:01:32.000 --> 00:01:36.000]   for them to hear the gospel message. And it may mean nothing
[00:01:36.000 --> 00:01:40.000]   at that time, but how God uses different gifts and different people in their lives
[00:01:40.000 --> 00:01:44.000]   to be able to get them to this point where they're able to make a public profession.
[00:01:44.000 --> 00:01:48.000]   And so again, we want to thank all of you for laboring. And again,
[00:01:48.000 --> 00:01:52.000]   I hope that, and I know that their testimony will be a blessing to you.
[00:01:52.000 --> 00:01:56.000]   I wanted to just briefly share as a reminder about what the baptism
[00:01:56.000 --> 00:02:00.000]   is and what it is not. And then I'm going to give the rest of the time so that you can
[00:02:00.000 --> 00:02:04.000]   hear their testimonies. Baptism, in and of itself,
[00:02:04.000 --> 00:02:08.000]   has no power. So just because you're baptized
[00:02:08.000 --> 00:02:12.000]   or you're not baptized, it doesn't affect your salvation in any particular way.
[00:02:12.000 --> 00:02:16.000]   Because baptism, in and of itself, there's no power in those
[00:02:16.000 --> 00:02:20.000]   waters where you go in and you're washed, and you come out and all of a sudden you're clean.
[00:02:20.000 --> 00:02:24.000]   It's like marriage. Marriage ceremony, the ceremony
[00:02:24.000 --> 00:02:28.000]   itself is just what you do on the outside. But the ceremony in and of itself
[00:02:28.000 --> 00:02:32.000]   has no power. People get married on television all the time, but
[00:02:32.000 --> 00:02:36.000]   they're just playing. They don't make a movie and a show and they dress
[00:02:36.000 --> 00:02:40.000]   up and then they pretend like they get married and they say, "Oh, you're married now because you went through the
[00:02:40.000 --> 00:02:44.000]   ceremony." Ceremony is an outward expression of what is
[00:02:44.000 --> 00:02:48.000]   actually taking place inside. And so the real power
[00:02:48.000 --> 00:02:52.000]   behind what's happening is what God has been doing in their life. And so the baptism
[00:02:52.000 --> 00:02:56.000]   ceremony is just a public expression of what the power
[00:02:56.000 --> 00:03:00.000]   of the gospel has been doing in their lives, either at a point or
[00:03:00.000 --> 00:03:04.000]   through a series of time. So, what is
[00:03:04.000 --> 00:03:08.000]   baptism then? Baptism, the word in and of itself means
