
[00:00:00.000 --> 00:00:03.240]   All right, good morning.
[00:00:03.240 --> 00:00:06.960]   If you can turn your Bibles to Matthew chapter 22, okay?
[00:00:06.960 --> 00:00:12.040]   I promise today is the last day I'm on this text and then I'll be jumping to the book
[00:00:12.040 --> 00:00:16.920]   of Hebrews, okay?
[00:00:16.920 --> 00:00:22.920]   Matthew chapter 22, verse 36 through 40.
[00:00:22.920 --> 00:00:27.240]   "Teacher, which is the great commandment in the law?"
[00:00:27.240 --> 00:00:30.880]   And he said to him, "You shall love the Lord your God with all your heart, with all your
[00:00:30.880 --> 00:00:32.640]   soul, with all your mind."
[00:00:32.640 --> 00:00:35.880]   This is the great and foremost commandment and the second is like it.
[00:00:35.880 --> 00:00:37.960]   You shall love your neighbor as yourself.
[00:00:37.960 --> 00:00:42.080]   And on these two commandments depend the whole law and the prophets.
[00:00:42.080 --> 00:00:44.120]   Let's pray.
[00:00:44.120 --> 00:00:51.640]   Gracious and loving Father, we pray for your Holy Spirit to convict us, let your word go
[00:00:51.640 --> 00:00:59.360]   forth and mold our hearts, our lives, our thinking, and even the things, Lord God, that
[00:00:59.360 --> 00:01:00.800]   bring us pleasure.
[00:01:00.800 --> 00:01:04.880]   May it be renewed and washed according to your word.
[00:01:04.880 --> 00:01:09.200]   So we ask, Lord God, that this sacred time is honored before you, that we would genuinely
[00:01:09.200 --> 00:01:11.880]   worship you in spirit and in truth.
[00:01:11.880 --> 00:01:16.400]   May God's word and its power that you have ordained fulfill its purpose this morning.
[00:01:16.400 --> 00:01:20.040]   In Jesus' name we pray, amen.
[00:01:20.040 --> 00:01:26.080]   How many of you sometime this week saw the video that kind of went viral about this lady
[00:01:26.080 --> 00:01:32.280]   who was on an airplane and she kind of reclined and the person behind her got irritated and
[00:01:32.280 --> 00:01:35.320]   she was like banging on her chair.
[00:01:35.320 --> 00:01:36.320]   She was reclining her chair.
[00:01:36.320 --> 00:01:37.320]   How many of you guys saw that video?
[00:01:37.320 --> 00:01:38.320]   Okay.
[00:01:38.320 --> 00:01:42.200]   Well, you guys aren't hip, you guys aren't social media.
[00:01:42.200 --> 00:01:43.200]   Okay.
[00:01:43.200 --> 00:01:47.200]   Anyway, so that video went viral and then there was kind of a big discussion that took
[00:01:47.200 --> 00:01:48.200]   place.
[00:01:48.200 --> 00:01:50.600]   Was it her fault or his fault?
[00:01:50.600 --> 00:01:52.840]   Was she in the right by reclining her chair?
[00:01:52.840 --> 00:01:56.800]   And then the guy who was sitting behind her happened to be in the last seat in the airplane.
[00:01:56.800 --> 00:01:58.880]   Some of you guys may have experienced that.
[00:01:58.880 --> 00:02:04.040]   And because she reclined and he can't recline, obviously, you know, he's a bit cramped.
[00:02:04.040 --> 00:02:09.320]   And I guess he asked her to put it back up and she did it while he was eating, but then
[00:02:09.320 --> 00:02:11.800]   she put it right back and then she wouldn't return.
[00:02:11.800 --> 00:02:15.520]   And then so he got mad and he started banging on her chair throughout the whole flight.
[00:02:15.520 --> 00:02:20.480]   And so the internet was divided in half where half the people were siding with him.
[00:02:20.480 --> 00:02:23.240]   He said, "That's rude of her.
[00:02:23.240 --> 00:02:25.320]   Knowing that he can't recline, he's uncomfortable.
[00:02:25.320 --> 00:02:26.680]   He should have never done that."
[00:02:26.680 --> 00:02:30.360]   And then the other half were basically saying, "She has every right.
[00:02:30.360 --> 00:02:31.600]   You're on the airplane.
[00:02:31.600 --> 00:02:35.040]   How many times when we're on airplane long flights do we recline?
[00:02:35.040 --> 00:02:37.240]   We have a right to do that because it's uncomfortable."
[00:02:37.240 --> 00:02:43.360]   Now, wherever you land on that issue, right?
[00:02:43.360 --> 00:02:48.440]   The question that I have is how do you deal with people that irritate you, right?
[00:02:48.440 --> 00:02:51.960]   They get in your space, do things that annoy you.
[00:02:51.960 --> 00:02:54.120]   That may be in your own home.
[00:02:54.120 --> 00:02:56.000]   It may be at work.
[00:02:56.000 --> 00:02:59.160]   It may be a neighbor that you live next to, right?
[00:02:59.160 --> 00:03:01.920]   It may be a friend or certain acquaintances in your life.
[00:03:01.920 --> 00:03:06.480]   Like they're annoying and it's very irritating to be around those people.
[00:03:06.480 --> 00:03:09.920]   And as a result, we have a tendency to kind of stiff arm those people.
[00:03:09.920 --> 00:03:13.840]   We have a tendency to be very strict with our acquaintances, but we don't really spend
[00:03:13.840 --> 00:03:15.840]   a lot of time with them.
[00:03:15.840 --> 00:03:20.480]   Now, we talked about last week about this agape love.
[00:03:20.480 --> 00:03:25.680]   At the core of this teaching of agape love is loving people that are difficult to love.
[00:03:25.680 --> 00:03:29.840]   And then he goes even further and say, "What good is it if you loan money to people who
[00:03:29.840 --> 00:03:30.840]   can pay you back?
[00:03:30.840 --> 00:03:32.640]   Everybody else does that."
[00:03:32.640 --> 00:03:39.200]   And then he goes even further in saying that he loved us while we were ungrateful and even
[00:03:39.200 --> 00:03:40.200]   sinners.
[00:03:40.200 --> 00:03:47.440]   So that word agape love is deliberately targeting and loving people that you wouldn't naturally
[00:03:47.440 --> 00:03:50.280]   love in your own flesh.
[00:03:50.280 --> 00:03:58.440]   It's difficult for us to be even around, even to be around people who annoy us, let alone
[00:03:58.440 --> 00:04:05.240]   make a conscious decision to love people who are slandering us, who've wronged us, who's
[00:04:05.240 --> 00:04:09.640]   out to get us, or we may think that they are.
[00:04:09.640 --> 00:04:14.960]   So this idea of agape love is a beautiful message.
[00:04:14.960 --> 00:04:18.120]   At the core of the gospel of Jesus Christ, that's why we sing about it.
[00:04:18.120 --> 00:04:20.480]   We memorize scriptures.
[00:04:20.480 --> 00:04:23.640]   We encourage each other with it.
[00:04:23.640 --> 00:04:30.360]   But to actually practice this agape love is something beyond what you and I are able to
[00:04:30.360 --> 00:04:31.360]   do.
[00:04:31.360 --> 00:04:38.080]   That's why, you know, it'd be great if we just talked about love of God and what He
[00:04:38.080 --> 00:04:39.720]   has done.
[00:04:39.720 --> 00:04:45.000]   But the problem with that is the Bible always starts with indicative.
