
[00:00:00.000 --> 00:00:03.000]   [ Silence ]
[00:00:03.000 --> 00:00:07.000]   [ Applause ]
[00:00:07.000 --> 00:00:09.000]   >> All right.
[00:00:09.000 --> 00:00:19.000]   [ Inaudible Remark ]
[00:00:19.000 --> 00:00:21.000]   >> Good. Okay. Awesome.
[00:00:21.000 --> 00:00:29.000]   All right. Well, I know it's Sunday morning, which is usually a time where I think a lot of us are eager to,
[00:00:29.000 --> 00:00:32.000]   you know, fellowship and hang out because we haven't seen each other all week.
[00:00:32.000 --> 00:00:36.000]   But given that we're at retreat, we've already spent 14.4 hours together.
[00:00:36.000 --> 00:00:42.000]   We were now kind of getting that itch to be away from each other and go back home.
[00:00:42.000 --> 00:00:45.000]   And I know like a lot of you guys were up late last night,
[00:00:45.000 --> 00:00:48.000]   totally disregarded everything I said in our second sermon.
[00:00:48.000 --> 00:00:50.000]   [ Laughter ]
[00:00:50.000 --> 00:00:51.000]   So I'm going to be watching you guys.
[00:00:51.000 --> 00:00:57.000]   I etched your faces into my mind so I can keep track of who you guys are, make sure you guys don't fall asleep.
[00:00:57.000 --> 00:01:02.000]   But again, yeah, it's just been a joy to hang out with you guys at the fellowship.
[00:01:02.000 --> 00:01:04.000]   It's actually been really nice.
[00:01:04.000 --> 00:01:09.000]   I think now it's time to be a lot of you guys just finding out your story about how you came out to Berlin.
[00:01:09.000 --> 00:01:15.000]   And I wish we had actually a few more days to spend together because that way I can meet all of you.
[00:01:15.000 --> 00:01:22.000]   But my hope and my expectation is that both Tina and myself as well as her family come down, you know,
[00:01:22.000 --> 00:01:30.000]   many times throughout the next few years and hopefully little by little we can get to know small segments of the church
[00:01:30.000 --> 00:01:32.000]   until we know everyone's a couple.
[00:01:32.000 --> 00:01:34.000]   All right, so that's really my goal and my desire.
[00:01:34.000 --> 00:01:41.000]   But again, I'm just really grateful for the opportunity to be able to fellowship with you guys this weekend.
[00:01:41.000 --> 00:01:47.000]   Let's go ahead and bow our heads for a word of prayer as we ask the Lord's blessing for this third session.
[00:01:47.000 --> 00:01:50.000]   [ Silence ]
[00:01:50.000 --> 00:01:57.000]   >> We're so grateful, Lord, for Christ.
[00:01:57.000 --> 00:02:05.000]   We're thankful, Lord God, that it is through Jesus that we have these means of access to you,
[00:02:05.000 --> 00:02:13.000]   that we can pray to you, that we can worship you, and that we can be for you.
[00:02:13.000 --> 00:02:21.000]   And we're thankful for this church because it is the bride of clemency by the blood of Jesus.
[00:02:21.000 --> 00:02:28.000]   And you've brought us here and assembled us together for the purpose of doing ministry with one body.
[00:02:28.000 --> 00:02:33.000]   And so we pray the word this morning as we look into your word once more,
[00:02:33.000 --> 00:02:40.000]   as we see, Lord God, all these truths that you have recorded for us on the pages of Scripture,
[00:02:40.000 --> 00:02:43.000]   that really make our hearts teachable this morning.
[00:02:43.000 --> 00:02:47.000]   I thought for those of us who are fatigued, for those of us who are weary,
[00:02:47.000 --> 00:02:52.000]   and for those of us who might be discouraged spiritually,
[00:02:52.000 --> 00:02:56.000]   that you would help us, Lord God, to renew our vision of who you are.
[00:02:56.000 --> 00:03:03.000]   And Lord, I believe not only this session, but really this weekend, with a spirit of rejoicing and celebration
[00:03:03.000 --> 00:03:07.000]   over all that you've done, all that you've accomplished on our behalf.
[00:03:07.000 --> 00:03:11.000]   And Lord, we thank you, Lord God, for your fruit, for your grace.
[00:03:11.000 --> 00:03:14.000]   We pray this in prayer. Amen.
[00:03:14.000 --> 00:03:20.000]   eHarmony.com first launched on August 22nd, the year 2000.
[00:03:20.000 --> 00:03:26.000]   For those of you who don't know, eHarmony is an online matchmaking and dating service.
[00:03:26.000 --> 00:03:32.000]   It is hugely popular. It was a copy and staple before the copy and staple.
[00:03:32.000 --> 00:03:38.000]   On average, over 15,000 new accounts are opened each day.
[00:03:38.000 --> 00:03:47.000]   And since it started about 15 years ago, eHarmony has accumulated over 33 million registered users
[00:03:47.000 --> 00:03:52.000]   and earned over $1 billion in total revenue.
[00:03:52.000 --> 00:04:01.000]   Most people attribute eHarmony's commercial success to its highly complex, computerized matchmaking algorithms.
[00:04:01.000 --> 00:04:04.000]   See, whenever someone opens up a new account on eHarmony,
[00:04:04.000 --> 00:04:11.000]   they're required to fill out a comprehensive survey consisting of 150 different questions.
[00:04:11.000 --> 00:04:14.000]   It used to be over 450.
[00:04:14.000 --> 00:04:23.000]   These questions measure everything from personality traits, to moral values, to religious and political beliefs.
[00:04:23.000 --> 00:04:31.000]   And then each one of those answers are inputted into a proprietary software program created by eHarmony engineers,
[00:04:31.000 --> 00:04:35.000]   which optimizes matches between different users.
[00:04:35.000 --> 00:04:45.000]   But for all its complexity, the matchmaking system of eHarmony is actually based on one very, very simple and fundamental principle.
[00:04:45.000 --> 00:04:48.000]   And it's that of compatibility.
[00:04:48.000 --> 00:04:58.000]   One of eHarmony's original founders was once quoted as saying this, "Opposites attract, but then they attack."
[00:04:58.000 --> 00:05:07.000]   Meaning, the greater the difference between two individuals are, the less likely they'll end up having romantic chemistry.
[00:05:07.000 --> 00:05:10.000]   On the other hand, on the flip side, the more similar two people are,
[00:05:10.000 --> 00:05:15.000]   the higher the probability that a lasting relationship will result.
[00:05:15.000 --> 00:05:20.000]   I think judging from your numbers alone, the principle of compatibility works.
[00:05:20.000 --> 00:05:25.000]   As a matter of fact, I learned that there are actually more than a handful of couples here at the church
[00:05:25.000 --> 00:05:30.000]   who have met and since gotten married, but they met through eHarmony.
[00:05:30.000 --> 00:05:37.000]   Believe it or not, according to market research data, an average of 3,800 eHarmony members in the United States
[00:05:37.000 --> 00:05:41.000]   get married every single week.
