
[00:00:00.000 --> 00:00:07.000]   All right, good morning.
[00:00:07.000 --> 00:00:10.760]   Welcome to Breen Community Church, those of you who are here and those of you who are
[00:00:10.760 --> 00:00:11.760]   online.
[00:00:11.760 --> 00:00:16.760]   Again, today is our special Christmas service and obviously that normally we have children
[00:00:16.760 --> 00:00:20.840]   who perform, you know, they prepare and perform up here on the stage and obviously this year
[00:00:20.840 --> 00:00:22.480]   we're not able to do that.
[00:00:22.480 --> 00:00:27.720]   It's been a very strange year this year, 2020.
[00:00:27.720 --> 00:00:31.560]   But again, we believe that God is sovereign, that even in the midst of all of this, that
[00:00:31.560 --> 00:00:33.700]   God has a purpose for all of this.
[00:00:33.700 --> 00:00:37.440]   If you can turn your Bibles with me to 1 Corinthians chapter 1, I'm going to be reading from verse
[00:00:37.440 --> 00:00:39.440]   22 through 25.
[00:00:39.440 --> 00:00:47.000]   Okay, 1 Corinthians chapter 1, 22 through 25.
[00:00:47.000 --> 00:00:52.900]   For in these Jews ask for signs and Greeks search for wisdom, but we preach Christ crucified.
[00:00:52.900 --> 00:00:58.520]   To Jews a stumbling block and to the Gentiles foolishness, but to those who are the called,
[00:00:58.520 --> 00:01:03.520]   both Jews and Greeks, Christ the power of God and the wisdom of God, because the foolishness
[00:01:03.520 --> 00:01:08.240]   of God is wiser than men and the weakness of God is stronger than men.
[00:01:08.240 --> 00:01:11.120]   Let's pray.
[00:01:11.120 --> 00:01:17.560]   Heavenly Father, we thank you and praise you for the privilege that we have to be able
[00:01:17.560 --> 00:01:23.160]   to come and worship you, especially now, Lord God, as we've gathered together to celebrate
[00:01:23.160 --> 00:01:26.520]   Christ's birth and what it means for us.
[00:01:26.520 --> 00:01:32.480]   Help us, Lord God, to open our ears, our eyes, soften our hearts as you are the potter and
[00:01:32.480 --> 00:01:37.440]   we are the clay, that you would mold us according to your purpose and will.
[00:01:37.440 --> 00:01:42.480]   So we pray, Father God, that your Holy Spirit would take the words that are taught and it
[00:01:42.480 --> 00:01:45.960]   would illuminate us that we may understand and apply it in our lives.
[00:01:45.960 --> 00:01:49.920]   In Jesus' name we pray, amen.
[00:01:49.920 --> 00:01:50.920]   Donald Trump.
[00:01:50.920 --> 00:01:51.920]   Okay.
[00:01:51.920 --> 00:01:58.080]   As soon as I say his name, in our generation, you get different emotions, right?
[00:01:58.080 --> 00:02:02.940]   So the people, depending on where you stand on your politics, when you say Donald Trump,
[00:02:02.940 --> 00:02:09.400]   he is either Hitler or the best president the United States has ever had in history,
[00:02:09.400 --> 00:02:12.020]   maybe next to Lincoln or better than Lincoln.
[00:02:12.020 --> 00:02:18.140]   And obviously you have people who have opinions kind of on either side, variation.
[00:02:18.140 --> 00:02:24.020]   Whatever your politics is, we have to admit that this political year probably has been
[00:02:24.020 --> 00:02:28.460]   the most polarizing of anything that I can remember.
[00:02:28.460 --> 00:02:34.500]   And sad to say, churches and even some family members, there's so heated debates on either
[00:02:34.500 --> 00:02:35.500]   side.
[00:02:35.500 --> 00:02:42.060]   But whatever the case, Donald Trump was not going to save the world.
[00:02:42.060 --> 00:02:48.580]   Our political system is made in such a way there's checks and balances, so that no matter
[00:02:48.580 --> 00:02:52.740]   what president is in there, they have other branches that kind of he needs to get permission
[00:02:52.740 --> 00:02:54.900]   and make sure that he doesn't have all power.
[00:02:54.900 --> 00:02:58.580]   And no matter who gets elected, every four years they have to do it again.
[00:02:58.580 --> 00:03:01.940]   And so someone else might come in and then whoever gets elected there, another person
[00:03:01.940 --> 00:03:02.940]   will come in.
[00:03:02.940 --> 00:03:06.620]   He is not going to affect the eternity of mankind.
[00:03:06.620 --> 00:03:10.500]   But there is an individual that you and I are here to celebrate that was equally even
[00:03:10.500 --> 00:03:12.820]   more polarizing.
[00:03:12.820 --> 00:03:14.500]   Some said he was a crazy man.
[00:03:14.500 --> 00:03:19.860]   He came and claimed to be the son of God and then fooled all these people.
[00:03:19.860 --> 00:03:26.060]   Now 2,000 years later, millions of people have been fooled by this man and have wasted
[00:03:26.060 --> 00:03:32.140]   countless amount of money, lives, telling and proclaiming the things that he said that
[00:03:32.140 --> 00:03:33.900]   he was.
[00:03:33.900 --> 00:03:38.780]   Or he actually was the son of God who came to save mankind.
[00:03:38.780 --> 00:03:44.340]   C.S. Lewis says it like this about Jesus, "A man who was merely a man and said the sort
[00:03:44.340 --> 00:03:48.220]   of things that Jesus said and would not be a great moral teacher.
[00:03:48.220 --> 00:03:53.840]   He would either be a lunatic on a level with the man who says he is a poached egg or else
[00:03:53.840 --> 00:03:56.160]   who would be the devil of hell.
[00:03:56.160 --> 00:03:57.680]   You must make your choice.
[00:03:57.680 --> 00:04:03.160]   Either this man was and is the son of God or else a madman or something worse.
[00:04:03.160 --> 00:04:05.040]   You can shut him up for a fool.
[00:04:05.040 --> 00:04:10.500]   You can spit at him and kill him as a demon or you can fall at his feet and call him Lord
[00:04:10.500 --> 00:04:11.760]   and God.
[00:04:11.760 --> 00:04:17.000]   But let us not come with any patronizing nonsense about his being a great human teacher.
[00:04:17.000 --> 00:04:18.820]   He has not left that open to us.
[00:04:18.820 --> 00:04:21.640]   He did not intend to."
[00:04:21.640 --> 00:04:29.600]   Where we stand on who Jesus is will either affect our eternity, we praise him as our
[00:04:29.600 --> 00:04:33.800]   Lord and Savior and so we believe that when we die that we have eternity with him for
[00:04:33.800 --> 00:04:37.520]   eternity or we reject him as a crazy man.
[00:04:37.520 --> 00:04:39.480]   There's nothing in between.
[00:04:39.480 --> 00:04:42.360]   You cannot come and say, "Well, there's a lot of good things to learn from a man who
[00:04:42.360 --> 00:04:44.760]   said he was God."
