
[00:00:00.000 --> 00:00:08.640]   [ Applause ]
[00:00:08.640 --> 00:00:14.380]   >> Hello. My name is Kevin, Kevin Lee, and this is my testimony.
[00:00:14.380 --> 00:00:19.620]   Before conversion, I was lost and gave into many fleshy desires.
[00:00:19.620 --> 00:00:24.260]   Often I was jumping from one worldly satisfaction to another,
[00:00:24.260 --> 00:00:27.640]   and there were really three main things that I idolized.
[00:00:28.520 --> 00:00:33.300]   None of these things are bad in nature, but the desires of my heart
[00:00:33.300 --> 00:00:35.800]   and my lack of wisdom led to idolatry.
[00:00:35.800 --> 00:00:38.680]   The first was woman.
[00:00:38.680 --> 00:00:44.200]   Growing up, seeing other couples would naturally influence me into wanting a girlfriend.
[00:00:44.200 --> 00:00:48.820]   When I got into a relationship, that was the thing that I idolized.
[00:00:48.820 --> 00:00:50.140]   She was the center of my life.
[00:00:50.140 --> 00:00:52.520]   The second was school.
[00:00:52.520 --> 00:01:02.020]   I was addicted to success and allowed the pursuit of worldly knowledge to take over my life.
[00:01:02.020 --> 00:01:04.300]   Lastly, it was my social life.
[00:01:04.300 --> 00:01:12.440]   I was always a people pleaser and rarely said no to going out, clubbing, drinking.
[00:01:12.440 --> 00:01:18.360]   I lived my life the way I wanted to because I thought my life was my own.
[00:01:19.060 --> 00:01:25.700]   I was blinded by darkness because believing that my life was my own completely contradicted God's word.
[00:01:25.700 --> 00:01:32.780]   First Corinthians chapter 6, 19 through 20 says, "Or do you not know that your body is a temple
[00:01:32.780 --> 00:01:35.540]   of the Holy Spirit within you, whom you have from God?
[00:01:35.540 --> 00:01:40.880]   You are not your own, for you are bought with a price, so glorify God in your body."
[00:01:40.880 --> 00:01:48.060]   After not attending church throughout college, I started attending Berean after I graduated.
[00:01:48.880 --> 00:01:49.980]   I graduated college.
[00:01:49.980 --> 00:01:55.460]   Almost unconsciously, I began saying after sermons, attending Bible study,
[00:01:55.460 --> 00:02:00.180]   and enrolling in BCC, the basics in Christianity class.
[00:02:00.180 --> 00:02:02.440]   Quite frankly, I was surprised.
[00:02:02.440 --> 00:02:04.060]   This was unlike myself.
[00:02:04.060 --> 00:02:08.940]   At one Bible study, there was someone who I got to know, and he hit me with the tough question.
[00:02:08.940 --> 00:02:12.220]   Would you consider yourself a Christian?
[00:02:12.220 --> 00:02:17.780]   Initially, my answer was yes because I had grown up in a Christian home like many of us.
[00:02:18.780 --> 00:02:22.420]   But as we kept talking, I quickly realized, no, I was not a Christian.
[00:02:22.420 --> 00:02:25.760]   I did not remember the last time I opened up the Bible.
[00:02:25.760 --> 00:02:32.500]   I lived from my fleshy desires, and I had no idea who God actually was.
[00:02:32.500 --> 00:02:38.500]   Over the next couple of weeks of reading scripture and just being blown away
[00:02:38.500 --> 00:02:43.740]   by the things that God was revealing to me, I was convicted to the point
[00:02:43.740 --> 00:02:47.620]   of ending the relationship with my girlfriend at the time.
[00:02:47.620 --> 00:02:48.680]   She was a nonbeliever.
[00:02:49.000 --> 00:02:54.120]   And scripture says, "Do not be unequally yoked with unbelievers,
[00:02:54.120 --> 00:02:57.160]   for what partnership has righteousness with lawlessness,
[00:02:57.160 --> 00:02:59.880]   or what fellowship has light with darkness?"
[00:02:59.880 --> 00:03:01.780]   2 Corinthians 6.14.
[00:03:01.780 --> 00:03:03.300]   She was confused.
[00:03:03.300 --> 00:03:07.180]   My friends were -- my unbelieving friends were confused.
[00:03:07.180 --> 00:03:13.240]   They were even more confused when I said this was to glorify God.
[00:03:14.080 --> 00:03:17.820]   But it made so much sense to me because it was the first step in --
[00:03:17.820 --> 00:03:19.880]   the first step I took in obeying God.
[00:03:19.880 --> 00:03:23.800]   I surrendered to my convictions, and I placed faith in Him.
[00:03:23.800 --> 00:03:29.100]   Another night after Bible study, I was playing ping pong with Pastor Mark.
[00:03:29.100 --> 00:03:30.320]   It was quiet.
[00:03:30.320 --> 00:03:33.780]   And I told him what had happened, and that although I was truly broken,
[00:03:33.780 --> 00:03:36.340]   I was eager to know what I needed to do next.
[00:03:36.340 --> 00:03:39.900]   Pastor Mark and I prayed that night, asking the Lord for forgiveness.
[00:03:39.900 --> 00:03:45.200]   I needed to ask for forgiveness because I destroyed my relationship with God.
[00:03:45.200 --> 00:03:51.100]   Just because I was going to church again didn't mean God and I were on good terms.
[00:03:51.100 --> 00:03:57.240]   In submission, I asked, "Lord, please set me free from the kingdom of darkness."
[00:03:57.240 --> 00:04:03.380]   And really, this was the start of my reconciliation with God and the night of my conversion.
[00:04:03.380 --> 00:04:08.120]   Through no other power but His, He gave me the right to become His child.
