
[00:00:00.000 --> 00:00:04.840]   All right, good morning.
[00:00:04.840 --> 00:00:08.320]   If you can turn your Bibles to Hebrews 11, verse 22.
[00:00:08.320 --> 00:00:15.840]   We're going to go back into Hebrews one verse at a time.
[00:00:15.840 --> 00:00:18.160]   All right, at least for this week again.
[00:00:18.160 --> 00:00:29.680]   Hebrews chapter 11, verse 22.
[00:00:29.680 --> 00:00:33.680]   Reading out of the NASB, "By faith Joseph, when he was dying, made mention of the exodus
[00:00:33.680 --> 00:00:37.560]   of the sons of Israel and gave orders concerning his bones."
[00:00:37.560 --> 00:00:39.560]   Let's pray.
[00:00:39.560 --> 00:00:45.920]   Heavenly Father, we pray that you would anoint this word, that your sheep may hear your voice
[00:00:45.920 --> 00:00:49.040]   and follow you and you alone.
[00:00:49.040 --> 00:00:52.240]   Help us, Lord God, to give you worship that you are pleased with.
[00:00:52.240 --> 00:00:54.440]   May your name be honored and glorified.
[00:00:54.440 --> 00:00:56.960]   In Jesus' name we pray, amen.
[00:00:56.960 --> 00:01:04.160]   Some of you guys know that our church's 24th anniversary is coming up.
[00:01:04.160 --> 00:01:08.440]   Time has gone by so quickly.
[00:01:08.440 --> 00:01:11.120]   People often ask, "What was the catalyst?
[00:01:11.120 --> 00:01:14.080]   What caused you to want to plant the church?"
[00:01:14.080 --> 00:01:17.960]   Our church was not a typical church plant because there was no planning involved.
[00:01:17.960 --> 00:01:21.120]   There was no desire to plant the church.
[00:01:21.120 --> 00:01:28.920]   It just kind of happened because the church that I used to serve at in Irvine, I left
[00:01:28.920 --> 00:01:34.200]   the church for about a year and I got a phone call and they said that they don't have a
[00:01:34.200 --> 00:01:36.160]   pastor here and we need you to come back and help us.
[00:01:36.160 --> 00:01:41.320]   So I went really to kind of fill in the gap, hoping to help out.
[00:01:41.320 --> 00:01:46.360]   And then once I got there, the new pastor on the Korean side had a vision that we didn't
[00:01:46.360 --> 00:01:47.760]   fit into.
[00:01:47.760 --> 00:01:49.800]   And so basically he asked us to leave.
[00:01:49.800 --> 00:01:54.520]   And there's a lot of different things that happened, but we didn't want to leave.
[00:01:54.520 --> 00:02:02.420]   We couldn't leave because we just had a newborn child at home, an infant, and our church members,
[00:02:02.420 --> 00:02:08.880]   we had maybe one working person at the time, and our offering could not sustain us because
[00:02:08.880 --> 00:02:12.560]   the people who were with us in the very beginning, they were actually, who are still here, they
[00:02:12.560 --> 00:02:15.200]   were actually, most of them were still high school students.
[00:02:15.200 --> 00:02:19.560]   So they were juniors in high school and those juniors in high school are now turning 40
[00:02:19.560 --> 00:02:21.840]   this year, you know, or 40, 41.
[00:02:21.840 --> 00:02:26.360]   So we were a very young church and there's no way anybody in their right mind would plant
[00:02:26.360 --> 00:02:27.880]   the church with that group.
[00:02:27.880 --> 00:02:31.760]   And so that's exactly what my friends were saying, "Peter, what are you doing?"
[00:02:31.760 --> 00:02:35.840]   You know, and again, we didn't plant this church because we wanted to, you know, our
[00:02:35.840 --> 00:02:41.080]   typically when you plant the church, you know, you plan and you have, you know, you have
[00:02:41.080 --> 00:02:46.160]   the core members that you get together, you have some funding, what's our doctrinal statement,
[00:02:46.160 --> 00:02:49.600]   what are our bylaws, what denomination are we a part of?
[00:02:49.600 --> 00:02:53.800]   And so all of these things are planned and then you execute and you hope to reach these
[00:02:53.800 --> 00:02:58.280]   people with this kind of thing and none of that happened in our church, you know.
[00:02:58.280 --> 00:03:01.560]   So whenever you plant something, you make sure that you got the soil ready, you got
[00:03:01.560 --> 00:03:06.000]   the feed ready, you know, and then you water it and you make sure it's out in the sun and
[00:03:06.000 --> 00:03:08.280]   you get enough rays and then you go and check up on it.
[00:03:08.280 --> 00:03:09.640]   Well, none of that happened.
[00:03:09.640 --> 00:03:13.360]   Like for us, our church plant was kind of like taking a seed and just throwing it out
[00:03:13.360 --> 00:03:19.880]   the window and then expecting it to die and then on the way back, we realized, "Huh, they
[00:03:19.880 --> 00:03:20.880]   didn't die."
[00:03:20.880 --> 00:03:24.560]   That's kind of like the, that was kind of like the genesis of our church.
[00:03:24.560 --> 00:03:29.120]   And so we got planted out of necessity, just not trying to die.
[00:03:29.120 --> 00:03:30.680]   That was really the early parts.
[00:03:30.680 --> 00:03:36.800]   And first year that we had our church retreat was about six years into the church because,
[00:03:36.800 --> 00:03:40.040]   you know, obviously I was busy taking care of our family and I had to get an extra job
[00:03:40.040 --> 00:03:44.000]   to pay for bills because the church couldn't sustain us in the beginning.
[00:03:44.000 --> 00:03:49.680]   And so for the first six to seven years, we were really just on a survival mode.
[00:03:49.680 --> 00:03:54.160]   And it was a running joke in the church that whenever one person visited our church, it's
[00:03:54.160 --> 00:03:57.280]   like revival, you know, because nobody knew who we were, you know.
[00:03:57.280 --> 00:04:00.080]   And then even our name was weird, Berean.
[00:04:00.080 --> 00:04:02.080]   And then they would say, "Oh, Korean."
[00:04:02.080 --> 00:04:03.080]   "No, Berean."
[00:04:03.080 --> 00:04:04.680]   You know, and I remember being so frustrated.
[00:04:04.680 --> 00:04:06.680]   "Berean, read your Bible.
[00:04:06.680 --> 00:04:07.680]   Berean."
[00:04:07.680 --> 00:04:08.680]   Right?
[00:04:08.680 --> 00:04:11.440]   And so that's kind of how our church started.
[00:04:11.440 --> 00:04:17.040]   It's been 24 years that our church has, you know, like come this far.
[00:04:17.040 --> 00:04:21.120]   And you know, if you ask us the first five or six years of the church, I don't know how
[00:04:21.120 --> 00:04:22.840]   many times we thought we're not going to make it.
[00:04:22.840 --> 00:04:23.840]   We're not going to make another year.
[00:04:23.840 --> 00:04:25.080]   We're not going to make another year.
[00:04:25.080 --> 00:04:28.000]   And I was so tempted to, like, I can't do this anymore.
[00:04:28.000 --> 00:04:29.000]   I got two kids.
[00:04:29.000 --> 00:04:32.800]   I got three kids, you know, and it's just not going to happen.
[00:04:32.800 --> 00:04:38.880]   But in the totality, 24 years looking back, obviously God's hand was upon it.
[00:04:38.880 --> 00:04:40.760]   It wasn't necessarily anything that we did.
[00:04:40.760 --> 00:04:44.000]   And if anybody asked me, like, "What did you do in the early church?"
[00:04:44.000 --> 00:04:47.280]   And the only thing I can give you is I didn't quit.
[00:04:47.280 --> 00:04:48.880]   There was no elaborate planning.
[00:04:48.880 --> 00:04:51.640]   There wasn't like, "Oh, you know, we sought God and we did this."
[00:04:51.640 --> 00:04:52.640]   It's like, no.
[00:04:52.640 --> 00:04:56.260]   We just didn't want to die, really, in the early church.
[00:04:56.260 --> 00:05:00.480]   And so clearly, as difficult as the beginning was, God's been faithful.
[00:05:00.480 --> 00:05:04.280]   And I know that there are, you know, people that I can think of throughout the years that
[00:05:04.280 --> 00:05:10.100]   came to faith as a result of us just persevering through all of it, you know.
[00:05:10.100 --> 00:05:13.720]   And the reason why I share all of this is because it made me think about Joseph.
[00:05:13.720 --> 00:05:18.880]   Obviously, you know, nowhere near what Joseph's experienced, but Joseph, the man of faith,
[00:05:18.880 --> 00:05:26.040]   his whole life can be summed up in what his brothers meant for evil, God meant for good.
[00:05:26.040 --> 00:05:27.700]   That's his whole life, right?
[00:05:27.700 --> 00:05:32.340]   We typically think that when bad things are happening, we say, "Well, is that from God
[00:05:32.340 --> 00:05:34.140]   or is that from Satan?
[00:05:34.140 --> 00:05:35.460]   Is it good or is it evil?"
[00:05:35.460 --> 00:05:40.640]   Because we naturally think if it is evil, then God's not there.
[00:05:40.640 --> 00:05:44.360]   And if we think that God's in control and God's doing this, then we automatically think
[00:05:44.360 --> 00:05:46.900]   then evil is not there.
[00:05:46.900 --> 00:05:53.800]   But from our own personal experience and from what we see in Scripture, what may have been
[00:05:53.800 --> 00:05:58.560]   meant for evil, that God meant for good.
[00:05:58.560 --> 00:06:03.900]   And so evil and God's goodness is working simultaneously at the same time.
[00:06:03.900 --> 00:06:08.620]   And so we talk about the sovereignty of God, and I don't think anybody has a problem pointed
[00:06:08.620 --> 00:06:12.880]   to God's sovereignty when we look back in our life, in history, right?
[00:06:12.880 --> 00:06:17.620]   In the past tense, God orchestrated this and this is how I met my wife and God brought
[00:06:17.620 --> 00:06:21.440]   me to this and God, you know, allowed me to be a part of this.
