
[00:00:00.000 --> 00:00:02.760]   (audio cuts out)
[00:00:02.760 --> 00:00:05.800]   - Then to 1 Corinthians 5,
[00:00:05.800 --> 00:00:07.800]   I'm gonna read the passage for us.
[00:00:07.800 --> 00:00:12.160]   And, you know, if you,
[00:00:12.160 --> 00:00:14.940]   what's really interesting is, you know,
[00:00:14.940 --> 00:00:18.320]   there are parts of scripture where it's awesome
[00:00:18.320 --> 00:00:20.720]   to slowly and methodically go through
[00:00:20.720 --> 00:00:22.760]   every phrase and every word.
[00:00:22.760 --> 00:00:25.200]   And then there are parts of scripture where if you do that,
[00:00:25.200 --> 00:00:27.800]   you just feel like you're getting beat up, you know?
[00:00:27.800 --> 00:00:30.120]   And there's a sense in which we've been together studying
[00:00:30.120 --> 00:00:33.680]   now for over 10 weeks, this is our 11th week.
[00:00:33.680 --> 00:00:35.480]   And for the vast majority of it,
[00:00:35.480 --> 00:00:37.920]   it's been like, you prideful, you know,
[00:00:37.920 --> 00:00:42.160]   like arrogant people competing with each other.
[00:00:42.160 --> 00:00:44.480]   How dare you do this to the house of God, you know,
[00:00:44.480 --> 00:00:45.720]   like the temple of the Lord.
[00:00:45.720 --> 00:00:47.720]   And it's been really heavy.
[00:00:47.720 --> 00:00:49.120]   And just to give you a heads up,
[00:00:49.120 --> 00:00:51.960]   it's gonna be like that for a little bit, okay?
[00:00:51.960 --> 00:00:55.960]   But there's a sense in which I always felt like
[00:00:56.840 --> 00:00:58.560]   there are different parts of the scripture
[00:00:58.560 --> 00:01:00.040]   that's like that.
[00:01:00.040 --> 00:01:02.080]   There's a sense in which sometimes we have to go
[00:01:02.080 --> 00:01:05.960]   through that experience, not just so that, you know,
[00:01:05.960 --> 00:01:09.640]   we feel ashamed, but through the whole experience
[00:01:09.640 --> 00:01:13.840]   of like really seeing how heavy and how weighty
[00:01:13.840 --> 00:01:15.800]   some of the words of scripture are.
[00:01:15.800 --> 00:01:20.000]   Really seeing then also by implication how heavy and weighty
[00:01:20.000 --> 00:01:22.440]   the sin and theological topics are.
[00:01:22.440 --> 00:01:24.720]   It helps us appreciate all the more
[00:01:24.720 --> 00:01:26.360]   the kind of conviction we get
[00:01:26.360 --> 00:01:28.400]   and also it helps us appreciate all the more
[00:01:28.400 --> 00:01:30.840]   the kind of transformation that results
[00:01:30.840 --> 00:01:33.480]   from the end of that kind of conviction, okay?
[00:01:33.480 --> 00:01:35.440]   I just wanted to say that 'cause there are parts,
[00:01:35.440 --> 00:01:36.920]   for me too, as I'm studying, I'm like,
[00:01:36.920 --> 00:01:39.840]   man, he's laying on thick, you know?
[00:01:39.840 --> 00:01:41.880]   And just wanted to mention that.
[00:01:41.880 --> 00:01:44.360]   Now let's read this passage, chapter five,
[00:01:44.360 --> 00:01:45.640]   verse one through 13.
[00:01:45.640 --> 00:01:49.440]   It is actually, and you know what, actually,
[00:01:49.440 --> 00:01:50.360]   you know what I'm gonna do?
[00:01:50.360 --> 00:01:54.240]   I'm gonna start in verse 21 of chapter four.
[00:01:54.240 --> 00:01:55.960]   What do you want?
[00:01:55.960 --> 00:01:57.680]   Okay, what do you desire?
[00:01:57.680 --> 00:01:59.800]   Shall I come to you with a rod or with love
[00:01:59.800 --> 00:02:02.080]   and a spirit of gentleness?
[00:02:02.080 --> 00:02:05.400]   It is actually reported that there is immorality among you,
