
[00:00:00.000 --> 00:00:06.600]   (Pause)
[00:00:06.600 --> 00:00:10.200]   If you can turn your Bibles with me to Hebrews 10.
[00:00:10.200 --> 00:00:12.560]   We're going to be finishing up our sermon I started last week,
[00:00:12.560 --> 00:00:19.600]   verse 32 through 39.
[00:00:19.600 --> 00:00:27.060]   Hebrews 10, verse 32 through 39.
[00:00:27.060 --> 00:00:28.160]   Reading out of the NASB,
[00:00:28.160 --> 00:00:30.960]   "But remember the former days when after being enlightened,
[00:00:30.960 --> 00:00:33.540]   you endured a great conflict of suffering,
[00:00:33.540 --> 00:00:35.260]   partly by being made a public spectacle
[00:00:35.260 --> 00:00:37.400]   through reproaches and tribulations,
[00:00:37.400 --> 00:00:41.340]   and partly by becoming sharers with those who were so treated.
[00:00:41.340 --> 00:00:43.360]   For you showed sympathy to the prisoners
[00:00:43.360 --> 00:00:46.040]   and accepted joyfully the seizure of your property,
[00:00:46.040 --> 00:00:47.500]   knowing that you have for yourselves
[00:00:47.500 --> 00:00:50.200]   a better possession of a lasting one.
[00:00:50.200 --> 00:00:52.040]   Therefore, do not throw away your confidence,
[00:00:52.040 --> 00:00:53.860]   which has a great reward.
[00:00:53.860 --> 00:00:55.560]   For you have need of endurance,
[00:00:55.560 --> 00:00:57.660]   so that when you have done the will of God,
[00:00:57.660 --> 00:00:59.960]   you may receive what was promised.
[00:00:59.960 --> 00:01:01.540]   For yet in a very little while,
[00:01:01.540 --> 00:01:04.500]   he who is coming will come and will not delay.
[00:01:04.500 --> 00:01:06.560]   But my righteous one shall live by faith,
[00:01:06.560 --> 00:01:09.900]   and if he shrinks back, my soul has no pleasure in him.
[00:01:09.900 --> 00:01:12.700]   But we are not of those who shrink back to destruction,
[00:01:12.700 --> 00:01:15.800]   but of those who have faith to the persevering of the soul."
[00:01:15.800 --> 00:01:19.540]   Let's pray.
[00:01:19.540 --> 00:01:22.760]   Christian loving Father, we thank you.
[00:01:22.760 --> 00:01:24.860]   Thank you for the privilege that we have to come
[00:01:24.860 --> 00:01:26.540]   and worship you,
[00:01:26.540 --> 00:01:29.840]   to enter the throne of grace with confidence.
[00:01:29.840 --> 00:01:32.760]   Lord, whatever we have been distracted by,
[00:01:32.760 --> 00:01:35.540]   whatever we have brought into this room,
[00:01:35.540 --> 00:01:38.640]   whatever we have been entangled with throughout the week,
[00:01:38.640 --> 00:01:42.200]   I pray that this time that we may be able to offer it up
[00:01:42.200 --> 00:01:45.560]   and give to you a worship that you truly deserve.
[00:01:45.560 --> 00:01:47.400]   May your word have its effect on us.
[00:01:47.400 --> 00:01:50.540]   In Jesus' name we pray, amen.
