
[00:00:00.000 --> 00:00:03.200]   [ Silence ]
[00:00:03.200 --> 00:00:04.960]   >> Majority of the stuff that's
[00:00:04.960 --> 00:00:07.400]   on the Q&A here was answered in the first.
[00:00:07.400 --> 00:00:09.780]   And so I'm not sure if I need to answer all that
[00:00:09.780 --> 00:00:11.740]   because the questions that came in,
[00:00:11.740 --> 00:00:15.680]   for the most part, was for the first.
[00:00:15.680 --> 00:00:18.840]   So I'm just going to show the questions.
[00:00:18.840 --> 00:00:21.440]   And then we'll see.
[00:00:21.440 --> 00:00:23.620]   Maybe this -- and then there's some questions that came
[00:00:23.620 --> 00:00:26.420]   out of you guys, and I'll definitely try to cover that.
[00:00:26.420 --> 00:00:29.640]   Okay? And then if you have any questions beyond that,
[00:00:29.640 --> 00:00:31.540]   because this is a smaller group, and if you want to deal
[00:00:31.540 --> 00:00:32.560]   with that, we'll try to deal with that.
[00:00:32.560 --> 00:00:34.260]   So some of the stuff I'm just going to skip
[00:00:34.260 --> 00:00:35.640]   because it was relevant to them.
[00:00:35.640 --> 00:00:37.800]   It might be relevant to you, so if you want me to address it,
[00:00:37.800 --> 00:00:38.540]   I'll try to address it.
[00:00:38.540 --> 00:00:40.780]   Otherwise, we'll just move on.
[00:00:40.780 --> 00:00:43.640]   Okay? Then afterwards, I'll just --
[00:00:43.640 --> 00:00:46.100]   you know, I told the first group that I'll give
[00:00:46.100 --> 00:00:48.140]   about 10 minutes to open questions,
[00:00:48.140 --> 00:00:49.860]   and ran out of time.
[00:00:49.860 --> 00:00:55.820]   So I'm going to try to do that here, but no guarantee.
[00:00:55.820 --> 00:00:57.200]   I'm going to try to do that.
[00:00:57.200 --> 00:00:57.640]   All right.
[00:00:57.640 --> 00:00:58.780]   Let me pray for some stuff.
[00:00:59.760 --> 00:01:02.900]   Heavenly Father, we thank you for this opportunity,
[00:01:02.900 --> 00:01:06.300]   and we pray that you will bless this time so that the things
[00:01:06.300 --> 00:01:09.100]   that we discuss and try to answer, Lord God,
[00:01:09.100 --> 00:01:11.540]   would come from you, not from my thoughts,
[00:01:11.540 --> 00:01:15.040]   but that your word be expressed according
[00:01:15.040 --> 00:01:15.940]   to your purpose and will.
[00:01:15.940 --> 00:01:17.580]   We thank you, Father Jesus, and we pray.
[00:01:17.580 --> 00:01:20.640]   Amen. Okay.
[00:01:20.640 --> 00:01:25.440]   The majority of this stuff is not for this group,
[00:01:25.440 --> 00:01:27.500]   but let me just do it anyway.
[00:01:27.740 --> 00:01:30.320]   Okay. We are Southern Baptist.
[00:01:30.320 --> 00:01:34.860]   Anybody have questions about that?
[00:01:34.860 --> 00:01:38.520]   Okay. Just to give you a quick overview,
[00:01:38.520 --> 00:01:42.160]   the way Southern Baptist is organized,
[00:01:42.160 --> 00:01:43.800]   it is local church autonomy,
[00:01:43.800 --> 00:01:46.220]   meaning that we don't have a governing board outside
[00:01:46.220 --> 00:01:47.960]   of our church that we submit to.
[00:01:47.960 --> 00:01:49.260]   It is completely voluntary.
[00:01:49.260 --> 00:01:50.860]   Okay. Where are we going?
[00:01:50.860 --> 00:01:51.980]   We're going to record this, too.
[00:01:51.980 --> 00:01:52.820]   >> We're really close.
[00:01:52.820 --> 00:01:53.300]   We're really close.
[00:01:53.300 --> 00:01:54.000]   >> I'm going to mess you up.
[00:01:54.000 --> 00:01:54.300]   I'm going to --
[00:01:54.300 --> 00:01:55.500]   >> Can you go back one?
[00:01:55.500 --> 00:01:56.080]   Go back one.
[00:01:57.400 --> 00:01:57.660]   >> All right.
[00:01:57.660 --> 00:01:58.420]   All right.
[00:01:58.420 --> 00:01:58.920]   That's good.
[00:01:58.920 --> 00:02:00.320]   All right.
[00:02:00.320 --> 00:02:02.900]   So because it's local church autonomy,
[00:02:02.900 --> 00:02:04.940]   it's basically voluntary.
[00:02:04.940 --> 00:02:11.060]   So we support the local chapter of the Southern Baptist,
[00:02:11.060 --> 00:02:14.160]   so we give an offering about $200 a month, and they use
[00:02:14.160 --> 00:02:15.980]   that to help plant like-minded churches.
[00:02:15.980 --> 00:02:18.300]   So we've been Southern Baptist from the very beginning.
[00:02:18.300 --> 00:02:19.560]   I'm ordained Southern Baptist.
[00:02:19.560 --> 00:02:21.520]   We came out of a Southern Baptist church.
[00:02:21.520 --> 00:02:24.820]   I was raised a Presbyterian, but then I became a Baptist
[00:02:24.820 --> 00:02:27.160]   because of my convictions and what I saw in scripture.
[00:02:27.760 --> 00:02:30.620]   So I got infant baptized and then rebaptized later
[00:02:30.620 --> 00:02:32.120]   on after I became a pastor.
[00:02:32.120 --> 00:02:34.660]   Even though we're Southern Baptist,
[00:02:34.660 --> 00:02:36.600]   the reason why I became Southern Baptist is
[00:02:36.600 --> 00:02:40.020]   because of the history, not because I want to partner
[00:02:40.020 --> 00:02:42.740]   with other churches, because in the local area,
[00:02:42.740 --> 00:02:45.440]   the Saddleback has so much influence.
[00:02:45.440 --> 00:02:47.680]   They're Southern Baptist, and they have so much influence
[00:02:47.680 --> 00:02:51.040]   in the churches in our area, and I didn't feel like we fit
[00:02:51.040 --> 00:02:53.040]   in with that -- with the way that they did church.
[00:02:53.040 --> 00:02:56.660]   But because of Dr. Michael Proud, and who is the head
[00:02:56.660 --> 00:02:58.520]   of the Southern Baptist in our area, that we felt
[00:02:58.520 --> 00:03:01.140]   like he was really like-minded, and as a result of that,
[00:03:01.140 --> 00:03:02.480]   I went to India, got to know him,
[00:03:02.480 --> 00:03:04.200]   and that's how we got involved with the Southern Baptist.
[00:03:04.200 --> 00:03:07.320]   And so because it's voluntary, we just kind of get involved
[00:03:07.320 --> 00:03:10.100]   with what we can, but our primary focus is just
[00:03:10.100 --> 00:03:11.700]   within the church, okay?
[00:03:11.700 --> 00:03:15.100]   And so we are involved, but not like a --
[00:03:15.100 --> 00:03:16.860]   you know, those people who are heavily involved,
[00:03:16.860 --> 00:03:18.320]   they go to meeting every single week,
[00:03:18.320 --> 00:03:19.560]   like sometimes twice a week.
[00:03:19.560 --> 00:03:21.680]   They do Easter services together.
[00:03:21.680 --> 00:03:23.760]   You know, they have pastoral retreats.
[00:03:23.760 --> 00:03:26.600]   We just -- I'm just not involved with that, right?
[00:03:26.680 --> 00:03:30.160]   But I do get involved with, if there is a like-minded church
[00:03:30.160 --> 00:03:32.940]   coming in, to try to support them, and then financially.
[00:03:32.940 --> 00:03:34.280]   And then we give to them.
[00:03:34.280 --> 00:03:37.180]   So if there's disasters, instead of just giving randomly,
[00:03:37.180 --> 00:03:39.120]   we give it to the Southern Baptist relief work.
[00:03:39.120 --> 00:03:42.060]   So they'll usually contact the Southern Baptist Church,
[00:03:42.060 --> 00:03:44.220]   let's say in Florida, or somewhere
[00:03:44.220 --> 00:03:46.040]   that disaster happens, or Haiti.
[00:03:46.040 --> 00:03:47.620]   Remember when that earthquake happened?
[00:03:47.620 --> 00:03:50.520]   So we send finances to the Southern Baptist Board,
[00:03:50.520 --> 00:03:52.860]   and then they would send it to the local church in that area,
[00:03:52.860 --> 00:03:55.200]   and then they would use those funds to help the people,
