
[00:00:00.000 --> 00:00:02.740]   (audio cuts out)
[00:00:02.740 --> 00:00:05.680]   that we have in our Savior.
[00:00:05.680 --> 00:00:08.480]   And so I wanna highlight that on Saturday,
[00:00:08.480 --> 00:00:10.680]   before that Christmas service time,
[00:00:10.680 --> 00:00:13.360]   from 1230 to 2300, there's gonna be an opportunity
[00:00:13.360 --> 00:00:16.520]   to go outreach and to just greet people
[00:00:16.520 --> 00:00:17.820]   and to pass out these flowers,
[00:00:17.820 --> 00:00:19.620]   but also just to share the gospel
[00:00:19.620 --> 00:00:21.000]   with the opportunities that we have.
[00:00:21.000 --> 00:00:22.300]   So if you'd like to sign up for that
[00:00:22.300 --> 00:00:24.680]   or you have questions, please, the link is there.
[00:00:24.680 --> 00:00:26.840]   Make sure you sign up through that.
[00:00:26.840 --> 00:00:28.520]   As the end of the year approaches,
[00:00:28.520 --> 00:00:31.200]   we do have some fellowship opportunities
[00:00:31.200 --> 00:00:33.760]   to spend time together as a church family.
[00:00:33.760 --> 00:00:36.160]   One, there's a ping pong tournament on Sunday,
[00:00:36.160 --> 00:00:37.600]   and you can sign up for that.
[00:00:37.600 --> 00:00:39.840]   All levels of skill are welcome.
[00:00:39.840 --> 00:00:42.680]   We also have New Year's games at 8 p.m.,
[00:00:42.680 --> 00:00:44.300]   and that's just actually free time
[00:00:44.300 --> 00:00:45.840]   for people to come together.
[00:00:45.840 --> 00:00:47.240]   If you're newer to the church,
[00:00:47.240 --> 00:00:48.720]   that's a good time just to jump on in.
[00:00:48.720 --> 00:00:50.560]   We're gonna have some greeters at the door,
[00:00:50.560 --> 00:00:53.000]   help you get placed into board games
[00:00:53.000 --> 00:00:54.720]   or different activities as well.
[00:00:54.720 --> 00:00:56.720]   And then we have our New Year service
[00:00:56.720 --> 00:00:59.120]   to really give that time to the Lord
[00:00:59.120 --> 00:01:00.640]   as we usher in the new year.
[00:01:00.640 --> 00:01:03.400]   So if you wanna mark your calendars for that,
[00:01:03.400 --> 00:01:05.340]   11 p.m. is the New Year service.
[00:01:05.340 --> 00:01:07.640]   The other thing I wanna highlight
[00:01:07.640 --> 00:01:09.280]   is that we announced last week
[00:01:09.280 --> 00:01:10.560]   that we're going to be taking
[00:01:10.560 --> 00:01:12.840]   what is called a Lottie Moon Missions Offering
[00:01:12.840 --> 00:01:14.860]   on Sunday the 29th.
[00:01:14.860 --> 00:01:18.040]   And some of you may not know exactly what that is,
[00:01:18.040 --> 00:01:21.800]   but that is fundraising specifically for missions
[00:01:21.800 --> 00:01:24.080]   hosted by the International Mission Board.
[00:01:24.080 --> 00:01:26.440]   So the funds will go to that organization
[00:01:26.440 --> 00:01:29.280]   and that is the organization that our friends,
[00:01:29.280 --> 00:01:32.120]   the Han family and Tong family are involved with.
[00:01:32.120 --> 00:01:35.660]   And we are able to earmark our offering towards them.
[00:01:35.660 --> 00:01:37.840]   So just to let you guys know,
[00:01:37.840 --> 00:01:40.960]   Lottie Moon, the name comes from a famous individual
[00:01:40.960 --> 00:01:43.600]   who went to China to do missions
[00:01:43.600 --> 00:01:47.480]   and invested years and years and faithfully tried to teach,
[00:01:47.480 --> 00:01:49.400]   tried to minister to the people there.
[00:01:49.400 --> 00:01:51.000]   And for her namesake,
[00:01:51.000 --> 00:01:54.900]   they made this into an annual offering time for us.
[00:01:54.900 --> 00:01:57.200]   We're gonna be participating in this year.
[00:01:57.200 --> 00:01:59.720]   And so again, it's gonna be Sunday the 29th,
[00:01:59.720 --> 00:02:02.560]   not next week, but the following week after.
[00:02:02.560 --> 00:02:04.600]   There's also just a highlight for you,
[00:02:04.600 --> 00:02:07.440]   still time if you'd like to contribute
[00:02:07.440 --> 00:02:09.080]   to offerings for the India pastors,
[00:02:09.080 --> 00:02:13.000]   there is a link there that you can participate that way
[00:02:13.000 --> 00:02:15.600]   or reach out to Sarah Kim if you have any questions.
[00:02:15.600 --> 00:02:17.280]   At this time, Pastor Nathan will come
[00:02:17.280 --> 00:02:18.640]   to deliver us the message.
[00:02:18.640 --> 00:02:19.640]   - Thank you.
[00:02:19.640 --> 00:02:27.460]   Good morning, everybody.
[00:02:27.460 --> 00:02:31.700]   If you could turn with me to 1 Peter chapter five,
[00:02:31.700 --> 00:02:35.860]   we're gonna read just two verses, verses eight and nine.
[00:02:35.860 --> 00:02:41.620]   And it says in his word,
[00:02:41.620 --> 00:02:45.980]   "Be of sober spirit, be on the alert.
[00:02:45.980 --> 00:02:47.220]   "Your adversary, the devil,
[00:02:47.220 --> 00:02:48.820]   "howls around like a roaring lion,
[00:02:48.820 --> 00:02:50.740]   "seeking someone to devour.
[00:02:50.740 --> 00:02:52.340]   "But resist him firm in your faith,
[00:02:52.340 --> 00:02:54.840]   "knowing that the same experiences of suffering
[00:02:54.840 --> 00:02:56.500]   "are being accomplished by your brethren
[00:02:56.500 --> 00:02:58.180]   "who are in the world."
[00:02:58.180 --> 00:03:00.220]   Would you pray with me?
[00:03:00.220 --> 00:03:02.720]   Heavenly Father, thank you so much.
[00:03:02.720 --> 00:03:05.560]   Thank you that we can, week after week,
[00:03:05.560 --> 00:03:09.400]   come back together and we are filled with joy
[00:03:09.400 --> 00:03:11.840]   as we can sing songs together,
[00:03:11.840 --> 00:03:13.380]   listen to your word together,
[00:03:13.380 --> 00:03:15.280]   to commune, to fellowship,
[00:03:15.280 --> 00:03:18.260]   all in all, Father, to marvel and wonder
[00:03:18.260 --> 00:03:20.720]   at the wonderful God that you are.
[00:03:20.720 --> 00:03:22.660]   You are the God that we serve.
[00:03:22.660 --> 00:03:25.000]   Your kingdom is the one we live for.
[00:03:25.000 --> 00:03:27.260]   Father, you are our God.
[00:03:27.260 --> 00:03:30.600]   And Lord, when we hear your word, we hear it.
[00:03:30.600 --> 00:03:34.120]   Father, we understand that these are yours.
[00:03:34.120 --> 00:03:36.400]   And so, God, I pray that you would help me
[00:03:36.400 --> 00:03:39.460]   to be clear in the delivering of it.
[00:03:39.460 --> 00:03:43.540]   Would you allow your word to take root and produce fruit?
[00:03:43.540 --> 00:03:46.040]   In Jesus' name we pray, amen.
[00:03:46.040 --> 00:03:50.920]   Well, we're kind of in the middle here
[00:03:50.920 --> 00:03:53.780]   of our covenant series, our tenfold covenant series,
[00:03:53.780 --> 00:03:56.720]   and these are kind of a stream
[00:03:56.720 --> 00:03:59.720]   of just different topical sermons.
[00:03:59.720 --> 00:04:02.560]   And this is one that the leadership
[00:04:02.560 --> 00:04:05.340]   was kind of thinking about, the idea of soberness,
[00:04:05.340 --> 00:04:06.980]   something we quite often talk about, I think,
[00:04:06.980 --> 00:04:08.620]   here at our church,
