
[00:00:00.000 --> 00:00:07.200]   (silence)
[00:00:07.200 --> 00:00:12.300]   By now, my guess is that many of you, if not most of you, have heard
[00:00:12.300 --> 00:00:17.540]   about what happened to a very famous pastor that wrote a book when he was young,
[00:00:17.540 --> 00:00:22.820]   became an international bestseller, and he's been a very influential pastor
[00:00:22.820 --> 00:00:26.780]   since he was in his early 20s, and he's publicly come out and denounced his faith.
[00:00:26.780 --> 00:00:30.620]   And he says that he's separating from his wife, and he's no longer a Christian.
[00:00:30.620 --> 00:00:33.220]   He's walking away from his faith.
[00:00:33.220 --> 00:00:37.300]   Now, if you are a young Christian, you may have never seen that before.
[00:00:37.300 --> 00:00:41.860]   And say, "What? Somebody at that level, who was that influential,
[00:00:41.860 --> 00:00:46.000]   could just walk away from his faith? And so, if that can happen to him,
[00:00:46.000 --> 00:00:49.980]   could that not happen to me? Could that not happen to you?"
[00:00:49.980 --> 00:00:54.980]   And that is a natural question that we should be asking.
[00:00:54.980 --> 00:00:59.880]   And the warning that we are given in the Scripture, in Hebrews, is that exact warning.
[00:00:59.880 --> 00:01:03.960]   No one is exempt from that.
[00:01:03.960 --> 00:01:08.220]   The next question that may come from that is, if somebody like him can fall,
[00:01:08.220 --> 00:01:12.360]   and just come out and just publicly denounce his faith,
[00:01:12.360 --> 00:01:17.240]   can a Christian who seemed like he was a genuine Christian just walk away from his faith?
[00:01:17.240 --> 00:01:22.300]   So, is he really saved? Can a Christian lose his salvation?
[00:01:22.300 --> 00:01:26.680]   And let me make that absolutely crystal clear.
[00:01:26.680 --> 00:01:30.740]   The Scripture is not ambiguous about that. It is not ambiguous about that.
[00:01:30.740 --> 00:01:33.180]   I don't care who tells you what book you've read.
[00:01:33.180 --> 00:01:35.820]   The Scripture is absolutely crystal clear about that.
[00:01:35.820 --> 00:01:41.620]   We did not earn our salvation, so you cannot lose your salvation. That is clear.
[00:01:41.620 --> 00:01:48.300]   Now, if you hear that, some non-Christians, and maybe very, very young Christians may hear that,
[00:01:48.300 --> 00:01:52.500]   "Well, then I don't need to really hold fast. I don't need to work hard.
[00:01:52.500 --> 00:01:58.380]   What's the point of being diligent? What's the point of fearing if the point of the Gospel message is,
[00:01:58.380 --> 00:02:01.720]   'You didn't do anything, so you don't have to do anything, and you're going to persevere.'"
[00:02:01.720 --> 00:02:03.080]   That is not what the Scripture says.
[00:02:03.080 --> 00:02:09.280]   In fact, the text that we're looking at is warning us not to drift.
[00:02:09.280 --> 00:02:14.360]   It says that we ought to fear so we do not fall short of the rest that is promised in Christ.
[00:02:14.360 --> 00:02:17.660]   That we need to be diligent to enter this rest.
[00:02:17.660 --> 00:02:21.400]   And today it says we need to hold fast to the promises that we've been giving.
[00:02:21.400 --> 00:02:24.840]   And then next week we'll be talking about, "Let us therefore draw near."
[00:02:24.840 --> 00:02:29.340]   So, the command not to drift is coupled with, "Let us."
[00:02:29.340 --> 00:02:34.380]   This is what we ought to do, and to do it with all our might.
[00:02:34.380 --> 00:02:36.840]   Then how do we reconcile this with the question of,
[00:02:36.840 --> 00:02:41.760]   if you're genuinely saved, that you can never truly lose your salvation?
[00:02:41.760 --> 00:02:43.720]   You can be stretched. You can walk away.
[00:02:43.720 --> 00:02:52.560]   You may, for a period, be dry in your faith, but you can never lose your salvation.
[00:02:52.560 --> 00:02:56.860]   The reason why you can never lose your salvation is because
[00:02:56.860 --> 00:03:03.640]   you can't have your eyes opened and then have it shut by your will.
[00:03:03.640 --> 00:03:08.180]   Meaning, I can't look at the truth and then, because of my struggles,
[00:03:08.180 --> 00:03:11.240]   and all of a sudden say, "You know, I'm just going to close my eyes to this truth."
[00:03:11.240 --> 00:03:14.680]   If you are a genuine believer, and God opened your eyes,
[00:03:14.680 --> 00:03:18.520]   and you saw and experienced the glory of the gospel of Jesus Christ,
[00:03:18.520 --> 00:03:21.020]   you can't one day, just because it's hard, say,
[00:03:21.020 --> 00:03:24.300]   "You know what? I'm going to pretend like I never saw that.
[00:03:24.300 --> 00:03:26.460]   I'm going to pretend that I never heard that.
[00:03:26.460 --> 00:03:29.940]   I'm going to pretend that I don't believe this."
[00:03:29.940 --> 00:03:35.140]   If an individual is capable of losing his salvation,
[00:03:35.140 --> 00:03:38.440]   you would have lost it already.
[00:03:38.440 --> 00:03:40.480]   Let me make that very clear.
[00:03:40.480 --> 00:03:44.880]   If you are capable of losing your salvation, you would have lost it already.
[00:03:44.880 --> 00:03:49.480]   Think about how many times, if you've been a Christian for more than a few years,
[00:03:49.480 --> 00:03:51.620]   that you've drifted away from God.
[00:03:51.620 --> 00:03:54.060]   You may have been discouraged, something tragic may have happened,
[00:03:54.060 --> 00:03:57.760]   or you just kind of drifted so far away that you could have seen yourself,
[00:03:57.760 --> 00:04:01.100]   if you kept on going down that path, to have just said, "You know what?
[00:04:01.100 --> 00:04:03.360]   Maybe I don't believe."
[00:04:03.360 --> 00:04:07.600]   If you've been a Christian for any period of time, you could probably think of one,
[00:04:07.600 --> 00:04:10.180]   two, or maybe several times in your life.
[00:04:10.180 --> 00:04:13.580]   If you've been a Christian for more than 5, 10 years, several times in your life,
[00:04:13.580 --> 00:04:17.040]   you say, "You know what? I didn't live like a Christian at that time.
[00:04:17.040 --> 00:04:20.620]   I could have easily seen myself drift out and just fall away."
[00:04:20.620 --> 00:04:25.260]   So my question is, what caused you to stay?
[00:04:25.260 --> 00:04:27.120]   What caused you to stay?
[00:04:27.120 --> 00:04:30.660]   What caused you to say, "This is not the right path,
[00:04:30.660 --> 00:04:32.520]   that I need to get back on the right path."
[00:04:32.520 --> 00:04:35.440]   Was it sheer will?
[00:04:35.440 --> 00:04:38.940]   Was it because you were more moral than other people?
[00:04:38.940 --> 00:04:43.040]   Was it stronger discipline?
[00:04:43.040 --> 00:04:50.420]   No, in the end, God opened your eyes, and you couldn't deny what you believe.
[00:04:50.420 --> 00:04:54.920]   If you're not a believer, and you begin to drift away from God,
[00:04:54.920 --> 00:04:58.480]   you feel perfectly fine going that direction.
