
[00:00:00.000 --> 00:00:07.000]   All right, good morning.
[00:00:07.000 --> 00:00:09.000]   Okay, welcome to Berean.
[00:00:09.000 --> 00:00:20.000]   Our welcome table is stationed outside now, so if you're new to the church or you brought a friend and you want to visit the welcome table, as soon as you go outside, it'll be stationed outside, so please come and visit us.
[00:00:20.000 --> 00:00:32.000]   Let me highlight a couple things. We have a members meeting today at 2.30, so if you're being introduced or you are a current member, please, if you can't make it, please let us know ahead of time.
[00:00:32.000 --> 00:00:35.000]   Okay, but again, it is a quarterly, mandatory meeting.
[00:00:35.000 --> 00:00:42.000]   So before the members meeting, our youth department is having a fundraiser.
[00:00:42.000 --> 00:00:54.000]   They're doing California Roll, okay? So they're doing California Roll for lunch, so if you go outside, you can support them and buy the lunch, and that's going to help them with the retreat that's coming up for them.
[00:00:54.000 --> 00:00:59.000]   So please stick around and support that ministry.
[00:00:59.000 --> 00:01:15.000]   Just a couple more things. If you haven't signed up for the Philippians Bible study, we are going to start making small groups and home groups and plug them in probably this week or next week, so we need you guys to sign up ASAP.
[00:01:15.000 --> 00:01:20.000]   So if you haven't signed up for the Wednesday Bible study or the home groups, please do so by today if possible.
[00:01:20.000 --> 00:01:23.000]   That'll help us to kind of plug people into the right places, okay?
[00:01:23.000 --> 00:01:30.000]   And also for Awana, those of you who know what Awana is, basically it's a weekly discipleship for the children.
[00:01:30.000 --> 00:01:34.000]   It's going to be taking place every Thursday starting sometime in September.
[00:01:34.000 --> 00:01:38.000]   Our sister Jane is the main person for that.
[00:01:38.000 --> 00:01:44.000]   If you haven't signed up for that, please sign up so that, again, so they can better prepare for what's coming for the Awana.
[00:01:44.000 --> 00:01:47.000]   Okay, so that's happening on Thursdays in September.
[00:01:47.000 --> 00:01:53.000]   We have one more announcement from our BAM ministry, so Grace is going to come give the announcement.
[00:01:53.000 --> 00:01:58.000]   Good morning, Church family. This is specifically for our BAM ministry.
[00:01:58.000 --> 00:02:02.000]   For those who don't know what BAM ministry is, it's Berean Adult Ministry.
[00:02:02.000 --> 00:02:09.000]   Basically, if you're no longer in college and you're not married, this is basically for you.
[00:02:09.000 --> 00:02:13.000]   We have a summer retreat coming up on September 6th to September 9th.
[00:02:13.000 --> 00:02:16.000]   Oh, I lied. September 6th to September 8th.
[00:02:16.000 --> 00:02:18.000]   It's going to be at Taquit Pines.
[00:02:18.000 --> 00:02:22.000]   Our speaker is Pastor Mark, and our theme is perfect identity.
