
[00:00:00.000 --> 00:00:07.000]   [silence]
[00:00:07.000 --> 00:00:11.000]   All right, if you can turn your Bibles to Romans chapter 4,
[00:00:11.000 --> 00:00:16.000]   it's going to be part 2 of last week's sermon,
[00:00:16.000 --> 00:00:21.000]   "That Salvation is Promised and Not Negotiated," part 2.
[00:00:21.000 --> 00:00:28.000]   I'm going to be reading from verse 16 and on.
[00:00:28.000 --> 00:00:30.000]   Reading out of the ESV.
[00:00:30.000 --> 00:00:37.000]   [reading]
[00:00:37.000 --> 00:00:42.000]   [reading]
[00:00:42.000 --> 00:00:47.000]   [reading]
[00:00:47.000 --> 00:00:52.000]   [reading]
[00:00:52.000 --> 00:00:57.000]   [reading]
[00:00:57.000 --> 00:01:02.000]   [reading]
[00:01:02.000 --> 00:01:07.000]   [reading]
[00:01:07.000 --> 00:01:12.000]   [reading]
[00:01:12.000 --> 00:01:17.000]   [reading]
[00:01:17.000 --> 00:01:22.000]   [reading]
[00:01:22.000 --> 00:01:27.000]   [reading]
[00:01:27.000 --> 00:01:32.000]   [reading]
[00:01:32.000 --> 00:01:37.000]   [reading]
[00:01:37.000 --> 00:01:42.000]   [reading]
[00:01:42.000 --> 00:01:47.000]   [reading]
[00:01:47.000 --> 00:01:52.000]   [reading]
[00:01:52.000 --> 00:01:57.000]   [reading]
[00:01:57.000 --> 00:02:02.000]   [reading]
[00:02:02.000 --> 00:02:07.000]   [reading]
[00:02:07.000 --> 00:02:12.000]   [reading]
[00:02:12.000 --> 00:02:17.000]   [reading]
[00:02:17.000 --> 00:02:22.000]   [reading]
[00:02:22.000 --> 00:02:27.000]   Again, so the first four chapters of Romans, we've been talking about
[00:02:27.000 --> 00:02:32.000]   the foundation of the Gospel. And again, every part of what we are talking about
[00:02:32.000 --> 00:02:37.000]   is a different element of the Gospel that is being pounded over and over again.
[00:02:37.000 --> 00:02:42.000]   Why this is so essential to our faith. And I think out of all the Bible study
[00:02:42.000 --> 00:02:47.000]   materials that I've ever gone through to lead somebody to Christ, and then once they
[00:02:47.000 --> 00:02:51.000]   become a Christian, like what material do we go through? What are some of the first
[00:02:51.000 --> 00:02:55.000]   things that we need to talk about? And I would say probably most of the materials
[00:02:55.000 --> 00:03:00.000]   that I've seen usually goes through assurance of salvation. Whether it's from
[00:03:00.000 --> 00:03:05.000]   Navigators or CCC or Southern Baptist or whatever Bible study material, one of the
[00:03:05.000 --> 00:03:11.000]   first things that every group that comes at us, what is the first thing that we need
[00:03:11.000 --> 00:03:16.000]   to make sure that the brand new Christian is assured of is his salvation. So you go
[00:03:16.000 --> 00:03:20.000]   through the Gospel message and why we can have assurance. We talked about last week
[00:03:20.000 --> 00:03:25.000]   what is unique about our Christian faith is that we are able to have this assurance.
[00:03:25.000 --> 00:03:30.000]   Where John says in 1 John 5, "I write these things to you so that you may know that you
[00:03:30.000 --> 00:03:35.000]   have eternal life." That we have assurance that when we die we are not rolling the dice
[00:03:35.000 --> 00:03:41.000]   standing before God saying, "Hopefully that I've done enough good. Hopefully that my
[00:03:41.000 --> 00:03:45.000]   good outweigh the bad and then hopefully that we'll be able to get to Heaven." But we
[00:03:45.000 --> 00:03:49.000]   are assured by the blood of Christ. And the reason why we are assured, we talked about
[00:03:49.000 --> 00:03:54.000]   last week, the first of the three points that we talked about, is that it is based
[00:03:54.000 --> 00:04:00.000]   upon His promise and not by our works. So He said, one, why it has to be promised is
[00:04:00.000 --> 00:04:05.000]   because we are promised to be heirs of the world. That that's not something that you
[00:04:05.000 --> 00:04:09.000]   and I can add to. You can't just wake up one day and say, "I want to be a child of
[00:04:09.000 --> 00:04:16.000]   Bill Gates." You can't add to that. You can't one day decide by your own will, "I'm
[00:04:16.000 --> 00:04:20.000]   going to be a child of God and this is the way I'm going to do it." So the very nature
[00:04:20.000 --> 00:04:28.000]   of our salvation requires that it is salvation completely by grace. And then He says, "If
