
[00:00:00.000 --> 00:00:04.640]   Good morning.
[00:00:04.640 --> 00:00:11.200]   If you've been following us in our worship, we've been in the series of the I Am Statements
[00:00:11.200 --> 00:00:12.200]   of Christ.
[00:00:12.200 --> 00:00:13.280]   There are seven specific ones.
[00:00:13.280 --> 00:00:16.840]   And we talked about Jesus as the bread of life.
[00:00:16.840 --> 00:00:19.300]   We talked about Jesus as the light of the world.
[00:00:19.300 --> 00:00:23.320]   And then during Easter, we talked about Jesus as the resurrection and the life.
[00:00:23.320 --> 00:00:28.560]   So we're going to be covering chapter 10, but it's really connected to chapter 9.
[00:00:28.560 --> 00:00:34.520]   And it has to be understood together because chapter 10 is spoken of in the context of
[00:00:34.520 --> 00:00:36.340]   what happens in chapter 9.
[00:00:36.340 --> 00:00:40.520]   And so we have the two statements of Jesus where he says, "I am the door and I am the
[00:00:40.520 --> 00:00:41.960]   good shepherd."
[00:00:41.960 --> 00:00:46.680]   And so let me read the passage where he states that in John chapter 10, verse 7, and John
[00:00:46.680 --> 00:00:52.760]   chapter 10, verse 11, and then we'll jump into the text this morning.
[00:00:52.760 --> 00:00:57.440]   John chapter 10, verse 7, "Jesus said to them, 'Truly, truly, I say to you, I am the door
[00:00:57.440 --> 00:00:59.280]   of the sheep.'"
[00:00:59.280 --> 00:01:02.440]   Then John chapter 10, 11, "I am the good shepherd.
[00:01:02.440 --> 00:01:05.160]   The good shepherd lays down his life for the sheep."
[00:01:05.160 --> 00:01:07.360]   Let's pray.
[00:01:07.360 --> 00:01:13.120]   Father, we pray that your word would speak to us.
[00:01:13.120 --> 00:01:17.840]   Help us to have a deepening understanding of Christ and that in light of the surpassing
[00:01:17.840 --> 00:01:23.320]   knowledge of knowing him better, that all these other things, Lord God, that easily
[00:01:23.320 --> 00:01:27.800]   entangles us and tempts us would truly become rubbish.
[00:01:27.800 --> 00:01:32.240]   Help us, Lord, to see a greater vision of the glory of Christ, that our eyes may be
