
[00:00:00.000 --> 00:00:05.440]   Good morning.
[00:00:05.440 --> 00:00:10.240]   If you can turn your Bibles with me to Hebrews chapter 12.
[00:00:10.240 --> 00:00:14.240]   And I'm going to be reading from verse 14 to 17.
[00:00:14.240 --> 00:00:19.920]   And I'm going to give you a heads up.
[00:00:19.920 --> 00:00:23.600]   Something funny happened right before I came up.
[00:00:23.600 --> 00:00:28.940]   I was praying and my mom came up to me and she tapped me on my shoulder and then she
[00:00:28.940 --> 00:00:31.640]   opened up a packet and she said, "Eat it."
[00:00:31.640 --> 00:00:33.680]   So as a good son, I just ate it.
[00:00:33.680 --> 00:00:37.160]   And then she opened up another one and then, so I just ate it.
[00:00:37.160 --> 00:00:39.640]   And I said, "What is this?"
[00:00:39.640 --> 00:00:41.280]   And she said, "It's good for you.
[00:00:41.280 --> 00:00:42.280]   Don't worry about it.
[00:00:42.280 --> 00:00:43.360]   Just eat it."
[00:00:43.360 --> 00:00:44.360]   So I ate it.
[00:00:44.360 --> 00:00:46.360]   And I said, "So what is this?"
[00:00:46.360 --> 00:00:51.800]   And she said, "It's supposed to help you to sleep."
[00:00:51.800 --> 00:00:54.760]   And I didn't think about it until middle of the worship.
[00:00:54.760 --> 00:00:58.200]   It's like, I'm getting drowsy.
[00:00:58.200 --> 00:01:00.680]   So I don't think it's supposed to affect me immediately.
[00:01:00.680 --> 00:01:02.600]   It's just probably psychological.
[00:01:02.600 --> 00:01:08.280]   But anyway, that's the love of mom and my obedience.
[00:01:08.280 --> 00:01:15.200]   If I slur my words as to reason, and I had two of it before I came up.
[00:01:15.200 --> 00:01:16.200]   Okay.
[00:01:16.200 --> 00:01:17.200]   Anyway.
[00:01:17.200 --> 00:01:23.520]   So if I make, if it's complete nonsense, it's not the Holy Spirit.
[00:01:23.520 --> 00:01:24.520]   Whatever it is, I eat.
[00:01:24.520 --> 00:01:25.520]   Okay.
[00:01:25.520 --> 00:01:30.600]   So let's go to 12 verses 14 through 17.
[00:01:30.600 --> 00:01:34.800]   Pursue peace with all men and the sanctification without which no one will see the Lord.
[00:01:34.800 --> 00:01:39.720]   See to it that no one comes short of the grace of God, that no root of bitterness springing
[00:01:39.720 --> 00:01:43.160]   up causes trouble, and by it many be defiled.
[00:01:43.160 --> 00:01:47.800]   That there be no immoral or godless person like Esau, who sold his own birthright for
[00:01:47.800 --> 00:01:49.520]   a single meal.
[00:01:49.520 --> 00:01:54.100]   For you know that even afterwards, when he desired to inherit the blessings, he was rejected,
[00:01:54.100 --> 00:01:57.880]   for he found no place for repentance, though he sought for it with tears.
[00:01:57.880 --> 00:01:59.880]   Let's pray.
[00:01:59.880 --> 00:02:06.480]   Heavenly Father, we thank you so much, Lord God, for your grace that sustains us, renews
[00:02:06.480 --> 00:02:09.480]   us, strengthens us, Lord God.
[00:02:09.480 --> 00:02:15.160]   I pray that you would give us soberness of mind, heart, ears to listen, and desire and
[00:02:15.160 --> 00:02:17.120]   will, Father, God, to apply all that you teach.
[00:02:17.120 --> 00:02:19.120]   In Jesus' name we pray.
[00:02:19.120 --> 00:02:20.120]   Amen.
[00:02:20.120 --> 00:02:23.840]   Let me start by asking you this question.
[00:02:23.840 --> 00:02:31.560]   If you were to turn the clock back 10, possibly 20 years, I say 10 because some of you guys
[00:02:31.560 --> 00:02:36.280]   may not have been alive 20 years ago, but some of you guys are older, maybe 20 years,
[00:02:36.280 --> 00:02:37.280]   okay, or to 10 years.
[00:02:37.280 --> 00:02:45.860]   If you were able to turn the clock back, what would you tell yourself 10, 20 years younger?
[00:02:45.860 --> 00:02:49.820]   Maybe financially you'd tell yourself, "Buy some Bitcoin."
[00:02:49.820 --> 00:02:51.800]   You know, you have no idea, right?
[00:02:51.800 --> 00:02:56.360]   Buy several thousand dollars worth of Bitcoin and you'll become a multimillionaire, right?
[00:02:56.360 --> 00:03:00.160]   Maybe financially that's something you might be telling yourself.
[00:03:00.160 --> 00:03:03.960]   Physically, I would tell myself to take care of my knees.
[00:03:03.960 --> 00:03:07.640]   You know, when you're young, you don't think much about it because you get injured, you
[00:03:07.640 --> 00:03:12.560]   get right back up, but, you know, like once you mess up your knees, it's over, right?
[00:03:12.560 --> 00:03:15.880]   So I'm envious of people who can run.
[00:03:15.880 --> 00:03:22.480]   Not that I want to run, but the possibility that you can run, right?
[00:03:22.480 --> 00:03:26.620]   If you ask people who are older, and I thought this was interesting because somebody asked
[00:03:26.620 --> 00:03:32.200]   me this question, like, "What period of your life would you want to try to like get back
[00:03:32.200 --> 00:03:34.500]   or experience again?"
[00:03:34.500 --> 00:03:40.440]   And without thinking, it's probably in my 30s and the reason why is because that's when
[00:03:40.440 --> 00:03:42.440]   the children were young.
[00:03:42.440 --> 00:03:45.780]   And so I think most parents, when you think about this, like, yeah, that's the period.
[00:03:45.780 --> 00:03:51.860]   As hard as that period was, right, financially, church, in every way it was a very difficult
[00:03:51.860 --> 00:03:57.300]   period, but it's also the period that I have the fondest memory of because the children
[00:03:57.300 --> 00:03:58.300]   were young, you know?
[00:03:58.300 --> 00:04:01.700]   And I know that some of the parents who are, you know, huffing and puffing with small children
[00:04:01.700 --> 00:04:06.840]   right now, they think, it's like, "Oh, I just can't wait until they are older and you can
[00:04:06.840 --> 00:04:07.840]   get out of the house."
[00:04:07.840 --> 00:04:11.140]   But as soon as they get out of the house, you're like, "Oh, it was great when they were young.
[00:04:11.140 --> 00:04:14.020]   They were attached to us," right?
[00:04:14.020 --> 00:04:19.500]   But our tendency is when time passes, we always look back and our memory and what we value
[00:04:19.500 --> 00:04:23.780]   at that period of time is very different than, you know, when we're experiencing it.
[00:04:23.780 --> 00:04:28.020]   So it's good time to time for us to look back and say, "Well, those are things that..."
[00:04:28.020 --> 00:04:30.660]   And it causes us to see the future differently.
[00:04:30.660 --> 00:04:33.020]   So I have another question.
