
[00:00:00.000 --> 00:00:04.440]   [Intro Music]
[00:06:05.560 --> 00:06:08.360]   universal submission.
[00:06:08.360 --> 00:06:15.640]   Willingly or unwillingly, every knee is going to bow, including the demons under the earth.
[00:06:15.640 --> 00:06:22.360]   Could it be, could it be that Paul did not use the phrase "under the earth" in Colossians
[00:06:22.360 --> 00:06:28.080]   1-20 because those under the earth will not be reconciled to God?
[00:06:28.080 --> 00:06:30.240]   They're not part of the all things.
[00:06:30.240 --> 00:06:34.640]   They will have to submit, but they will not be reconciled.
[00:06:34.640 --> 00:06:40.720]   Now here's my last text, and a very, very important observation, I think.
[00:06:40.720 --> 00:06:44.360]   This is a principled analogy.
[00:06:44.360 --> 00:06:48.800]   I'm thinking of Isaiah 66-24.
[00:06:48.800 --> 00:06:52.400]   Those are the very last verses of the prophet Isaiah.
[00:06:52.400 --> 00:07:01.020]   And the point of this text is simply to illustrate how careful one has to be in taking a phrase
[00:07:01.020 --> 00:07:06.560]   like "all things" and assuming it includes what it does not include.
[00:07:06.560 --> 00:07:08.360]   Here's what it says in verse 22.
[00:07:08.360 --> 00:07:15.480]   "As the new heavens and the new earth, as the new heavens and the new earth that I make,
[00:07:15.480 --> 00:07:23.280]   shall remain before me, says the Lord, so shall your offspring and your name remain."
[00:07:23.280 --> 00:07:31.620]   Verse 23, "From new moon to new moon and from Sabbath to Sabbath, all flesh," there's the
[00:07:31.620 --> 00:07:39.860]   phrase, "all flesh shall come to worship before me, declares the Lord."
[00:07:39.860 --> 00:07:44.860]   Now if we stopped right there, after verse 23, we might say, "There it is!
[00:07:44.860 --> 00:07:46.740]   That's Colossians 1-20, right?
[00:07:46.740 --> 00:07:48.220]   All things are going to be reconciled.
[00:07:48.220 --> 00:07:49.220]   Everybody's worshiping.
[00:07:49.220 --> 00:07:51.580]   All flesh is worshiping."
[00:07:51.580 --> 00:07:53.240]   Here's the problem.
[00:07:53.240 --> 00:07:56.440]   The next verse goes like this, which is verse 24.
[00:07:56.440 --> 00:08:05.640]   "And they," that is the all flesh, "they shall go out and look on the dead bodies of the
[00:08:05.640 --> 00:08:09.340]   men who have rebelled against me.
[00:08:09.340 --> 00:08:16.760]   For their worm shall not die, their fire shall not be quenched, and they shall be an abhorrence
[00:08:16.760 --> 00:08:20.240]   to all flesh."
[00:08:20.240 --> 00:08:28.080]   Now I think this is clear, and what is clear is that all flesh, like all things in Colossians
[00:08:28.080 --> 00:08:35.380]   1-20, all flesh in the new creation does not include the flesh of those who have rebelled
[00:08:35.380 --> 00:08:36.600]   against God.
[00:08:36.600 --> 00:08:46.120]   What all flesh means in Isaiah 66-23 is the totality of humanity in the new heavens and
[00:08:46.120 --> 00:08:47.640]   the new earth.
[00:08:47.640 --> 00:08:54.600]   There will be nothing and no one there who does not joyfully worship God.
[00:08:54.600 --> 00:09:01.520]   Rebels will be outside, away from the glory of the Lord, and that's what I think Colossians
[00:09:01.520 --> 00:09:03.880]   1-20 means as well.
[00:09:03.880 --> 00:09:06.720]   That is a worthy stab at a very baffling text.
[00:09:06.720 --> 00:09:07.800]   Thank you, Pastor John.
[00:09:07.800 --> 00:09:09.280]   And thanks for the question, Heather.
[00:09:09.280 --> 00:09:12.920]   This podcast exists because you engage with us.
[00:09:12.920 --> 00:09:16.440]   We depend on your excellent questions like this one here from Heather.
[00:09:16.440 --> 00:09:20.520]   And I want to thank you for sending those in to us, tens of thousands of questions over
[00:09:20.520 --> 00:09:21.520]   the years.
[00:09:21.520 --> 00:09:22.520]   So grateful.
[00:09:22.520 --> 00:09:27.000]   And did you know that Desiring God is 98% donor funded?
[00:09:27.000 --> 00:09:28.000]   That's you.
[00:09:28.000 --> 00:09:29.000]   That's you listening.
[00:09:29.000 --> 00:09:30.960]   You fund what we do.
[00:09:30.960 --> 00:09:35.240]   And through those generous financial gifts and prayers of our partners, we reach millions
[00:09:35.240 --> 00:09:40.240]   of people every month with God-centered resources like this podcast.
[00:09:40.240 --> 00:09:45.800]   And if you feel led to join us as a ministry partner, December is a huge month for us.
[00:09:45.800 --> 00:09:49.200]   Should you consider giving a one-time gift or even a monthly gift to the ministry to
[00:09:49.200 --> 00:09:53.880]   donate, visit DesiringGod.org/give.
[00:09:53.880 --> 00:09:58.600]   That's DesiringGod.org/give.
[00:09:58.600 --> 00:10:03.360]   Wednesday we return to talk about what happens to the believer shortly after death.
[00:10:03.360 --> 00:10:08.280]   Do we go to see Jesus immediately or does that happen only after the bodily resurrection?
[00:10:08.280 --> 00:10:12.800]   It's another perceptive question from a listener, and I'll ask Pastor John on Wednesday.
[00:10:12.800 --> 00:10:13.800]   I'm Tony Reinke.
[00:10:13.800 --> 00:10:14.560]   We'll see you then.
[00:10:14.560 --> 00:10:15.560]   [END]
[00:10:15.560 --> 00:10:16.560]   Desiring God is 98% donor funded.
[00:10:16.560 --> 00:10:17.560]   We reach millions of people every month with God-centered resources like this podcast.
[00:10:17.560 --> 00:10:18.560]   And if you feel led to join us as a ministry partner, December is a huge month for us.
[00:10:18.560 --> 00:10:19.560]   Should you consider giving a one-time gift or even a monthly gift to the ministry to
[00:10:19.560 --> 00:10:20.560]   donate, visit DesiringGod.org/give.
[00:10:20.560 --> 00:10:21.560]   That's DesiringGod.org/give.
[00:10:21.560 --> 00:10:22.560]   Wednesday we return to talk about what happens to the believer shortly after death.
[00:10:22.560 --> 00:10:23.560]   Do we go to see Jesus immediately or does that happen only after the bodily resurrection?

