
[00:00:00.000 --> 00:00:05.160]   All right, good morning.
[00:00:05.160 --> 00:00:08.080]   We're going to be finishing up the I Am Statement.
[00:00:08.080 --> 00:00:09.600]   That's on chapter 15, the part two.
[00:00:09.600 --> 00:00:14.740]   I didn't get to finish last week, so we're going to finish the part two for this week.
[00:00:14.740 --> 00:00:21.240]   So please turn your Bibles to John chapter 15 and let me read from verse 1 through 11.
[00:00:21.240 --> 00:00:25.320]   Okay, John chapter 15, verses 1 through 11.
[00:00:25.320 --> 00:00:28.000]   I am the true vine and my Father is the vinedresser.
[00:00:28.000 --> 00:00:31.140]   Every branch in me that does not bear fruit, he takes away.
[00:00:31.140 --> 00:00:36.080]   And every branch that bears fruit, he prunes it so that it may bear more fruit.
[00:00:36.080 --> 00:00:40.200]   You are already clean because of the word which I have spoken to you.
[00:00:40.200 --> 00:00:45.000]   Abide in me and I in you, as the branch cannot bear fruit of itself unless it abides in the
[00:00:45.000 --> 00:00:48.000]   vine, so neither can you unless you abide in me.
[00:00:48.000 --> 00:00:49.760]   I am the vine and you are the branches.
[00:00:49.760 --> 00:00:53.280]   He who abides in me and I in him, he bears much fruit.
[00:00:53.280 --> 00:00:55.900]   For apart from me, you can do nothing.
[00:00:55.900 --> 00:01:00.400]   If anyone does not abide in me, he is thrown away as a branch and dries up, and they gather
[00:01:00.400 --> 00:01:03.680]   them and cast them into the fire and they are burned.
[00:01:03.680 --> 00:01:07.160]   If you abide in me and my words abide in you, ask whatever you wish and it will be done
[00:01:07.160 --> 00:01:08.320]   for you.
[00:01:08.320 --> 00:01:14.040]   My Father is glorified by this that you bear much fruit and so prove to be my disciples.
[00:01:14.040 --> 00:01:18.640]   Just as the Father has loved me and I have also loved you, abide in my love.
[00:01:18.640 --> 00:01:22.920]   If you keep my commandments, you will abide in my love, just as I have kept my Father's
[00:01:22.920 --> 00:01:25.120]   commandments and abide in his love.
[00:01:25.120 --> 00:01:29.500]   These things I have spoken to you so that my joy may be in you and that your joy may
[00:01:29.500 --> 00:01:30.500]   be made full.
[00:01:30.500 --> 00:01:31.500]   Let's pray.
[00:01:31.500 --> 00:01:36.900]   Gracious Father, we pray for your blessing over this time.
[00:01:36.900 --> 00:01:43.080]   We pray, Father God, that your Holy Spirit would illumine our hearts, that we may understand
[00:01:43.080 --> 00:01:47.600]   and that we may be convicted, that we may live lives truly bearing fruit as we abide
[00:01:47.600 --> 00:01:48.600]   in Christ.
[00:01:48.600 --> 00:01:52.360]   In Jesus' name we pray, amen.
[00:01:52.360 --> 00:01:57.500]   All right, so I think we're in what, seventh or eighth week into our lockdown and I know
[00:01:57.500 --> 00:02:00.140]   many of you, your life doesn't look much different.
[00:02:00.140 --> 00:02:05.860]   Maybe you're even busier than before because you're going to work physically and you come
[00:02:05.860 --> 00:02:09.260]   home and you got to take care of the kids who are not at school and so maybe some of
[00:02:09.260 --> 00:02:13.060]   you, I know some of you are busier, but there's a lot of us.
[00:02:13.060 --> 00:02:19.860]   And again, we're home, we're eager for the doors to open and for us to come back to church,
[00:02:19.860 --> 00:02:25.580]   but you know, being locked down, like sometimes I wake up and I don't know if it's Monday,
[00:02:25.580 --> 00:02:29.260]   I don't know if it's Saturday, you know, it's kind of like Groundhog Day.
[00:02:29.260 --> 00:02:32.940]   I don't know if you've ever saw that movie with Bill Murray where he wakes up and same
[00:02:32.940 --> 00:02:37.680]   thing happens day after day after day and then, you know, sometimes it kind of feels
[00:02:37.680 --> 00:02:39.260]   like that, right?
[00:02:39.260 --> 00:02:43.380]   Even this morning, I was talking to Pastor Mark this morning, I actually had to go record
[00:02:43.380 --> 00:02:48.780]   a sermon for a friend's church and usually I know it's Sunday because I preach.
[00:02:48.780 --> 00:02:50.900]   You know, I wake up in the morning thinking about the sermon.
[00:02:50.900 --> 00:02:56.700]   So I had to give a sermon yesterday and I went to sleep kind of winding down and then
[00:02:56.700 --> 00:03:01.740]   I woke up this morning thinking it was Monday and I was just relaxing on my bed thinking
[00:03:01.740 --> 00:03:06.420]   like what am I going to do and grab some coffee, do my devotions and then it all of a sudden
[00:03:06.420 --> 00:03:08.700]   hit me, it's like, oh shoot, it's Sunday.
[00:03:08.700 --> 00:03:12.300]   And so I kind of had to hurry and get out of the house and I don't know about you, but
[00:03:12.300 --> 00:03:17.700]   you know, the days are kind of bleeding into the other days and again, I'm eager to have
[00:03:17.700 --> 00:03:23.540]   the country open back up and us getting back to work and what we need to do.
[00:03:23.540 --> 00:03:31.420]   You know, bearing fruit that we talked about last week is absolutely important, right?
[00:03:31.420 --> 00:03:35.300]   Whether it's as a Christian or just regular part of life and if you're doing anything
[00:03:35.300 --> 00:03:41.060]   and you don't see progress, eventually you're going to lose motivation.
[00:03:41.060 --> 00:03:44.900]   The text that we're looking at this morning is about bearing fruit and the reason why
[00:03:44.900 --> 00:03:50.060]   Jesus says this to his disciples before he leaves is because he's preparing them to continue
[00:03:50.060 --> 00:03:53.220]   the work that he started after he leaves.
[00:03:53.220 --> 00:03:58.700]   That their primary task was to take this gospel message, the hope of his death and resurrection
[00:03:58.700 --> 00:04:03.180]   and go plant churches and spread the gospel and make sure that the world hears about and
[00:04:03.180 --> 00:04:06.260]   knows about the hope that we have in Jesus Christ.
[00:04:06.260 --> 00:04:10.760]   But he wanted to, as he is preparing them, he also wanted to warn them that the only
[00:04:10.760 --> 00:04:16.540]   way that they're going to really bear fruit is if they abide in Christ.
[00:04:16.540 --> 00:04:20.140]   That is the only way that they can truly bear fruit.
[00:04:20.140 --> 00:04:24.940]   In John chapter 15, verse 4, it says, "Abide in me and I in you, and as the branch cannot
[00:04:24.940 --> 00:04:30.140]   bear fruit of itself unless it abides in the vine, so neither can you unless you abide
[00:04:30.140 --> 00:04:31.140]   in me."
[00:04:31.140 --> 00:04:36.780]   So let's stop right there and really understand what he is saying here in verse 4, the magnitude
[00:04:36.780 --> 00:04:38.340]   of what he's saying.
[00:04:38.340 --> 00:04:42.080]   He's not saying that you're not going to bear good fruit.
[00:04:42.080 --> 00:04:44.880]   He's not saying that you're not going to bear much fruit.
[00:04:44.880 --> 00:04:48.640]   He says you cannot bear any fruit.
[00:04:48.640 --> 00:04:52.480]   You can't bear any fruit unless you're abiding in me.
[00:04:52.480 --> 00:04:57.000]   So in other words, from this point on, after I leave, the Holy Spirit is going to come
[00:04:57.000 --> 00:05:02.680]   and if you do not abide, if you do not continue, you will bear no fruit.
