
[00:00:00.000 --> 00:00:09.400]   - Good evening, everyone.
[00:00:09.400 --> 00:00:12.320]   Let's take a moment to pray and go before the Lord
[00:00:12.320 --> 00:00:15.160]   as we start our weekday Bible study.
[00:00:15.160 --> 00:00:19.960]   All right, God, we thank you, God, for your truth.
[00:00:19.960 --> 00:00:25.280]   Lord, we recognize truly how powerful your word is
[00:00:25.280 --> 00:00:27.680]   because God, you're a powerful God.
[00:00:27.680 --> 00:00:31.520]   We thank you so much that this word, which you describe
[00:00:31.520 --> 00:00:35.960]   as so precious, more to be desired than money and gold,
[00:00:35.960 --> 00:00:39.240]   and sweeter, Father God, than any sweet thing in this world.
[00:00:39.240 --> 00:00:43.120]   I do pray that we would all the more experience it, trust,
[00:00:43.120 --> 00:00:45.560]   and continue to build our lives upon it.
[00:00:45.560 --> 00:00:47.360]   And we again want to thank you.
[00:00:47.360 --> 00:00:51.200]   Week in and week out, we have opportunity to study and learn.
[00:00:51.200 --> 00:00:53.520]   And we do recognize, God, we feel
[00:00:53.520 --> 00:00:55.800]   how it continues to feed our soul
[00:00:55.800 --> 00:00:59.120]   and causes us to be strong in faith towards you, Lord.
[00:00:59.120 --> 00:01:01.200]   We want to thank you again and pray for a fruitful time
[00:01:01.200 --> 00:01:02.240]   of study this evening.
[00:01:02.240 --> 00:01:04.880]   It's in Christ's name we pray, amen.
[00:01:04.880 --> 00:01:06.560]   OK.
[00:01:06.560 --> 00:01:09.320]   This evening, we are looking at Ephesians chapter 4,
[00:01:09.320 --> 00:01:11.360]   verses 11 through 16.
[00:01:11.360 --> 00:01:13.760]   So let's take a moment to start reading.
[00:01:13.760 --> 00:01:16.440]   I will start reading in verse 7 because, again, those
[00:01:16.440 --> 00:01:18.200]   were connected thoughts.
[00:01:18.200 --> 00:01:20.840]   And in verse 7, it says, "But to each one of us,
[00:01:20.840 --> 00:01:24.200]   grace was given according to the measure of Christ's gift.
[00:01:24.200 --> 00:01:27.120]   Therefore, it says, when he ascended on high,
[00:01:27.120 --> 00:01:29.680]   he led captive, a host of captives,
[00:01:29.680 --> 00:01:31.880]   and he gave gifts to men."
[00:01:31.880 --> 00:01:33.920]   Now, this expression, "he ascended," what does it mean
[00:01:33.920 --> 00:01:36.360]   except that he also had descended into the lower
[00:01:36.360 --> 00:01:37.720]   parts of the earth?
[00:01:37.720 --> 00:01:39.800]   "He who descended is himself also he
[00:01:39.800 --> 00:01:42.080]   who ascended far above all the heavens
[00:01:42.080 --> 00:01:45.120]   so that he might fill all things."
[00:01:45.120 --> 00:01:46.840]   Our passage for today.
[00:01:46.840 --> 00:01:49.040]   "And he gave some as apostles and some as prophets
[00:01:49.040 --> 00:01:52.240]   and some as evangelists and some as pastors and teachers
[00:01:52.240 --> 00:01:54.800]   for the equipping of the saints for the work of service,
[00:01:54.800 --> 00:01:56.760]   to the building up of the body of Christ
[00:01:56.760 --> 00:01:59.560]   until we all attain to the unity of faith
[00:01:59.560 --> 00:02:01.040]   and the knowledge of the Son of God,
[00:02:01.040 --> 00:02:04.560]   to a mature man, to the measure of the stature which belongs
[00:02:04.560 --> 00:02:05.720]   to the fullness of Christ.
[00:02:05.720 --> 00:02:09.080]   As a result, we are no longer to be children tossed here
[00:02:09.080 --> 00:02:10.840]   and there by waves and carried about
[00:02:10.840 --> 00:02:14.360]   by every wind of doctrine, by the trickery of men,
[00:02:14.360 --> 00:02:17.080]   by craftiness and deceitful scheming.
[00:02:17.080 --> 00:02:18.920]   But speaking the truth in love, we
[00:02:18.920 --> 00:02:20.600]   are to grow up in all aspects.
[00:02:20.600 --> 00:02:23.480]   And to him who is the head, even Christ,
[00:02:23.480 --> 00:02:26.000]   from whom the whole body being fitted and held together
[00:02:26.000 --> 00:02:28.400]   by what every joint supplies, according
[00:02:28.400 --> 00:02:31.520]   to the proper working of each individual part,
[00:02:31.520 --> 00:02:34.320]   causes the growth of the body for the building up
[00:02:34.320 --> 00:02:36.520]   of itself in love."
[00:02:36.520 --> 00:02:37.800]   OK.
[00:02:37.800 --> 00:02:40.520]   This passage has a lot to say.
[00:02:40.520 --> 00:02:42.320]   But I do want to make mention of the fact
[00:02:42.320 --> 00:02:45.040]   that this is a very pivotal and important passage
[00:02:45.040 --> 00:02:48.720]   to the doctrine of the church, namely
[00:02:48.720 --> 00:02:51.080]   how the church has been blessed, but also
[00:02:51.080 --> 00:02:54.560]   the vision of what the church should be like.
[00:02:54.560 --> 00:02:57.920]   We're going to start with verse 11 that describes the gift,
[00:02:57.920 --> 00:03:00.720]   the gift that Christ has given.
[00:03:00.720 --> 00:03:02.640]   Remember that in the last passage,
[00:03:02.640 --> 00:03:07.560]   we rehearse and review that Christ gave gifts.
[00:03:07.560 --> 00:03:11.160]   And what he talked about was to each one, God has given gifts.
[00:03:11.160 --> 00:03:15.040]   Christ as the victor, Christ as the conquering king
[00:03:15.040 --> 00:03:18.120]   has been generous with us, has been generous with the church.
[00:03:18.120 --> 00:03:20.000]   And so he gives gifts to men.
[00:03:20.000 --> 00:03:21.560]   And he has authority to do so.
[00:03:21.560 --> 00:03:24.160]   And what he says here is that he gave some to be apostles,
[00:03:24.160 --> 00:03:26.480]   and some as prophets, and so forth.
[00:03:26.480 --> 00:03:28.640]   And so we have to ask the question, OK, so clearly,
[00:03:28.640 --> 00:03:30.120]   Christ has been generous.
[00:03:30.120 --> 00:03:31.960]   What has he given?
[00:03:31.960 --> 00:03:35.200]   And what we already said was that the concept of gift
[00:03:35.200 --> 00:03:37.960]   in the New Testament has various different references,
[00:03:37.960 --> 00:03:41.640]   everything from your enablement, the skills that you have,
[00:03:41.640 --> 00:03:44.240]   your disposition, your character traits, the things
[00:03:44.240 --> 00:03:45.920]   that you can use for the church.
[00:03:45.920 --> 00:03:48.360]   We also talked about the Holy Spirit as a gift.
[00:03:48.360 --> 00:03:51.480]   We talked about, obviously, having even the collective whole
[00:03:51.480 --> 00:03:55.400]   as a gift, but more specifically, specific individuals,
[00:03:55.400 --> 00:03:57.760]   the individuals that are given to the church,
[00:03:57.760 --> 00:04:00.360]   and here, namely, apostles, prophets, and evangelists,
[00:04:00.360 --> 00:04:02.120]   pastors, teachers.
[00:04:02.120 --> 00:04:04.440]   So we essentially want to say that.
[00:04:04.440 --> 00:04:07.720]   But what I like to do is whenever I make observations
[00:04:07.720 --> 00:04:11.680]   about a passage, and there happens to be a listing,
[00:04:11.680 --> 00:04:12.800]   I actually try to list it.
[00:04:12.800 --> 00:04:14.320]   And I recommend you do the same.
[00:04:14.320 --> 00:04:15.280]   Why?
[00:04:15.280 --> 00:04:17.160]   Because every time you see a list,
[00:04:17.160 --> 00:04:19.560]   you do want to observe and ask the questions of,
[00:04:19.560 --> 00:04:21.320]   is there a theme there?
[00:04:21.320 --> 00:04:22.360]   Is there a sequence?
[00:04:22.360 --> 00:04:23.960]   Is there an order?
[00:04:23.960 --> 00:04:26.280]   And the observation that I see is that, yes, there
[00:04:26.280 --> 00:04:27.960]   does seem to be a sequence.
[00:04:27.960 --> 00:04:28.920]   Why?
