
[00:00:00.000 --> 00:00:02.740]   (audio cuts out)
[00:00:02.740 --> 00:00:07.240]   Attention up here.
[00:00:07.240 --> 00:00:09.640]   Trust that you guys had some great conversation, right?
[00:00:09.640 --> 00:00:12.840]   This section of scripture is super rich.
[00:00:12.840 --> 00:00:17.200]   And I know that a lot of the terminology
[00:00:17.200 --> 00:00:19.400]   is like some amazing, you know,
[00:00:19.400 --> 00:00:22.080]   like summaries of the gospel and our salvation.
[00:00:22.080 --> 00:00:26.360]   So hope you guys had a great conversation.
[00:00:26.360 --> 00:00:28.560]   Just got a quick like note.
[00:00:28.560 --> 00:00:31.160]   If you guys can tell, like I'm trying to modify things
[00:00:31.160 --> 00:00:32.840]   that can be helpful.
[00:00:32.840 --> 00:00:35.860]   One of the things I did was for the next study,
[00:00:35.860 --> 00:00:40.680]   what I'm gonna be doing is I'm gonna try to actually like,
[00:00:40.680 --> 00:00:45.480]   A, have the study questions for the next section
[00:00:45.480 --> 00:00:47.600]   of the study, and next section's gonna be
[00:00:47.600 --> 00:00:49.920]   chapter one, verses 15 through 23.
[00:00:49.920 --> 00:00:51.380]   It's a little bit longer.
[00:00:51.380 --> 00:00:52.900]   And then I'm gonna put the Bible verse there
[00:00:52.900 --> 00:00:55.160]   on the paper for you so that if you guys are like,
[00:00:55.160 --> 00:00:58.220]   just, you know, bringing a binder and then tracking along,
[00:00:58.220 --> 00:01:00.700]   then you guys can just do your study on here.
[00:01:00.700 --> 00:01:02.840]   I'm still gonna have the text at the beginning,
[00:01:02.840 --> 00:01:05.680]   but I kinda realized like if we're expecting you
[00:01:05.680 --> 00:01:07.720]   to show up having work done,
[00:01:07.720 --> 00:01:09.680]   then putting the text, well, you know,
[00:01:09.680 --> 00:01:10.880]   at the beginning of this packet,
[00:01:10.880 --> 00:01:12.640]   when you pick it up here when you arrive,
[00:01:12.640 --> 00:01:13.740]   that doesn't make sense, right?
[00:01:13.740 --> 00:01:16.440]   So the text of the passage is going to be there
[00:01:16.440 --> 00:01:19.160]   on the packet at the end for you, okay?
[00:01:19.160 --> 00:01:21.280]   Also, I did wanna kinda make mention
[00:01:21.280 --> 00:01:23.980]   because sometimes theological concepts
[00:01:23.980 --> 00:01:25.360]   that are big come out.
[00:01:25.360 --> 00:01:28.340]   If you notice on the last packet that I sent to you guys,
[00:01:28.340 --> 00:01:31.700]   I added like a very brief extra reading section
[00:01:31.700 --> 00:01:33.980]   about what predestination could be
[00:01:33.980 --> 00:01:38.060]   and how it fits the rest of biblical worldview,
[00:01:38.060 --> 00:01:41.380]   how it fits the doctrines of our depravity,
[00:01:41.380 --> 00:01:43.620]   how it fits the doctrines of salvation,
[00:01:43.620 --> 00:01:44.460]   and all that kinda stuff,
[00:01:44.460 --> 00:01:47.180]   how it fits the doctrine of salvation by grace alone.
