
[00:00:00.000 --> 00:00:03.000]   [ Silence ]
[00:00:04.000 --> 00:00:06.000]   [ Laughter ]
[00:00:06.000 --> 00:00:35.000]   [ Inaudible ]
[00:00:35.000 --> 00:01:03.000]   [ Inaudible ]
[00:01:04.000 --> 00:01:06.000]   [ Inaudible ]
[00:01:06.000 --> 00:01:35.000]   [ Inaudible ]
[00:01:35.000 --> 00:02:04.000]   [ Inaudible ]
[00:02:04.000 --> 00:02:33.000]   [ Inaudible ]
[00:02:33.000 --> 00:03:02.000]   [ Inaudible ]
[00:03:02.000 --> 00:03:31.000]   [ Inaudible ]
[00:03:31.000 --> 00:04:00.000]   [ Inaudible ]
[00:04:00.000 --> 00:04:29.000]   [ Inaudible ]
[00:04:29.000 --> 00:04:58.000]   [ Inaudible ]
[00:04:58.000 --> 00:05:27.000]   [ Inaudible ]
[00:05:27.000 --> 00:05:53.000]   [ Inaudible ]
[00:05:54.000 --> 00:06:19.000]   [ Inaudible ]
[00:06:20.000 --> 00:06:49.000]   [ Inaudible ]
[00:06:49.000 --> 00:07:16.000]   [ Inaudible ]
[00:07:17.000 --> 00:07:46.000]   [ Inaudible ]
[00:07:46.000 --> 00:08:13.000]   [ Inaudible ]
[00:08:14.000 --> 00:08:43.000]   [ Inaudible ]
[00:08:43.000 --> 00:09:10.000]   [ Inaudible ]
[00:09:11.000 --> 00:09:35.000]   [ Inaudible ]
[00:09:36.000 --> 00:10:01.000]   [ Inaudible ]
[00:10:02.000 --> 00:10:29.000]   [ Inaudible ]
[00:10:30.000 --> 00:10:39.000]   [ Inaudible ]
[00:10:39.000 --> 00:10:53.000]   [ Inaudible ]
[00:10:54.000 --> 00:11:06.000]   [ Inaudible ]
[00:11:07.000 --> 00:11:36.000]   [ Inaudible ]
[00:11:36.000 --> 00:12:05.000]   [ Inaudible ]
[00:12:05.000 --> 00:12:34.000]   [ Inaudible ]
[00:12:34.000 --> 00:12:59.000]   [ Inaudible ]
[00:13:00.000 --> 00:13:09.000]   [ Inaudible ]
[00:13:10.000 --> 00:13:37.000]   [ Inaudible ]
[00:13:38.000 --> 00:13:45.000]   [ Inaudible ]
[00:13:45.000 --> 00:14:07.000]   [ Inaudible ]
[00:14:07.000 --> 00:14:18.000]   [ Inaudible ]
[00:14:19.000 --> 00:14:48.000]   [ Inaudible ]
[00:14:48.000 --> 00:15:17.000]   [ Inaudible ]
[00:15:17.000 --> 00:15:46.000]   [ Inaudible ]
[00:15:46.000 --> 00:16:08.000]   [ Inaudible ]
[00:16:09.000 --> 00:16:21.000]   [ Inaudible ]
[00:16:22.000 --> 00:16:51.000]   [ Inaudible ]
[00:16:51.000 --> 00:17:20.000]   [ Inaudible ]
[00:17:20.000 --> 00:17:39.000]   [ Inaudible ]
[00:17:40.000 --> 00:18:09.000]   [ Inaudible ]
[00:18:09.000 --> 00:18:34.000]   [ Inaudible ]
[00:18:35.000 --> 00:19:04.000]   [ Inaudible ]
[00:19:04.000 --> 00:19:33.000]   [ Inaudible ]
[00:19:33.000 --> 00:19:43.000]   [ Inaudible ]
[00:19:44.000 --> 00:20:13.000]   [ Inaudible ]
[00:20:13.000 --> 00:20:42.000]   [ Inaudible ]
[00:20:42.000 --> 00:21:11.000]   [ Inaudible ]
[00:21:11.000 --> 00:21:40.000]   [ Inaudible ]
[00:21:40.000 --> 00:22:09.000]   [ Inaudible ]
[00:22:09.000 --> 00:22:38.000]   [ Inaudible ]
[00:22:38.000 --> 00:22:48.000]   [ Inaudible ]
[00:22:48.000 --> 00:23:07.000]   [ Inaudible ]
[00:23:07.000 --> 00:23:36.000]   [ Inaudible ]
[00:23:36.000 --> 00:24:01.000]   [ Inaudible ]
