
[00:00:00.000 --> 00:00:06.280]   Good morning, church family.
[00:00:06.280 --> 00:00:10.020]   My name is Yigao, generally referred as Holly.
[00:00:10.020 --> 00:00:14.800]   By God's grace, I'm grateful to stand here today to reflect on my walk with Christ and
[00:00:14.800 --> 00:00:17.520]   testify my faith through baptism.
[00:00:17.520 --> 00:00:22.280]   I grew up in a secular family with a secular education, secular friends in China.
[00:00:22.280 --> 00:00:30.320]   In 2014 in Beijing, when I was 17, I was invited to a family church by my best friend from
[00:00:30.320 --> 00:00:31.600]   school.
[00:00:31.600 --> 00:00:38.400]   Seeing the genuine love and care people of my age had for one another, as well as from
[00:00:38.400 --> 00:00:44.280]   the Sunday school teachers, I felt at peace and felt truly at home than anywhere else.
[00:00:44.280 --> 00:00:50.240]   The next year, I publicly shared my testimony in front of the church family.
[00:00:50.240 --> 00:00:55.160]   I received sprinkling over my head as a professing believer.
[00:00:55.160 --> 00:00:59.760]   Before my sprinkling ceremony, when I heard the choir singing, "Because he lives, I can
[00:00:59.760 --> 00:01:06.320]   face tomorrow," I cried because for the first time of my life, I had hope.
[00:01:06.320 --> 00:01:12.640]   At that time, I wasn't aware of the different modes of baptism and its biblical significance.
[00:01:12.640 --> 00:01:17.960]   My understanding of God began there, but with very little understanding of who he was and
[00:01:17.960 --> 00:01:20.160]   who I was called to be.
[00:01:20.160 --> 00:01:24.400]   I struggled with sins and with securing my hope in Christ.
[00:01:24.400 --> 00:01:28.960]   From 2015, I went on a lengthy detour in my spiritual life.
[00:01:28.960 --> 00:01:33.320]   I went to Sweden to pursue my undergraduate studies.
[00:01:33.320 --> 00:01:39.640]   However, without much understanding from the Bible, my faith was not deeply rooted in the
[00:01:39.640 --> 00:01:40.640]   word.
[00:01:40.640 --> 00:01:46.000]   Therefore, I couldn't distinguish how a healthy Bible believing, Christ-following church should
[00:01:46.000 --> 00:01:47.500]   be like.
[00:01:47.500 --> 00:01:54.520]   After two years at a secular church, God used different people and his own word to reveal
[00:01:54.520 --> 00:01:57.840]   my limited understanding of who he truly is.
[00:01:57.840 --> 00:02:04.380]   In 2017, I encountered a Chinese sister with a rather solid church background.
[00:02:04.380 --> 00:02:10.080]   In January 2018, we left the secular church and started fasting and praying together with
[00:02:10.080 --> 00:02:16.740]   intensive Bible studies and Bible reading.
