
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:00:02.160 --> 00:00:06.040]   Let me begin by asking you guys this question, okay,
[00:00:06.040 --> 00:00:09.440]   to help you guys get in the frame of the sermon for today.
[00:00:09.440 --> 00:00:11.980]   Is what is the best and greatest reward
[00:00:11.980 --> 00:00:14.340]   you have ever received, okay?
[00:00:14.340 --> 00:00:17.440]   The best and the greatest reward you have ever received.
[00:00:17.440 --> 00:00:19.420]   I'm not talking about a birthday present,
[00:00:19.420 --> 00:00:21.520]   that's something you just got,
[00:00:21.520 --> 00:00:22.640]   even though you didn't deserve anything,
[00:00:22.640 --> 00:00:24.280]   it's just 'cause you were born, you know?
[00:00:24.280 --> 00:00:26.080]   But something that you actually kind of worked for,
[00:00:26.080 --> 00:00:29.800]   but it was a bigger reward than you had imagined.
[00:00:29.800 --> 00:00:32.280]   A greater reward than you had imagined, okay?
[00:00:32.280 --> 00:00:34.080]   Can you think of something like that?
[00:00:34.080 --> 00:00:38.120]   Maybe you were pushing really hard for a test,
[00:00:38.120 --> 00:00:39.120]   you thought you might get a B,
[00:00:39.120 --> 00:00:41.960]   but you got an A plus or something like that, I don't know.
[00:00:41.960 --> 00:00:44.040]   Maybe you were working for a promotion,
[00:00:44.040 --> 00:00:45.160]   but you didn't just get a promotion,
[00:00:45.160 --> 00:00:47.760]   you got a bigger office, I don't know,
[00:00:47.760 --> 00:00:49.440]   think of something that you might have gotten, okay?
[00:00:49.440 --> 00:00:51.160]   You got that in your mind?
[00:00:51.160 --> 00:00:52.760]   All right, so that's great, that great reward.
[00:00:52.760 --> 00:00:53.880]   If you wouldn't mind, you could share it
[00:00:53.880 --> 00:00:54.720]   with the person next to you,
[00:00:54.720 --> 00:00:56.280]   just don't rub it in too much, okay?
[00:00:56.280 --> 00:00:59.240]   But you wanna share it with the person next to you, yes?
[00:00:59.240 --> 00:01:00.440]   No, okay, okay, gotcha.
[00:01:00.440 --> 00:01:01.920]   (audience laughing)
[00:01:01.920 --> 00:01:03.600]   This is a quiet bunch too.
[00:01:03.600 --> 00:01:04.720]   But they're laughing a little bit more
[00:01:04.720 --> 00:01:06.080]   than the first bunch, right?
[00:01:06.080 --> 00:01:11.080]   Okay, whatever that reward you received, right?
[00:01:11.080 --> 00:01:14.640]   I wanna let you know that God wants to bless you
[00:01:14.640 --> 00:01:18.400]   and reward you more than you can ever imagine.
[00:01:18.400 --> 00:01:22.280]   And I'll prove it to you by just what the word of God says.
[00:01:22.280 --> 00:01:25.800]   Do you believe that God wants to reward you
[00:01:25.800 --> 00:01:30.400]   and bless you more than you can even imagine?
[00:01:30.400 --> 00:01:31.660]   Do you believe this?
[00:01:31.660 --> 00:01:34.080]   Because if you do, then it will alter
[00:01:34.080 --> 00:01:37.320]   and it will change and transform the way you live your life
[00:01:37.320 --> 00:01:39.920]   and what you live your life for.
[00:01:39.920 --> 00:01:43.400]   You know, if we live our life for rewards on this world,
[00:01:43.400 --> 00:01:44.240]   what do you get?
[00:01:44.240 --> 00:01:45.880]   You get something temporary, right?
[00:01:45.880 --> 00:01:47.720]   You use your credit card to get some credit card
[00:01:47.720 --> 00:01:49.560]   reward points, what do you get?
[00:01:49.560 --> 00:01:50.780]   Maybe a free ticket.
[00:01:50.780 --> 00:01:54.520]   But when you live for God and you know
[00:01:54.520 --> 00:01:56.440]   that he wants to reward you greatly,
[00:01:56.440 --> 00:02:00.000]   then that will begin to change the way you look at God
[00:02:00.000 --> 00:02:01.840]   and also the way you live your life.
[00:02:01.840 --> 00:02:03.200]   And so that's what we're gonna be talking about today.
[00:02:03.200 --> 00:02:08.200]   So let's look at the Luke 19, verse 11 through 27, okay?
[00:02:08.200 --> 00:02:12.560]   Luke 19, verse 11 through 27, okay?
[00:02:12.560 --> 00:02:14.720]   I'll wait till you guys all get there.
[00:02:14.720 --> 00:02:18.600]   I'm reading from the ESV, the English Standard Version, okay?
[00:02:20.680 --> 00:02:24.000]   As they heard these things, okay,
[00:02:24.000 --> 00:02:25.480]   we'll get back to that part,
[00:02:25.480 --> 00:02:29.400]   he, Jesus, proceeded to tell a parable
[00:02:29.400 --> 00:02:31.720]   because he was near to Jerusalem
[00:02:31.720 --> 00:02:35.480]   and because they supposed that the kingdom of God
[00:02:35.480 --> 00:02:37.560]   was to appear immediately.
[00:02:37.560 --> 00:02:43.400]   He said, "Therefore, a noble man went into a far country
[00:02:43.400 --> 00:02:47.400]   "to receive for himself a kingdom and then return.
[00:02:47.400 --> 00:02:49.080]   "Calling 10 of his servants,
[00:02:49.080 --> 00:02:53.580]   "he gave them 10 minas and said to them,
[00:02:53.580 --> 00:02:56.240]   "Engage in business until I come."
[00:02:56.240 --> 00:02:58.200]   Everyone say engage.
[00:02:58.200 --> 00:02:59.640]   - Engage. - Thank you.
[00:02:59.640 --> 00:03:02.140]   "But his citizens hated him
