
[00:00:00.000 --> 00:00:02.740]   (audio cuts out)
[00:00:02.740 --> 00:00:04.820]   to Psalm 119.
[00:00:04.820 --> 00:00:12.300]   And I had scheduled to do Psalm 119 for our class,
[00:00:12.300 --> 00:00:14.140]   and what was interesting is that
[00:00:14.140 --> 00:00:17.760]   I went to the Shepherds Conference the previous weeks,
[00:00:17.760 --> 00:00:22.760]   and there was a sermon on all of Psalm 119 in one sermon.
[00:00:22.760 --> 00:00:27.260]   And if you guys know Pastor Mark Dever,
[00:00:27.260 --> 00:00:30.820]   who is the leader of the Nine Marks Ministry.
[00:00:30.820 --> 00:00:34.180]   He's a well-known author, theologian,
[00:00:34.180 --> 00:00:36.500]   and he's an extremely brilliant man.
[00:00:36.500 --> 00:00:40.980]   But during his sermon, he read all of Psalm 119,
[00:00:40.980 --> 00:00:44.100]   which took almost 20 minutes, I felt like.
[00:00:44.100 --> 00:00:46.060]   And I remember thinking, that is a great way
[00:00:46.060 --> 00:00:48.020]   to shorten your preparation time.
[00:00:48.020 --> 00:00:52.380]   I'm not gonna do it now, because that's just way too much,
[00:00:52.380 --> 00:00:54.740]   even just to go through.
[00:00:54.740 --> 00:00:58.260]   But his point was, in doing that,
[00:00:58.260 --> 00:01:01.740]   this is a profoundly beautiful Psalm,
[00:01:01.740 --> 00:01:04.460]   but how many of us have read it in its entirety,
[00:01:04.460 --> 00:01:07.600]   and how many of us have actually gone in to dig deep?
[00:01:07.600 --> 00:01:12.440]   So today, I had to sit and think how to cover this book.
[00:01:12.440 --> 00:01:14.640]   I mean, even just last week when we covered
[00:01:14.640 --> 00:01:18.040]   the Psalm 119, I felt like, gosh,
[00:01:18.040 --> 00:01:20.060]   that was a lot of material just to go over,
[00:01:20.060 --> 00:01:23.540]   a lot of verses just to go over in a one-hour session.
[00:01:23.540 --> 00:01:26.140]   So what I'm gonna do today is break this down,
[00:01:26.140 --> 00:01:28.580]   and we're just gonna go at the pace
[00:01:28.580 --> 00:01:31.940]   of making all the observations that we can, okay?
[00:01:31.940 --> 00:01:35.060]   Now, what I'd like to do then today
[00:01:35.060 --> 00:01:38.160]   is to have more of your involvement, okay?
[00:01:38.160 --> 00:01:42.820]   That means, someone's, you know, laughed a little bit.
[00:01:42.820 --> 00:01:44.660]   Yes, we're gonna have some awkward moments
