
[00:00:00.000 --> 00:00:04.120]   Next up is my good friend Tim Urban from Wait But Why. I asked him to do this as a favor.
[00:00:04.120 --> 00:00:07.880]   He gets a huge speaking fee. I said we have no budget.
[00:00:07.880 --> 00:00:12.680]   He said, "Jake, I think it's 7,500 a ticket." I said, "I have no budget. I stole it all."
[00:00:12.680 --> 00:00:20.460]   And he has the number one talk in the history of TED on YouTube. My pal, Tim Urban.
[00:00:20.460 --> 00:00:22.460]   [Applause]
[00:00:22.460 --> 00:00:24.460]   [Music]
[00:00:24.460 --> 00:00:26.460]   "Let your winners ride."
[00:00:26.460 --> 00:00:28.460]   "Rain Man David Sacks."
[00:00:28.460 --> 00:00:30.460]   "I'm going all in."
[00:00:30.460 --> 00:00:35.460]   "We open sourced it to the fans and they've just gone crazy with it."
[00:00:35.460 --> 00:00:37.460]   "I love you guys."
[00:00:37.460 --> 00:00:39.460]   "Queen of Quinoa."
[00:00:39.460 --> 00:00:45.460]   He said something yesterday to Nate Silver when he ate one poker and he was like, "Oh, I'm going to take away your speaking fee."
[00:00:45.460 --> 00:00:47.460]   And I was like, "The fuck? Speaking fee?"
[00:00:47.460 --> 00:00:49.460]   [Laughter]
[00:00:49.460 --> 00:00:57.460]   All right. So, the title of my talk is Tim Talks About Politics and Other Things That Are Probably a Bad Idea to Talk About in Front of All These People.
[00:00:57.460 --> 00:00:59.460]   [Laughter]
[00:00:59.460 --> 00:01:03.460]   And I want to start with why am I even writing about politics? I don't like politics.
[00:01:03.460 --> 00:01:08.460]   I like writing about the science and tech and the future and procrastination and things that interest me.
[00:01:08.460 --> 00:01:15.460]   But as I'm thinking about the future and all this awesome stuff that we could have, I started to have a bad feeling.
[00:01:15.460 --> 00:01:19.460]   I would think of society kind of like a giant organism.
[00:01:19.460 --> 00:01:24.460]   And this is how I always grew up assuming that society was like. It was like a big grown-up.
[00:01:24.460 --> 00:01:31.460]   But when I looked around, it looked more like a poopy pants six-year-old who dropped its ice cream.
[00:01:31.460 --> 00:01:35.460]   And I feel like this is what a lot of people are kind of getting at in these talks.
[00:01:35.460 --> 00:01:41.460]   We're talking about kind of all this crazy polarization and mobs and all that.
[00:01:41.460 --> 00:01:45.460]   And to me, I just look out and I see this. I see kind of reverting and people are acting like they're in middle school.
[00:01:45.460 --> 00:01:49.460]   And we can't communicate. And what's going on?
[00:01:49.460 --> 00:01:54.460]   So, I started putting my mind to this. Now, what was the problem?
[00:01:54.460 --> 00:01:58.460]   And the problem is very complicated. And I'm not going to try to get into the whole thing today.
[00:01:58.460 --> 00:02:04.460]   But I think that what we can do is have a better framework to talk about the problem.
[00:02:04.460 --> 00:02:08.460]   I think that we are very constrained to this one-dimensional axis.
[00:02:08.460 --> 00:02:11.460]   It's like a straitjacket in our conversations.
[00:02:11.460 --> 00:02:17.460]   You hear people say, "The problem is the far left and the far right. We need to be in the center. We need to be more moderate."
[00:02:17.460 --> 00:02:20.460]   But what is that? The center is just a policy position.
[00:02:20.460 --> 00:02:26.460]   The far left and far right aren't inherently bad. The far left is just kind of radical and questioning everything.
[00:02:26.460 --> 00:02:28.460]   And they're experimental. And the far right is just questioning.
[00:02:28.460 --> 00:02:31.460]   Maybe we messed up. Maybe we should go back to the way things were.
[00:02:31.460 --> 00:02:35.460]   There's nothing inherently better or worse about any part of this spectrum.
[00:02:35.460 --> 00:02:38.460]   But we're using these words to try to get at something else.
[00:02:38.460 --> 00:02:41.460]   We say "centrist," "moderate." We don't really mean in the middle of the spectrum.
[00:02:41.460 --> 00:02:45.460]   I think we're talking about a different axis. I call it the "ladder."
[00:02:45.460 --> 00:02:49.460]   So, I think bringing our political discussions into two dimensions can be hugely helpful.
[00:02:49.460 --> 00:02:53.460]   Now, sometimes you'll see the political compass. You'll see politics in 2D.
[00:02:53.460 --> 00:02:58.460]   But that's still all what you think. That's all different ways to look at what you think about politics.
[00:02:58.460 --> 00:03:01.460]   The ladder is a how you think axis.
[00:03:01.460 --> 00:03:05.460]   So, there's some nuance to it. It's a spectrum.
[00:03:05.460 --> 00:03:09.460]   But for our purposes, let's just focus on the two kind of core ideas here.
[00:03:09.460 --> 00:03:14.460]   There's high-rung political thinking, high-rung politics, and low-rung politics.
[00:03:14.460 --> 00:03:21.460]   So, the high-rungs, you can kind of divide into high-rung progressivism and high-rung conservatism.
[00:03:21.460 --> 00:03:24.460]   Which I kind of think of as two arguing giants.
[00:03:24.460 --> 00:03:34.460]   The collective efforts of high-rung progressivism and conservatism are kind of like lawyers in a courtroom.
[00:03:34.460 --> 00:03:37.460]   They're heated. They don't like each other a lot of the time.
[00:03:37.460 --> 00:03:39.460]   They have very different ideas of how things should go.
[00:03:39.460 --> 00:03:42.460]   But it's kind of like the two lawyers in a courtroom.
[00:03:42.460 --> 00:03:46.460]   This is kind of a wink that goes on where they understand ultimately they're on the same team.
[00:03:46.460 --> 00:03:49.460]   They're two sides of a truth kind of discovery machine.
[00:03:49.460 --> 00:03:51.460]   And I think this is the same thing.
[00:03:51.460 --> 00:03:54.460]   They don't like each other, but they're actually ultimately on the same team trying to figure out the roadmap.
[00:03:54.460 --> 00:03:58.460]   How do we move forward? And the conversations in high-rung politics are complex.
[00:03:58.460 --> 00:04:01.460]   They're nuanced. There's different realms.
[00:04:01.460 --> 00:04:04.460]   There's what is, right? There's science and history arguing about what is.
[00:04:04.460 --> 00:04:06.460]   That's hard to figure out.
[00:04:06.460 --> 00:04:09.460]   There's what should be, right? That's philosophy and ethics.
[00:04:09.460 --> 00:04:13.460]   Then there's, you know, even if they agree on those two things, how do we get there, right?
[00:04:13.460 --> 00:04:16.460]   What are the right policies, strategies, experimentation, testing?
[00:04:16.460 --> 00:04:19.460]   So, there's a lot of nuance. There's a lot of complexity.
[00:04:19.460 --> 00:04:24.460]   And one of the core defining features is if this is how you form beliefs, right?
[00:04:24.460 --> 00:04:27.460]   You know, you go from I don't know, some kind of process to I know.
[00:04:27.460 --> 00:04:30.460]   High-rung politics is all about truth. They're geared towards truth.
[00:04:30.460 --> 00:04:33.460]   They start here at I don't know.
[00:04:33.460 --> 00:04:38.460]   There's kind of an inherent humility to this process.
