
[00:00:00.000 --> 00:00:04.000]   [no audio]
[00:00:04.000 --> 00:00:08.000]   They're in two different sections, but again,
[00:00:08.000 --> 00:00:12.000]   the heaviest teaching of the Holy Spirit is in John chapter
[00:00:12.000 --> 00:00:16.000]   14, 15, and 16, and also Romans chapter 7 and 8.
[00:00:16.000 --> 00:00:20.000]   So I wanted to really get to this last week, but I thought today would be more
[00:00:20.000 --> 00:00:24.000]   appropriate, so we're going to be doing the exposition on John 15,
[00:00:24.000 --> 00:00:28.000]   or at least a portion of that, and then we'll jump back to Romans chapter 8.
[00:00:28.000 --> 00:00:32.000]   So we want to read Romans chapter 8, verse 12-17 before we jump there.
[00:00:32.000 --> 00:00:36.000]   Okay? Romans chapter 8, verse 12-17.
[00:00:36.000 --> 00:00:40.000]   [reading Romans 8-17 on screen]
[00:00:40.000 --> 00:00:44.000]   [reading Romans 8-17 on screen]
[00:00:44.000 --> 00:00:48.000]   [reading Romans 8-17 on screen]
[00:00:48.000 --> 00:00:52.000]   [reading Romans 8-17 on screen]
[00:00:52.000 --> 00:00:56.000]   [reading Romans 8-17 on screen]
[00:00:56.000 --> 00:01:00.000]   [reading Romans 8-17 on screen]
[00:01:00.000 --> 00:01:04.000]   [reading Romans 8-17 on screen]
[00:01:04.000 --> 00:01:08.000]   [reading Romans 8-17 on screen]
[00:01:08.000 --> 00:01:12.000]   Okay, if you can turn your Bibles again to John chapter 15.
[00:01:12.000 --> 00:01:16.000]   John chapter 15, and I will read there from
[00:01:16.000 --> 00:01:20.000]   verse 1-6.
[00:01:20.000 --> 00:01:24.000]   Actually up to verse 7.
[00:01:24.000 --> 00:01:28.000]   [reading verse 7-8 on screen]
[00:01:28.000 --> 00:01:32.000]   [reading verse 7-8 on screen]
[00:01:32.000 --> 00:01:36.000]   [reading verse 7-8 on screen]
[00:01:36.000 --> 00:01:40.000]   [reading verse 7-8 on screen]
[00:01:40.000 --> 00:01:44.000]   [reading verse 7-8 on screen]
[00:01:44.000 --> 00:01:48.000]   [reading verse 7-8 on screen]
[00:01:48.000 --> 00:01:52.000]   [reading verse 7-8 on screen]
[00:01:52.000 --> 00:01:56.000]   [reading verse 7-8 on screen]
[00:01:56.000 --> 00:02:00.000]   [reading verse 7-8 on screen]
[00:02:00.000 --> 00:02:04.000]   [reading verse 7-8 on screen]
[00:02:04.000 --> 00:02:08.000]   [reading verse 7-8 on screen]
[00:02:08.000 --> 00:02:12.000]   [reading verse 7-8 on screen]
[00:02:12.000 --> 00:02:16.000]   [reading verse 7-8 on screen]
[00:02:16.000 --> 00:02:20.000]   [reading verse 7-8 on screen]
[00:02:20.000 --> 00:02:24.000]   [reading verse 7-8 on screen]
[00:02:24.000 --> 00:02:28.000]   [reading verse 7-8 on screen]
[00:02:28.000 --> 00:02:32.000]   [reading verse 7-8 on screen]
[00:02:32.000 --> 00:02:36.000]   [reading verse 7-8 on screen]
[00:02:36.000 --> 00:02:40.000]   [reading verse 7-8 on screen]
[00:02:40.000 --> 00:02:44.000]   [reading verse 7-8 on screen]
[00:02:44.000 --> 00:02:48.000]   [reading verse 7-8 on screen]
[00:02:48.000 --> 00:02:52.000]   I don't know if any of you have any experience planting vegetables
[00:02:52.000 --> 00:02:56.000]   or flowers or herbs or anything like that.
[00:02:56.000 --> 00:03:00.000]   You know the joy that comes from at the end after you've done it
[00:03:00.000 --> 00:03:04.000]   whether it takes a few months or a while and you start to see the fruit.
[00:03:04.000 --> 00:03:08.000]   I know some of you guys in your backyard have planted trees, whatever trees you have.
[00:03:08.000 --> 00:03:12.000]   And it may take years before you actually see the fruit.
[00:03:12.000 --> 00:03:16.000]   I don't have a whole lot of experience. The only real experience I've ever had was planting
[00:03:16.000 --> 00:03:20.000]   corn when my parents owned a home in Corona.
[00:03:20.000 --> 00:03:24.000]   And my dad decided to plant corn all over our yard, front yard and the
[00:03:24.000 --> 00:03:28.000]   backyard. It was pretty embarrassing. But I remember when
