
[00:00:00.000 --> 00:00:02.740]   (audio cuts out)
[00:00:02.740 --> 00:00:07.400]   And so they would be like, "Pastor Peter, Pastor Peter!"
[00:00:07.400 --> 00:00:09.000]   And then, you know, like, yeah,
[00:00:09.000 --> 00:00:10.040]   of course I would turn around too,
[00:00:10.040 --> 00:00:11.760]   but then my first reaction would be like,
[00:00:11.760 --> 00:00:13.100]   "Oh, don't say that!
[00:00:13.100 --> 00:00:14.560]   "Like, who's saying that?"
[00:00:14.560 --> 00:00:20.440]   I just wanna say that I'm very appreciative of SBK
[00:00:20.440 --> 00:00:25.440]   and very thankful for just how he's been coming out to China
[00:00:25.440 --> 00:00:28.200]   and supporting our work and, you know,
[00:00:28.200 --> 00:00:30.520]   just being a good friend and older brother to us.
[00:00:30.520 --> 00:00:33.240]   And I also wanna thank you guys as a church
[00:00:33.240 --> 00:00:35.720]   for supporting us, for praying for us.
[00:00:35.720 --> 00:00:37.780]   It's been really, really wonderful
[00:00:37.780 --> 00:00:40.120]   to have your guys' support as well.
[00:00:40.120 --> 00:00:45.000]   I just wanted to share this one quick little thing.
[00:00:45.000 --> 00:00:47.960]   It was really good to see all the children up front, right?
[00:00:47.960 --> 00:00:52.480]   And I noticed that one of the children's
[00:00:52.480 --> 00:00:54.800]   was named Jedediah.
[00:00:54.800 --> 00:00:56.480]   And I was like, "Oh, man, that was the name
[00:00:56.480 --> 00:00:58.120]   "that I wanted to name my son."
[00:00:58.120 --> 00:01:00.520]   But Pauly didn't let me.
[00:01:00.520 --> 00:01:03.520]   (audience laughing)
[00:01:03.520 --> 00:01:08.000]   I was like, and then also our parents couldn't pronounce it.
[00:01:08.000 --> 00:01:11.000]   (audience laughing)
[00:01:11.000 --> 00:01:14.520]   I've been out in China for the past five years,
[00:01:14.520 --> 00:01:19.320]   and I noticed that a lot of things in America have changed.
[00:01:19.320 --> 00:01:21.960]   And one of the things that I noticed was that, you know,
[00:01:21.960 --> 00:01:23.360]   I would hear from different people
[00:01:23.360 --> 00:01:25.480]   that may come and visit us,
[00:01:25.480 --> 00:01:30.080]   or as I came back, I would hear just from different friends
[00:01:30.080 --> 00:01:34.000]   about this word that's been kind of popular these days,
[00:01:34.000 --> 00:01:35.560]   and the word is missional.
[00:01:35.560 --> 00:01:40.920]   And a lot of people say that they wanna be
[00:01:40.920 --> 00:01:42.760]   a missional church.
[00:01:42.760 --> 00:01:46.260]   They say that we wanna live a missional lifestyle.
