
[00:00:00.000 --> 00:00:02.340]   (footsteps)
[00:09:19.280 --> 00:09:22.640]   and you know in your heart it's a compromise.
[00:09:22.640 --> 00:09:24.160]   Or it may be a blatant sin.
[00:09:24.160 --> 00:09:27.520]   Whatever it is, it is unconfessed,
[00:09:27.520 --> 00:09:30.280]   or it's very superficially repentant.
[00:09:30.280 --> 00:09:32.680]   And so what happens is that guilt
[00:09:32.680 --> 00:09:36.520]   upon that person begins to weigh heavy.
[00:09:36.520 --> 00:09:39.320]   And that guilt begins to fester,
[00:09:39.320 --> 00:09:41.360]   and then as a result of that guilt,
[00:09:41.360 --> 00:09:42.920]   they feel distant from God.
[00:09:42.920 --> 00:09:47.320]   The Psalms don't have any kind of effect on you.
[00:09:47.320 --> 00:09:50.480]   You read the Bible, it just seems like words, right?
[00:09:50.480 --> 00:09:52.400]   And you're just kind of checking in and checking out
[00:09:52.400 --> 00:09:53.900]   because you feel distant from God.
[00:09:53.900 --> 00:09:55.800]   So when you begin to feel distant from God,
[00:09:55.800 --> 00:09:58.200]   you begin to feel distant from others.
[00:09:58.200 --> 00:10:00.960]   And you get together and you're talking,
[00:10:00.960 --> 00:10:03.120]   you say, "Well, you know, I'm in this large group of people,
[00:10:03.120 --> 00:10:06.700]   "but I really don't feel like I'm fellowshipping."
[00:10:06.700 --> 00:10:08.440]   As a result of distance from God,
[00:10:08.440 --> 00:10:11.800]   you feel this disconnect with other believers.
[00:10:11.800 --> 00:10:12.920]   And then what ends up happening,
[00:10:12.920 --> 00:10:14.600]   again, this is the progression.
[00:10:14.600 --> 00:10:16.680]   When somebody's not right with God,
[00:10:16.680 --> 00:10:19.320]   and they feel distant in fellowship,
[00:10:19.320 --> 00:10:22.360]   the next stage is they begin to say,
[00:10:22.360 --> 00:10:23.620]   "Well, you know, every time I go to church,
[00:10:23.620 --> 00:10:28.240]   "I feel judged because I don't connect with people.
[00:10:28.240 --> 00:10:30.580]   "Maybe they're the problem.
[00:10:30.580 --> 00:10:33.160]   "Maybe if they were more gracious."
[00:10:33.160 --> 00:10:34.760]   And so because of this frustration,
[00:10:34.760 --> 00:10:37.840]   this guilt upon them that is unrepentant,
[00:10:37.840 --> 00:10:39.440]   distance from God, distance from people,
[00:10:39.440 --> 00:10:40.280]   and then eventually you say,
[00:10:40.280 --> 00:10:41.640]   "These people are judging me."
[00:10:41.640 --> 00:10:42.880]   And then that progresses to,
[00:10:42.880 --> 00:10:44.920]   "These people are a bunch of hypocrites
[00:10:44.920 --> 00:10:47.480]   "'cause they're no better than I am."
[00:10:47.480 --> 00:10:49.680]   And then as a result of that,
[00:10:49.680 --> 00:10:50.520]   these people are hypocrites,
[00:10:50.520 --> 00:10:53.320]   and the next stage is, "I hate the church."
[00:10:53.320 --> 00:10:55.660]   You know, church is filled with hypocrites,
[00:10:55.660 --> 00:10:57.360]   and all they do is judge people.
[00:10:57.360 --> 00:11:00.220]   And then the end result of all of that is,
[00:11:00.220 --> 00:11:01.820]   "I don't know if I believe God,
[00:11:01.820 --> 00:11:05.420]   "if that's the way the church is."
[00:11:05.420 --> 00:11:08.180]   This is a progression that I've seen throughout the years,
[00:11:08.180 --> 00:11:09.960]   not just one person,
[00:11:09.960 --> 00:11:12.780]   but it almost always begin with unconfessed,
[00:11:12.780 --> 00:11:16.900]   unrepentant sin, or sin that they've allowed and compromised.
[00:11:16.900 --> 00:11:19.860]   And so they allow their life to be saturated
[00:11:19.860 --> 00:11:20.980]   with the counsel that we're given,
[00:11:20.980 --> 00:11:23.500]   and they begin to get counted with the sinners,
[00:11:23.500 --> 00:11:27.100]   and eventually they are sitting with a sea of scoffers,
[00:11:27.100 --> 00:11:31.600]   not realizing the genesis of all of that
[00:11:31.600 --> 00:11:35.980]   is a sin that they allowed it to fester in their hearts.
[00:11:35.980 --> 00:11:38.900]   He says, "Blessed is the man,
[00:11:38.900 --> 00:11:39.960]   "saved is the man,
[00:11:39.960 --> 00:11:44.300]   "happy is the man whose pattern of life is not that."
[00:11:44.300 --> 00:11:45.180]   But then he says,
[00:11:45.180 --> 00:11:47.400]   "But his delight is in the law of the Lord,
[00:11:47.400 --> 00:11:50.540]   "and on this law he meditates day and night."
[00:11:51.540 --> 00:11:54.700]   His delight is in the law of the Lord.
[00:11:54.700 --> 00:11:57.220]   Now, we are in the new covenant, in the New Testament,
[00:11:57.220 --> 00:11:59.480]   so whenever we hear the word law,
[00:11:59.480 --> 00:12:01.780]   we think it's a bad word, right?
[00:12:01.780 --> 00:12:05.500]   The law, we're not about the law, we're about grace.
[00:12:05.500 --> 00:12:08.340]   Law is satanic, grace is from Jesus.
[00:12:08.340 --> 00:12:12.020]   We have this misunderstanding about the law,
[00:12:12.020 --> 00:12:14.340]   thinking that the law, somehow,
[00:12:14.340 --> 00:12:15.540]   like in the new covenant,
[00:12:15.540 --> 00:12:17.300]   is a dirty word that you can't say.
[00:12:17.300 --> 00:12:19.260]   Remember, Paul himself corrects that.
[00:12:19.260 --> 00:12:20.940]   He says, "No, the law is not bad,
[00:12:20.940 --> 00:12:24.340]   "law is good if you use it," what?
[00:12:24.340 --> 00:12:30.140]   "Legally, profitably, for what it was intended for."
[00:12:30.140 --> 00:12:31.780]   How do we understand when he says,
[00:12:31.780 --> 00:12:36.460]   "If true joy is coming from delighting in the law of the Lord,"
[00:12:36.460 --> 00:12:38.540]   you know, some of us will, or a lot of us will sit here
[00:12:38.540 --> 00:12:39.380]   and say, "Well, I'm in trouble,
[00:12:39.380 --> 00:12:41.460]   "because I don't know if I delight in it.
[00:12:41.460 --> 00:12:43.820]   "I'll study it, I'll apply it,
[00:12:43.820 --> 00:12:45.880]   "I don't know if I delight in it."
[00:12:45.880 --> 00:12:48.740]   You have to understand,
[00:12:48.740 --> 00:12:50.980]   remember Paul says in Romans chapter seven,
[00:12:50.980 --> 00:12:52.920]   "For I delight in the law of the Lord,
[00:12:52.920 --> 00:12:55.740]   "but there's another law working within me."
[00:12:55.740 --> 00:12:59.180]   Whether you believe that pre-Christian or post-Christian,
[00:12:59.180 --> 00:13:01.580]   basically what Paul says, "In my flesh,
[00:13:01.580 --> 00:13:04.660]   "I don't have any ability to carry this out."
[00:13:04.660 --> 00:13:07.900]   And that's why he said, "Because of the Holy Spirit,"
[00:13:07.900 --> 00:13:09.780]   right, he walks in the spirit, has life,
[00:13:09.780 --> 00:13:12.760]   he walks in the flesh, is death.
[00:13:12.760 --> 00:13:15.140]   In and of itself, in our own flesh,
[00:13:15.140 --> 00:13:17.540]   we don't have the ability to delight in the law.
[00:13:18.660 --> 00:13:20.380]   But Paul says in Galatians 3, 24,
[00:13:20.380 --> 00:13:23.720]   "So then the law was our guardian until Christ came,
[00:13:23.720 --> 00:13:26.720]   "in order that we might be justified by faith."
[00:13:26.720 --> 00:13:29.560]   When he says he delights in the law of the Lord,
[00:13:29.560 --> 00:13:31.420]   he's not saying that, you know,
[00:13:31.420 --> 00:13:33.140]   if you really wanna be saved,
[00:13:33.140 --> 00:13:35.580]   you have to enjoy keeping the Sabbath.
[00:13:35.580 --> 00:13:39.980]   He's not saying that if you wanna really be happy,
[00:13:39.980 --> 00:13:44.300]   you have to really enjoy making sacrifices,
[00:13:44.300 --> 00:13:46.820]   and waking up early, and giving to the poor.
[00:13:46.820 --> 00:13:49.220]   You have to enjoy that or else you're not saved.
[00:13:49.220 --> 00:13:53.180]   The reason why he says he delights in the law of the Lord
[00:13:53.180 --> 00:13:55.940]   because the law of the Lord is basically
[00:13:55.940 --> 00:13:57.380]   an extension of who God is,
[00:13:57.380 --> 00:14:00.300]   is another way of saying he delights in God.
[00:14:00.300 --> 00:14:03.300]   And because he delights in God,
[00:14:03.300 --> 00:14:05.580]   he delights in the law of God.
[00:14:05.580 --> 00:14:08.340]   Because those are his words, those are his commandments.
[00:14:08.340 --> 00:14:14.380]   Because he loves the Lord, he delights in the law.
[00:14:14.500 --> 00:14:15.860]   And then he says, "And on his law,
[00:14:15.860 --> 00:14:18.180]   "he meditates day and night."
[00:14:18.180 --> 00:14:22.060]   Now, let me make this very clear.
[00:14:22.060 --> 00:14:26.920]   You know, the order of this is extremely important.
[00:14:26.920 --> 00:14:30.380]   You don't love the Lord because you meditate
[00:14:30.380 --> 00:14:31.620]   on the law day and night.
[00:14:31.620 --> 00:14:35.340]   It's because you love the Lord,
[00:14:35.340 --> 00:14:37.340]   you will meditate on him day and night.
[00:14:37.340 --> 00:14:40.380]   It's very difficult for you to meditate
[00:14:40.380 --> 00:14:42.380]   on something that you do not delight in.
[00:14:43.460 --> 00:14:44.300]   Correct?
[00:14:44.300 --> 00:14:49.020]   So many of us are trying so hard to delight in his law,
[00:14:49.020 --> 00:14:52.380]   memorize and meditate on it, but you don't delight in it.
[00:14:52.380 --> 00:14:53.340]   There's no delight in it.
[00:14:53.340 --> 00:14:55.620]   It's something that you just have to do.
[00:14:55.620 --> 00:14:59.580]   And then think about certain things that you really love.
[00:14:59.580 --> 00:15:03.100]   You can't help meditating on it.
[00:15:03.100 --> 00:15:06.740]   Some of you guys may remember the very first date
[00:15:06.740 --> 00:15:08.820]   that you had, right?
[00:15:08.820 --> 00:15:10.660]   Did somebody tell you?
[00:15:10.660 --> 00:15:13.020]   Think about your date.
[00:15:13.020 --> 00:15:14.460]   Think about what you're gonna do on that date.
[00:15:14.460 --> 00:15:15.580]   Think about what you're gonna wear,
[00:15:15.580 --> 00:15:17.140]   where are you gonna eat, what car are you gonna drive,
[00:15:17.140 --> 00:15:18.260]   how early are you gonna pick up?
[00:15:18.260 --> 00:15:20.860]   Did somebody have to spell out for you
[00:15:20.860 --> 00:15:23.100]   to really put some thought into that?
[00:15:23.100 --> 00:15:25.340]   Maybe some of you, right?
[00:15:25.340 --> 00:15:26.180]   Maybe some of you.
[00:15:26.180 --> 00:15:32.180]   But the natural response, when you are delighting
[00:15:32.180 --> 00:15:35.100]   in something, you just can't get this out of your mind.
[00:15:35.100 --> 00:15:37.060]   It's in your heart, it's in your thoughts,
[00:15:37.060 --> 00:15:38.420]   every part of it.
[00:15:38.420 --> 00:15:40.380]   Now, you may not be a detail-oriented person,
[00:15:40.380 --> 00:15:41.940]   but if it's something that you delighted,
[00:15:41.940 --> 00:15:44.060]   you end up putting a lot of attention on it.
[00:15:44.060 --> 00:15:46.020]   Some of you guys like cars.
[00:15:46.020 --> 00:15:48.460]   You know more about cars than an average person
[00:15:48.460 --> 00:15:50.140]   because you're delighted, it makes you happy.
[00:15:50.140 --> 00:15:51.540]   Some of you guys hate cars.
[00:15:51.540 --> 00:15:55.540]   And if somebody told you, you need to memorize
[00:15:55.540 --> 00:15:59.220]   all the different cars and the miles per gallon
[00:15:59.220 --> 00:16:01.380]   that you get and the tire size and all that,
[00:16:01.380 --> 00:16:04.020]   it's just, I mean, it's just torture for some of you.
[00:16:04.020 --> 00:16:07.780]   But some of you, you can't help but thinking about it, right?
[00:16:07.780 --> 00:16:09.260]   It could be you're idle because you love
[00:16:09.260 --> 00:16:11.540]   delighting in too much.
[00:16:11.540 --> 00:16:15.460]   When he says, happy is the man, safe is the man,
[00:16:15.460 --> 00:16:17.140]   who delights in the law of the Lord,
[00:16:17.140 --> 00:16:19.140]   it's honest law, he meditates day and night,
[00:16:19.140 --> 00:16:21.740]   he's describing an individual who met the Lord.
[00:16:21.740 --> 00:16:25.340]   He's describing an individual who's seen
[00:16:25.340 --> 00:16:27.660]   the glory of the gospel of Jesus Christ,
[00:16:27.660 --> 00:16:29.740]   and as a result of that, that's on his mind,
[00:16:29.740 --> 00:16:31.660]   that's on his heart 24/7.
[00:16:31.660 --> 00:16:35.580]   So he's not forcing himself to delight.
[00:16:35.580 --> 00:16:39.300]   He just delights in it, he can't stop thinking about it.
[00:16:39.300 --> 00:16:40.980]   We're not talking about a silly joy
[00:16:40.980 --> 00:16:42.260]   that puts a smile on your face
[00:16:42.260 --> 00:16:45.660]   every time you think about Jesus, maybe.
[00:16:45.660 --> 00:16:47.660]   But we're talking about someone
[00:16:47.660 --> 00:16:50.100]   who finds true life in Christ.
[00:16:50.100 --> 00:16:53.700]   The evidence of genuine salvation
[00:16:53.700 --> 00:16:56.900]   is that you'd rather be with Christ
[00:16:56.900 --> 00:16:59.180]   than anything else that this world offers.
[00:16:59.180 --> 00:17:01.940]   And that's why you come to church.
[00:17:01.940 --> 00:17:05.520]   That's why you wrestle in prayer.
[00:17:05.520 --> 00:17:07.700]   That's why you study the word of God.
[00:17:07.700 --> 00:17:10.940]   And that's why you share your faith with other people.
[00:17:10.940 --> 00:17:14.420]   You tend to share the things that you delight in.
[00:17:14.420 --> 00:17:17.540]   If you don't delight in Christ,
[00:17:17.540 --> 00:17:20.740]   to share the gospel with people is torture.
[00:17:20.740 --> 00:17:23.300]   You say, "Well, that's not my personality."
[00:17:23.300 --> 00:17:24.280]   If you delight in something,
[00:17:24.280 --> 00:17:26.140]   I don't care if you're an extrovert or an introvert,
[00:17:26.140 --> 00:17:27.380]   you'll share it.
[00:17:27.380 --> 00:17:29.540]   You'll share it as an introvert,
[00:17:29.540 --> 00:17:30.980]   in the way that you uniquely do,
[00:17:30.980 --> 00:17:33.300]   you'll write letters, right?
[00:17:33.300 --> 00:17:34.460]   (congregation laughing)
[00:17:34.460 --> 00:17:36.880]   Maybe you won't tell 'em in person.
