
[00:00:00.000 --> 00:00:04.000]   [BLANK_AUDIO]
[00:00:04.000 --> 00:00:05.000]   What's going on, fam?
[00:00:05.000 --> 00:00:06.240]   >> Hi.
[00:00:06.240 --> 00:00:07.800]   >> How are you guys?
[00:00:07.800 --> 00:00:09.480]   >> Good, good.
[00:00:09.480 --> 00:00:13.240]   >> Yeah, well, again, just thank you guys so much for
[00:00:13.240 --> 00:00:17.680]   the way you guys just made me feel welcome, family.
[00:00:17.680 --> 00:00:20.080]   I don't skip a beat coming here.
[00:00:20.080 --> 00:00:20.760]   I just don't.
[00:00:20.760 --> 00:00:24.600]   Every single time that I'm with you guys as a family, I just feel just that.
[00:00:24.600 --> 00:00:30.600]   So it's been really good to see familiar faces and to meet new faces.
[00:00:30.600 --> 00:00:34.760]   I'm just really encouraged by what God is doing through this ministry,
[00:00:34.760 --> 00:00:36.480]   through you guys' families.
[00:00:36.480 --> 00:00:39.320]   So just keep pressing on, by the grace of God,
[00:00:39.320 --> 00:00:42.320]   he's doing some wonderful things along the way.
[00:00:42.320 --> 00:00:48.360]   Again, I'm gonna try not to, I always try to not be too long,
[00:00:48.360 --> 00:00:53.400]   but again, you guys are your namesake as Marines.
[00:00:53.400 --> 00:00:58.240]   And so I really appreciate just the way you guys just engage,
[00:00:58.240 --> 00:01:00.320]   the way you guys engage.
[00:01:00.320 --> 00:01:04.320]   I see it, it encourages me as I'm preaching.
[00:01:04.320 --> 00:01:09.320]   And I came across something, and so I thought maybe I would kinda share it.
[00:01:09.320 --> 00:01:11.760]   So a little, I didn't anticipate doing this, so
[00:01:11.760 --> 00:01:16.400]   it's kind of a break from me just jumping into my message and my sermon.
[00:01:16.400 --> 00:01:18.320]   But I just wanted to read this.
[00:01:18.320 --> 00:01:23.280]   It's an article that was on Desire to God that just came up.
[00:01:23.280 --> 00:01:26.360]   And it's an edition of Screwtape.
[00:01:26.360 --> 00:01:28.560]   Have you guys read the Screwtape letters?
[00:01:28.560 --> 00:01:30.480]   Maybe Screwtape, okay.
[00:01:30.480 --> 00:01:34.400]   And so this is a female demon, if you will.
[00:01:34.400 --> 00:01:38.840]   And this is just for my ladies, for the wives.
[00:01:38.840 --> 00:01:40.920]   Maybe the Lord wants to say something through this, and
[00:01:40.920 --> 00:01:45.280]   I'm not really sure, but I'm just gonna read it.
[00:01:45.280 --> 00:01:49.960]   And the demon's name is Lilith.
[00:01:49.960 --> 00:01:55.520]   And the head female demon, her name is Duessa,
[00:01:55.520 --> 00:02:00.480]   she's writing a letter to this demon called Lilith.
[00:02:00.480 --> 00:02:02.480]   She says, it's lovely to hear from you, darling.
[00:02:02.480 --> 00:02:06.080]   I'm very glad you wrote to me.
[00:02:06.080 --> 00:02:09.480]   Screwtape, poor thing, he does his best.
[00:02:09.480 --> 00:02:12.280]   But he doesn't understand the feminine perspective.
[00:02:12.280 --> 00:02:16.320]   Of course, that doesn't stop him from acting as if he knows everything.
[00:02:16.320 --> 00:02:19.040]   And I've told him once, and if I've told him a thousand times,
[00:02:19.040 --> 00:02:23.200]   I'm persuaded that we will fare much more comfortably if we keep this just
[00:02:23.200 --> 00:02:25.160]   between us girls.
[00:02:25.160 --> 00:02:28.880]   My understanding is that you've been assigned several perplexing cases to
[00:02:28.880 --> 00:02:30.760]   handle simultaneously.
[00:02:30.760 --> 00:02:32.440]   You must be exhausted.
[00:02:32.440 --> 00:02:33.800]   Those ridiculous secretaries and
[00:02:33.800 --> 00:02:37.280]   headquarters have the least notion of how to manage job assignments.
[00:02:37.280 --> 00:02:41.040]   And I have no idea how they came to be allowed to run anything.
[00:02:41.040 --> 00:02:43.680]   I'm writing you today to discuss discontent.
[00:02:44.920 --> 00:02:49.280]   Now, it doesn't matter what particular topic of discontent fascinates to.
[00:02:49.280 --> 00:02:53.840]   Just look for any little nook or cranny in their souls where you can insert
[00:02:53.840 --> 00:02:59.080]   the seed of discontent, making sure that they take root.
[00:02:59.080 --> 00:03:03.320]   With some women, it may be best to plant the seeds of discontent somewhere
[00:03:03.320 --> 00:03:10.000]   around the topic of their looks, their face, their weight, their figure.
[00:03:10.000 --> 00:03:14.480]   If in the off chance that doesn't seem to take latch onto the topic,
[00:03:14.480 --> 00:03:16.560]   then of relationships.
[00:03:16.560 --> 00:03:20.840]   Discontent with the husband, discontent with the lack of a husband,
[00:03:20.840 --> 00:03:24.720]   discontent with the children, discontent with the lack of children.
[00:03:24.720 --> 00:03:29.720]   The seeds of discontent can grow in any kind of soil,
[00:03:29.720 --> 00:03:31.520]   which is what makes it so effective.
[00:03:31.520 --> 00:03:35.440]   It can really be anything.
[00:03:35.440 --> 00:03:41.680]   Missed opportunities, wrong done to them in their past, failed ambitions.
[00:03:41.680 --> 00:03:44.680]   All of these are good options for where to start.
[00:03:44.680 --> 00:03:50.880]   The first step with each of you girls is to find just a cozy little something
[00:03:50.880 --> 00:03:55.440]   to make them unhappy and then tend it.
[00:03:55.440 --> 00:04:00.480]   Tending means that you need to keep them concentrated on the thing itself,
[00:04:00.480 --> 00:04:05.240]   while keeping them from noticing the state of their own soul.
[00:04:05.240 --> 00:04:08.720]   Keep them looking at their husband's failings.
[00:04:08.720 --> 00:04:12.240]   He just doesn't seem to even care about my needs.
[00:04:12.240 --> 00:04:13.920]   And now their own heart.
[00:04:13.920 --> 00:04:17.960]   Keep them looking in the mirror, if you will.
[00:04:17.960 --> 00:04:22.480]   Obviously, this means that you need to keep away from the enemy's book.
[00:04:22.480 --> 00:04:25.720]   If it happens that you can't keep them from the book completely,
[00:04:25.720 --> 00:04:30.280]   you can effectively turn it to your advantage by simply making sure
[00:04:30.280 --> 00:04:35.320]   to keep all their thoughts focused on how their husband isn't living up
[00:04:35.320 --> 00:04:37.040]   to the instructions in the book.
[00:04:38.440 --> 00:04:42.040]   They can serve your purpose very well.
[00:04:42.040 --> 00:04:45.720]   And it's not at all a bad thing if you can get them to talk about their discontent
[00:04:45.720 --> 00:04:50.680]   with their friends, provided, of course, that they are the right friends.
[00:04:50.680 --> 00:04:55.760]   You want to encourage friendships that will feed and pet the discontent,
[00:04:55.760 --> 00:04:58.200]   rather than uproot it.
[00:04:58.200 --> 00:05:03.360]   Even prayer groups and mentorships are fabulous places for this to happen,
[00:05:03.360 --> 00:05:06.160]   if you manage it correctly.
[00:05:06.160 --> 00:05:09.360]   Once you have the discontent well-established and flourishing,
[00:05:09.360 --> 00:05:12.320]   you have a perfectly easy job ahead of you.
[00:05:12.320 --> 00:05:16.640]   You can take discontent any number of directions.
[00:05:16.640 --> 00:05:20.160]   And it only requires a little bit of creativity.
[00:05:20.160 --> 00:05:22.920]   Think of discontent as a small spark.
[00:05:22.920 --> 00:05:27.120]   You just need to get it planted into a welcoming little pile of shavings
[00:05:27.120 --> 00:05:31.400]   somewhere, and soon enough, it spreads.
[00:05:31.400 --> 00:05:34.080]   Let's say you get one of your subjects solidly discontent
[00:05:34.080 --> 00:05:36.240]   with the state of her marriage.
[00:05:36.240 --> 00:05:38.160]   It will take a little effort on your part
[00:05:38.160 --> 00:05:40.440]   to direct her attention to other marriages that
[00:05:40.440 --> 00:05:42.600]   seem better than hers.
[00:05:42.600 --> 00:05:46.520]   From there, you can easily fan it into full-blown envy
[00:05:46.520 --> 00:05:48.600]   of her friends or sister.
[00:05:48.600 --> 00:05:52.400]   And if you can't turn that into a ruined friendship,
[00:05:52.400 --> 00:05:54.800]   then I wash my hands of you.
[00:05:54.800 --> 00:05:58.600]   Lies, backbiting, cheating, refusals to forgive
[00:05:58.600 --> 00:06:04.760]   all are easily attainable once you have discontent well-established.
[00:06:04.760 --> 00:06:07.760]   One of my favorite places to go, however, is bitterness.
[00:06:07.760 --> 00:06:10.800]   It's so deliciously long-term, and it's very gratifying
[00:06:10.800 --> 00:06:14.320]   to watch a subject get more and more shriveled with it.
[00:06:14.320 --> 00:06:18.080]   It lacks the spectacular showiness of adultery, of course,
[00:06:18.080 --> 00:06:21.440]   but it's often more rewarding in the long run.
[00:06:21.440 --> 00:06:23.880]   If you overplay your head and you steer your subject
[00:06:23.880 --> 00:06:26.880]   into something obvious like adultery, then it's
[00:06:26.880 --> 00:06:30.520]   all too easy for them to suddenly to repent.
[00:06:30.520 --> 00:06:32.120]   And then all your hard work is undone.
[00:06:32.120 --> 00:06:34.240]   But bitterness?
[00:06:34.240 --> 00:06:39.800]   It achieves all the same results, but far more dependably.
[00:06:39.800 --> 00:06:41.640]   Make her discontent.
[00:06:41.640 --> 00:06:44.040]   Convince her that she's not worth anything.
[00:06:44.040 --> 00:06:48.120]   And then drive her into all kinds of self-destructive tendencies.
[00:06:48.120 --> 00:06:49.640]   Enslave her to beauty.
[00:06:49.640 --> 00:06:52.680]   Leave her discontent to hold the whip that makes her run.
[00:06:52.680 --> 00:06:55.560]   And if you can drive her into a profound self-absorption
[00:06:55.560 --> 00:06:58.560]   and pride, then you will be able to sit back and feel
[00:06:58.560 --> 00:07:01.160]   satisfied with your work.
[00:07:01.160 --> 00:07:03.600]   The irony is that the suiting women never
[00:07:03.600 --> 00:07:07.320]   seem to notice that whether they obsess over their own beauty
[00:07:07.320 --> 00:07:09.640]   or intentionally harm themselves,
[00:07:09.640 --> 00:07:11.760]   it's all the same to us.
[00:07:11.760 --> 00:07:14.520]   We win either way.
[00:07:14.520 --> 00:07:17.360]   As always, give my love to that old, busy body
[00:07:17.360 --> 00:07:20.600]   shmoo-tay, your affectionate auntie, Joessa.
[00:07:25.280 --> 00:07:28.360]   If that ministered to you, let it minister.
[00:07:28.360 --> 00:07:32.280]   Leave you women just feeling some measures of discontent.
[00:07:32.280 --> 00:07:34.040]   I just want you to be aware of that.
[00:07:34.040 --> 00:07:36.160]   It's going on in your own minds and your own hearts.
[00:07:36.160 --> 00:07:37.800]   And maybe the devil may be trying
[00:07:37.800 --> 00:07:40.920]   to use some area of discontent in your life
[00:07:40.920 --> 00:07:44.640]   to come in and just create those shavings that build up
[00:07:44.640 --> 00:07:47.040]   until finally he just brings you to a place
[00:07:47.040 --> 00:07:48.680]   of utter bitterness.
[00:07:48.680 --> 00:07:50.960]   So I just thought I'd read that.
[00:07:50.960 --> 00:07:54.920]   Well, this is the final time, the final message.
[00:07:54.920 --> 00:07:57.240]   We will be going through.
[00:07:57.240 --> 00:08:00.720]   We've talked about the word of God.
[00:08:00.720 --> 00:08:03.520]   And from the word of God, just talking
[00:08:03.520 --> 00:08:06.800]   about the whole idea of marriage in light of eternity.
[00:08:06.800 --> 00:08:09.080]   We talked about Ephesians chapter 5.
[00:08:09.080 --> 00:08:12.000]   And so my first sermon can be summed up like this.
[00:08:12.000 --> 00:08:15.160]   Marriage was never made to feel those voids and annoy.
[00:08:15.160 --> 00:08:16.680]   It's not mainly for intimacy.
[00:08:16.680 --> 00:08:18.640]   Children are a way to avoid.
[00:08:18.640 --> 00:08:20.720]   Lonely nights with his shining armor,
[00:08:20.720 --> 00:08:23.280]   its meaning goes deeper into infinite water.
[00:08:23.280 --> 00:08:26.400]   A metaphor, a drama that's not known by many.
[00:08:26.400 --> 00:08:28.440]   And those who do, as the years grow hard,
[00:08:28.440 --> 00:08:31.840]   they lose their memory of the infinite picture displayed.
[00:08:31.840 --> 00:08:34.480]   The greatest act of love that raised Jesus' bones up
[00:08:34.480 --> 00:08:38.400]   out of the grave to save his bride, the church in his way,
[00:08:38.400 --> 00:08:40.440]   that none of us could have imagined.
[00:08:40.440 --> 00:08:44.360]   Ever increasing joy in his presence forever is our mansion.
[00:08:44.360 --> 00:08:47.360]   And that's why God is giving you a union, life and breath,
[00:08:47.360 --> 00:08:50.240]   so you can breathe that picture into everything
[00:08:50.240 --> 00:08:51.720]   until your final breath.
[00:08:51.720 --> 00:08:54.640]   So men, fight to play the role of Jesus
[00:08:54.640 --> 00:08:57.520]   and love, shove self out of the way
[00:08:57.520 --> 00:09:00.920]   so that we can see the gospel and living color on display.
[00:09:00.920 --> 00:09:03.360]   And ladies, fight to respect this man,
[00:09:03.360 --> 00:09:05.360]   no matter how far he falls short,
[00:09:05.360 --> 00:09:07.600]   that we might be able to see through your union
[00:09:07.600 --> 00:09:12.520]   what it looks like for the church of Christ on bended knee.
[00:09:12.520 --> 00:09:13.760]   That's sermon number one.
[00:09:13.760 --> 00:09:14.600]   - Love.
[00:09:14.600 --> 00:09:17.600]   (audience laughing)
[00:09:17.600 --> 00:09:20.440]   - The second sermon, we talked about sex.
[00:09:20.440 --> 00:09:21.280]   That's it.
[00:09:21.280 --> 00:09:24.280]   (audience laughing)
[00:09:24.280 --> 00:09:27.440]   Next sermon.
[00:09:27.440 --> 00:09:29.160]   We did, I had some good conversation.
[00:09:29.160 --> 00:09:30.760]   I appreciated all the affirmations.
[00:09:30.760 --> 00:09:33.040]   It really felt like, again, I was kind of like,
[00:09:33.040 --> 00:09:36.040]   I don't know, but just as I've been hearing more feedback,
[00:09:36.040 --> 00:09:37.880]   God is doing some good things in that arena,
[00:09:37.880 --> 00:09:39.560]   and I'm so glad.
[00:09:39.560 --> 00:09:41.320]   The other, the next one we talked about
[00:09:41.320 --> 00:09:42.840]   is just the role of friendship
[00:09:42.840 --> 00:09:45.840]   and how that really is what cultivates a happy marriage.
[00:09:45.840 --> 00:09:48.040]   And so now we're gonna talk about
[00:09:49.080 --> 00:09:53.120]   direction, decision-making in light of eternity
[00:09:53.120 --> 00:09:55.120]   when it comes to your marriage.
[00:09:55.120 --> 00:10:00.080]   Decision-making in light of eternity.
[00:10:00.080 --> 00:10:04.920]   I was in the car with my kids just probably a few weeks ago,
[00:10:04.920 --> 00:10:07.280]   and in the back, all of a sudden,
[00:10:07.280 --> 00:10:09.600]   I heard them discussing and asking,
[00:10:09.600 --> 00:10:12.480]   one of my kids, my daughter, asked the question,
[00:10:12.480 --> 00:10:15.000]   well, what's my sign?
[00:10:15.000 --> 00:10:17.840]   I mean, there's some game she was playing on her phone,
[00:10:17.840 --> 00:10:20.320]   and well, the good pastor that I am,
[00:10:20.320 --> 00:10:23.080]   I started casting out all the demons in my car,
[00:10:23.080 --> 00:10:26.000]   and out of the demons, out of my daughter's iPod,
[00:10:26.000 --> 00:10:28.440]   and then I told them, never ever again
[00:10:28.440 --> 00:10:30.120]   ask nobody about your sign,
[00:10:30.120 --> 00:10:31.680]   and don't tell nobody your sign,
[00:10:31.680 --> 00:10:33.560]   'cause that's just devil stuff.
[00:10:33.560 --> 00:10:38.360]   We probably all in this room know our sign.
[00:10:38.360 --> 00:10:40.840]   Orlando Sayre, in his book, Big God,
[00:10:40.840 --> 00:10:43.880]   he writes that over 60% of people in the Western world
[00:10:43.880 --> 00:10:45.720]   read the horoscope.
[00:10:45.720 --> 00:10:47.720]   Women are three times more likely than men
[00:10:47.720 --> 00:10:49.560]   to consult their horoscope,
[00:10:49.560 --> 00:10:52.560]   and only half of those are young adults.
[00:10:52.560 --> 00:10:54.040]   Now, why is this?
[00:10:54.040 --> 00:10:58.600]   Because we all wanna know, especially in life,
[00:10:58.600 --> 00:11:02.160]   what we're supposed to do in life-altering decisions.
[00:11:02.160 --> 00:11:05.800]   What is the best course, the most vital
[00:11:05.800 --> 00:11:08.680]   and vibrant decision that we can make?
[00:11:08.680 --> 00:11:11.480]   And many times, it's because we wanna avoid pain, suffering,
[00:11:11.480 --> 00:11:15.200]   or to maximize our happiness in some area of life.
[00:11:16.400 --> 00:11:20.440]   Should I give more or save for eternity?
[00:11:20.440 --> 00:11:22.280]   Should we adopt a child?
[00:11:22.280 --> 00:11:24.520]   Should I pursue a different vocation?
[00:11:24.520 --> 00:11:25.600]   Should we homeschool?
[00:11:25.600 --> 00:11:26.960]   Should I pursue chemo
[00:11:26.960 --> 00:11:29.800]   or try an alternate alternative cancer treatment?
[00:11:29.800 --> 00:11:32.000]   Should we buy this home or a less expensive one?
[00:11:32.000 --> 00:11:34.480]   Is it time for me to put my elderly parents, perhaps,
[00:11:34.480 --> 00:11:35.480]   in a nursing home?
[00:11:35.480 --> 00:11:37.120]   Should I go to the mission field?
[00:11:37.120 --> 00:11:38.720]   Should I separate from my spouse
[00:11:38.720 --> 00:11:41.680]   while we work on these painful issues?
[00:11:41.680 --> 00:11:44.920]   We all have decisions that we make on a daily basis,
[00:11:44.920 --> 00:11:47.120]   small and large.
[00:11:47.120 --> 00:11:50.720]   And we as Christians can almost have our own
[00:11:50.720 --> 00:11:55.720]   superstitious approaches to hearing the voice of God.
[00:11:55.720 --> 00:11:59.960]   One thing we like to do as God,
[00:11:59.960 --> 00:12:02.680]   I need an answer here, so show me a sign.
[00:12:02.680 --> 00:12:05.800]   Back in the day, when I was, again,
[00:12:05.800 --> 00:12:08.800]   the '90s dad that I am, listened to hip hop,
[00:12:08.800 --> 00:12:12.920]   and one of the icons of hip hop vehicles was the acura.
[00:12:12.920 --> 00:12:15.720]   They call it the ac, and baseballs have got an ac
[00:12:15.720 --> 00:12:17.160]   and something with nicks on the back
[00:12:17.160 --> 00:12:18.720]   or something like that in the back of the day.
[00:12:18.720 --> 00:12:20.480]   I didn't used to listen to baseball.
[00:12:20.480 --> 00:12:23.640]   (audience laughing)
[00:12:23.640 --> 00:12:27.200]   And so acuras were just these prized kind of things
[00:12:27.200 --> 00:12:28.760]   in the hip hop community.
[00:12:28.760 --> 00:12:33.560]   And so I was dating, I started to date a friend
[00:12:33.560 --> 00:12:35.680]   that I had known for years when I was little
[00:12:35.680 --> 00:12:37.040]   and we started dating.
[00:12:37.040 --> 00:12:39.680]   And when I called her, we kind of talked
[00:12:39.680 --> 00:12:40.520]   and said, "Let's meet up."
[00:12:40.520 --> 00:12:43.520]   And she drove up in an acura.
[00:12:43.520 --> 00:12:45.360]   And I said, "Lord, that's a sign.
[00:12:45.360 --> 00:12:46.200]   (audience laughing)
[00:12:46.200 --> 00:12:48.800]   "This is the woman that you want me to marry."
[00:12:48.800 --> 00:12:51.680]   Well, praise the Lord that I did marry that woman.
[00:12:51.680 --> 00:12:54.120]   God had something much better for me.
[00:12:54.120 --> 00:12:57.080]   But we kind of can take those superstitious approaches
[00:12:57.080 --> 00:13:00.600]   to hearing the voice of God when it comes to decision making.
[00:13:00.600 --> 00:13:05.560]   And Orlando Sayre, he gives some real characteristic ones
[00:13:05.560 --> 00:13:06.760]   that we use as Christians.
[00:13:06.760 --> 00:13:09.720]   One, the door.
[00:13:09.720 --> 00:13:12.280]   God opened the door.
[00:13:12.280 --> 00:13:16.240]   If it worked out easily, then we figure that it's the Lord.
[00:13:16.240 --> 00:13:19.040]   Another one that we use is the fleece.
[00:13:19.040 --> 00:13:21.280]   An attempt to basically ask God to kind of jump
[00:13:21.280 --> 00:13:23.760]   through some hoops like Gideon.
[00:13:23.760 --> 00:13:26.320]   And that's held out as a positive model
[00:13:26.320 --> 00:13:27.800]   for decision making.
[00:13:27.800 --> 00:13:31.880]   Another one that we as Christians use is peace.
[00:13:31.880 --> 00:13:34.440]   Well, I just felt peace about it.
[00:13:34.440 --> 00:13:37.520]   I chose to look into some subjective kind of state of mind
[00:13:37.520 --> 00:13:40.600]   to reassure myself that the reason why I'm doing what I'm
[00:13:40.600 --> 00:13:43.400]   doing, even though it's unclear, it affirms it because,
[00:13:43.400 --> 00:13:45.560]   hey, I got peace.
[00:13:45.560 --> 00:13:48.200]   And then we have the whole Russian roulette
[00:13:48.200 --> 00:13:50.600]   when it comes to Bible verses.
[00:13:50.600 --> 00:13:54.040]   We use that to justify a course of decision based
[00:13:54.040 --> 00:13:56.040]   on some verse that we kind of just planned,
[00:13:56.040 --> 00:13:57.960]   and there it is.
[00:13:57.960 --> 00:13:59.880]   Now, if we don't get any of these signs
[00:13:59.880 --> 00:14:02.040]   from these different things, then we end up kind of saying,
[00:14:02.040 --> 00:14:04.200]   well, I'm just waiting on the Lord.
[00:14:04.200 --> 00:14:05.160]   That's the spiritual answer.
[00:14:05.160 --> 00:14:06.080]   I'm waiting on the Lord.
[00:14:06.080 --> 00:14:06.960]   I'm waiting on the Lord.
[00:14:06.960 --> 00:14:09.320]   So here's the danger in some of these approaches.
[00:14:09.320 --> 00:14:11.720]   And I'm not saying they're all entirely biblical,
[00:14:11.720 --> 00:14:13.440]   but the door.
[00:14:13.440 --> 00:14:15.560]   God does indeed close doors.
[00:14:15.560 --> 00:14:18.320]   Paul tried many times to go to Rome.
[00:14:18.320 --> 00:14:21.720]   He was prevented, it says in Romans 1, verse 13.
[00:14:21.720 --> 00:14:24.560]   But he did not give up the first time
[00:14:24.560 --> 00:14:28.400]   because he didn't see the first time failure as a permanent no
[00:14:28.400 --> 00:14:29.960]   to a closed door.
[00:14:29.960 --> 00:14:33.040]   On the other hand, the earthquake in Philippi
[00:14:33.040 --> 00:14:37.440]   gave Paul a literal open door to escape from prison
[00:14:37.440 --> 00:14:38.920]   in Acts chapter 16.
[00:14:38.920 --> 00:14:40.840]   And he could have just stepped and walked out,
[00:14:40.840 --> 00:14:41.800]   but what did he do?
[00:14:41.800 --> 00:14:43.440]   He didn't go through the open door.
[00:14:43.440 --> 00:14:44.600]   He stayed in that prison.
[00:14:44.600 --> 00:14:46.320]   And because he stayed in that prison,
[00:14:46.320 --> 00:14:50.320]   the guard and his entire family came to know the Lord.
[00:14:50.320 --> 00:14:51.920]   So it was actually the opening door
[00:14:51.920 --> 00:14:53.760]   that he should not have gone out of.
[00:14:53.760 --> 00:14:55.280]   What about the fleece?
[00:14:55.280 --> 00:14:57.120]   I'm not saying that God doesn't give us signs
[00:14:57.120 --> 00:14:58.640]   when it comes to decision making,
[00:14:58.640 --> 00:15:01.880]   that he might choose to order events and circumstances
[00:15:01.880 --> 00:15:06.520]   in such a way that we just know, man, this is the hand of God.
[00:15:06.520 --> 00:15:09.840]   But seeking out a display like that
[00:15:09.840 --> 00:15:12.840]   is not the way the scripture advises for us
[00:15:12.840 --> 00:15:14.560]   when it comes to decision making.
[00:15:14.560 --> 00:15:16.760]   It's not the norm.
[00:15:16.760 --> 00:15:22.000]   We are not encouraged to actually imitate Gideon.
[00:15:22.000 --> 00:15:27.840]   In fact, Gideon had already heard from the Lord.
[00:15:27.840 --> 00:15:33.080]   And he demonstrated, actually, a lack of faith in God
[00:15:33.080 --> 00:15:36.160]   by saying, Lord, I'm going to put a fleece out.
[00:15:36.160 --> 00:15:40.240]   So he's actually an example of what we should not do,
[00:15:40.240 --> 00:15:43.160]   not what we actually should do.
[00:15:43.160 --> 00:15:46.120]   And the scriptures do prohibit us from testing God,
[00:15:46.120 --> 00:15:48.160]   Matthew chapter 4, verse 7.
[00:15:48.160 --> 00:15:49.840]   What about peace?
[00:15:49.840 --> 00:15:50.920]   Peace.
[00:15:50.920 --> 00:15:52.160]   Man, I just need a piece of the Lord.
[00:15:52.160 --> 00:15:54.440]   I get that piece, and I know that's your answer, Lord.
[00:15:54.440 --> 00:15:59.240]   But Jesus in Gethsemane, Matthew chapter 26,
[00:15:59.240 --> 00:16:00.720]   when he was in Gethsemane, the Bible
[00:16:00.720 --> 00:16:05.320]   says that he was sorrowful and troubled.
[00:16:05.320 --> 00:16:08.160]   And I bet you every single one of us in this room
[00:16:08.160 --> 00:16:11.120]   are glad that Jesus did look at God the Father and say, God,
[00:16:11.120 --> 00:16:13.040]   you know, I'm really lacking peace right now.
[00:16:13.040 --> 00:16:17.840]   So that must be a sign from you that I should not be here.
[00:16:17.840 --> 00:16:20.520]   You see, we're glad that he stayed in that garden,
[00:16:20.520 --> 00:16:23.280]   because we now have eternal life in our souls
[00:16:23.280 --> 00:16:26.920]   because of his lack of peace.
[00:16:26.920 --> 00:16:29.440]   And what about the will of fortune approach
[00:16:29.440 --> 00:16:30.840]   to hearing from the Lord of God?
[00:16:30.840 --> 00:16:32.320]   We just kind of shh.
[00:16:32.320 --> 00:16:33.000]   OK.
[00:16:33.000 --> 00:16:34.500]   Well, should you ever take your Bible
[00:16:34.500 --> 00:16:36.640]   and just flip it open just to get an answer?
[00:16:36.640 --> 00:16:38.120]   I don't think it's necessarily wrong
[00:16:38.120 --> 00:16:39.600]   if you want to flip your Bible open
[00:16:39.600 --> 00:16:40.920]   and hear what God has to say.
