
[00:00:00.000 --> 00:00:07.000]   [silence]
[00:00:07.000 --> 00:00:11.000]   Hebrews 10, verse 32-39.
[00:00:11.000 --> 00:00:15.000]   Again, this is a continuation of the text that we were looking at last week
[00:00:15.000 --> 00:00:18.000]   about the warning of judgment that's coming.
[00:00:18.000 --> 00:00:22.000]   But again, the conclusion of that, verse 32-39, is going to be a two-part message.
[00:00:22.000 --> 00:00:26.000]   The first part today is going to be focused on verse 32-34,
[00:00:26.000 --> 00:00:29.000]   and then next week it will be 35-39.
[00:00:29.000 --> 00:00:32.000]   Reading out of the NASB.
[00:00:32.000 --> 00:00:37.000]   "But remember the former days when after being enlightened, you endured a great conflict of suffering,
[00:00:37.000 --> 00:00:41.000]   partly by being made a public spectacle through reproaches and tribulations,
[00:00:41.000 --> 00:00:45.000]   and partly by becoming sharers with those who were so treated.
[00:00:45.000 --> 00:00:49.000]   For you showed sympathy to the prisoners and accepted joyfully the seizure of your property,
[00:00:49.000 --> 00:00:53.000]   knowing that you have for yourselves a better possession and a lasting one.
[00:00:53.000 --> 00:00:57.000]   Therefore, do not throw away your confidence, which has a great reward.
[00:00:57.000 --> 00:01:03.000]   For you have need of endurance, so that when you have done the will of God, you may receive what was promised.
[00:01:03.000 --> 00:01:08.000]   For yet in a very little while, he who is coming will come and will not delay.
[00:01:08.000 --> 00:01:13.000]   But my righteous one shall live by faith, and if he shrinks back, my soul has no pleasure in him.
[00:01:13.000 --> 00:01:16.000]   But we are not of those who shrink back to destruction,
[00:01:16.000 --> 00:01:22.000]   but of those who have faith to persevering of the soul." Let's pray.
[00:01:22.000 --> 00:01:27.000]   Gracious God, we pray that you would anoint this time, allow your word to go forth,
[00:01:27.000 --> 00:01:34.000]   and affect our hearts, our lives, our thoughts, that it may overflow in all that we do.
[00:01:34.000 --> 00:01:39.000]   We pray for your blessing over this time. In Jesus' name we pray, amen.
[00:01:39.000 --> 00:01:44.000]   As you guys know, this week, especially in the United States, but all over the world,
[00:01:44.000 --> 00:01:47.000]   there was a remembrance of what happened in 9/11.
[00:01:47.000 --> 00:01:52.000]   So some of you guys probably saw that online or at work or wherever it was.
[00:01:52.000 --> 00:01:55.000]   And it's the 19th anniversary of what took place.
[00:01:55.000 --> 00:01:58.000]   Some of you guys who've been to New York may have seen the monuments, you know,
[00:01:58.000 --> 00:02:03.000]   and the thing that you see all over is that we will never forget, right?
[00:02:03.000 --> 00:02:09.000]   And I think the reason why, when there's these specific things that happen in history,
[00:02:09.000 --> 00:02:16.000]   where whether it is by creating a holiday or monuments or just taking time to remember these things,
[00:02:16.000 --> 00:02:21.000]   is because by remembering, there are certain things that we want to make sure that
[00:02:21.000 --> 00:02:27.000]   whatever it is that we're thinking or doing now, that we wouldn't forget about it going forward.
[00:02:27.000 --> 00:02:33.000]   So obviously when we think about 9/11, one of the first things that we think about are the people who lost their lives.
[00:02:33.000 --> 00:02:39.000]   You know, over 3,000 people were killed that day, and out of the 3,000,
[00:02:39.000 --> 00:02:43.000]   343 of them were firefighters who ran into the building to save lives,
[00:02:43.000 --> 00:02:50.000]   and 71 of them were NYPD law enforcement who went in to basically help the people come down.
[00:02:50.000 --> 00:02:56.000]   And as a result of their sacrifice, obviously, you know, they ended up losing their life.
[00:02:56.000 --> 00:03:03.000]   And so part of the reason why we remember is to remember the people who gave their lives in the context of saving lives.
[00:03:03.000 --> 00:03:09.000]   You know, it's interesting now that even though that was 19 years ago, just even probably a few months ago,
[00:03:09.000 --> 00:03:15.000]   you know, we were praising people, you know, especially the first responders, the police officers and firemen,
[00:03:15.000 --> 00:03:20.000]   you know, they're sacrificing in order to be in the front line to save lives, just like they did in 9/11.
[00:03:20.000 --> 00:03:24.000]   But obviously, the environment has changed drastically overnight,
[00:03:24.000 --> 00:03:31.000]   where even saying Blue Lives Matter or support of the police is happened, you know, became controversial just overnight.
[00:03:31.000 --> 00:03:36.000]   And it is all the more why it's important for us to remember, right?
[00:03:36.000 --> 00:03:41.000]   In order for us to remember the people who've sacrificed, but at the same time, to resolve,
[00:03:41.000 --> 00:03:46.000]   to remember so that stuff like that does not happen again, right?
[00:03:46.000 --> 00:03:51.000]   And the reason why is, again, for us to remember that we have a common enemy.
