
[00:00:00.000 --> 00:00:05.000]   - Hello, everyone.
[00:00:05.000 --> 00:00:11.240]   We're back studying the book of Ephesians.
[00:00:11.240 --> 00:00:14.360]   Today, we're gonna be talking about some practical matters
[00:00:14.360 --> 00:00:17.120]   and some instructions for the home.
[00:00:17.120 --> 00:00:20.120]   Let's take a moment to pray before we jump into the study.
[00:00:20.120 --> 00:00:23.880]   Lord, we thank you for your grace again,
[00:00:23.880 --> 00:00:26.520]   and we do pray that as you give to us
[00:00:26.520 --> 00:00:28.960]   your instruction and your word,
[00:00:28.960 --> 00:00:32.080]   help us, Father God, to have the wisdom
[00:00:32.080 --> 00:00:34.200]   to see how to apply.
[00:00:34.200 --> 00:00:37.120]   And what's more, help us to have courage and strength.
[00:00:37.120 --> 00:00:40.160]   And Father God, help us to also think biblically,
[00:00:40.160 --> 00:00:43.880]   to see, Father Lord, that this fruit of obedience to you
[00:00:43.880 --> 00:00:47.840]   far exceeds any kind of fruit this world has to offer.
[00:00:47.840 --> 00:00:50.840]   We thank you, Lord, and pray for a fruitful time of study.
[00:00:50.840 --> 00:00:52.640]   It's in Christ's name we pray, amen.
[00:00:52.640 --> 00:00:57.880]   Okay, today we're looking at Ephesians chapter five,
[00:00:57.880 --> 00:00:59.240]   verse 22.
[00:00:59.240 --> 00:01:01.640]   I'm gonna read all the way down to verse 33,
[00:01:01.640 --> 00:01:04.200]   as it is one cohesive section.
[00:01:04.200 --> 00:01:08.360]   So let's take a moment to read this together.
[00:01:08.360 --> 00:01:10.040]   And it says, "Be subject,"
[00:01:10.040 --> 00:01:11.720]   oh, sorry, I'm starting from verse 21.
[00:01:11.720 --> 00:01:15.400]   "And be subject to one another in the fear of Christ.
[00:01:15.400 --> 00:01:19.040]   "Wise, be subject to your own husbands as to the Lord.
[00:01:19.040 --> 00:01:21.420]   "For the husband is the head of the wife,
[00:01:21.420 --> 00:01:23.920]   "as Christ also is the head of the church,
[00:01:23.920 --> 00:01:26.520]   "he himself being the savior of the body.
[00:01:26.520 --> 00:01:28.160]   "But as a church is subject to Christ,
[00:01:28.160 --> 00:01:30.400]   "so also the wives ought to be
[00:01:30.400 --> 00:01:32.460]   "to their husbands in everything.
[00:01:32.460 --> 00:01:35.920]   "Furthermore, husbands, love your wives
[00:01:35.920 --> 00:01:38.160]   "just as Christ also loved the church
[00:01:38.160 --> 00:01:40.080]   "and gave himself up for her,
[00:01:40.080 --> 00:01:42.120]   "so that he might sanctify her,
[00:01:42.120 --> 00:01:45.140]   "having cleansed her by the washing of water with the word,
[00:01:45.140 --> 00:01:47.240]   "that he might present to himself the church
[00:01:47.240 --> 00:01:50.200]   "in all her glory, having no spot or wrinkle
[00:01:50.200 --> 00:01:51.600]   "or any such thing,
[00:01:51.600 --> 00:01:54.340]   "but that she would be holy and blameless.
[00:01:54.340 --> 00:01:56.820]   "So husbands ought also to love their own wives
[00:01:56.820 --> 00:01:58.280]   "as their own bodies.
[00:01:58.280 --> 00:02:01.280]   "He who loves his own wife loves himself,
[00:02:01.280 --> 00:02:04.220]   "for no one ever hated his own flesh,
[00:02:04.220 --> 00:02:06.080]   "but nourishes and cherishes it,
[00:02:06.080 --> 00:02:08.400]   "just as Christ also does the church,
[00:02:08.400 --> 00:02:11.040]   "because we are members of his body.
[00:02:11.040 --> 00:02:13.380]   "For this reason, a man shall leave his father and mother
[00:02:13.380 --> 00:02:15.380]   "and shall be joined to his wife,
[00:02:15.380 --> 00:02:18.000]   "and the two shall become one flesh.
[00:02:18.000 --> 00:02:19.220]   "This mystery is great,
[00:02:19.220 --> 00:02:22.640]   "but I am speaking with reference to Christ and the church.
[00:02:22.640 --> 00:02:24.760]   "Nevertheless, each individual among you
[00:02:24.760 --> 00:02:28.500]   "also is to love his own wife, even as himself,
[00:02:28.500 --> 00:02:32.600]   "and the wife must see to it that she respects her husband."
[00:02:32.600 --> 00:02:37.680]   Now, by way of just review in that previous paragraph,
[00:02:37.680 --> 00:02:41.360]   recall that the challenge for the church
[00:02:41.360 --> 00:02:46.320]   was to walk carefully and to walk in wisdom, okay?
[00:02:46.320 --> 00:02:48.600]   To put aside the kind of foolishness
[00:02:48.600 --> 00:02:50.460]   that exists in the world.
[00:02:50.460 --> 00:02:53.040]   At the end of that paragraph, he commanded,
[00:02:53.040 --> 00:02:58.040]   "Be subject to one another in the fear of Christ."
[00:02:58.040 --> 00:03:02.760]   So if you link the two ideas, it is a wisdom of God.
[00:03:02.760 --> 00:03:06.480]   It reflects our wisdom to be able to think like Christ,
[00:03:06.480 --> 00:03:07.760]   to think with the realities
[00:03:07.760 --> 00:03:09.840]   that God has given us in the spirit,
[00:03:09.840 --> 00:03:13.200]   to be able to subject ourselves to one another.
[00:03:13.200 --> 00:03:14.700]   And as you think about that,
[00:03:14.700 --> 00:03:16.980]   it totally makes sense that within the gospel
[00:03:16.980 --> 00:03:19.360]   and our understanding of Jesus Christ,
[00:03:19.360 --> 00:03:21.880]   a huge exhortation is to be able
[00:03:21.880 --> 00:03:25.100]   to love sacrificially like Christ,
[00:03:25.100 --> 00:03:27.100]   where we are willing to mitigate
[00:03:27.100 --> 00:03:29.080]   our own rights and preferences,
[00:03:29.080 --> 00:03:32.820]   where we are willing to reduce or to put down
[00:03:32.820 --> 00:03:35.720]   and subject our own importance
[00:03:35.720 --> 00:03:38.180]   for the sake of somebody else, okay?
[00:03:38.180 --> 00:03:40.140]   And then if you think about it for a moment,
[00:03:40.140 --> 00:03:43.320]   this applies in so many other areas of life.
[00:03:43.320 --> 00:03:45.780]   Where else are we challenged
[00:03:45.780 --> 00:03:47.860]   to practice submission to one another?
[00:03:47.860 --> 00:03:50.140]   Well, if you think about it, obviously in the military,
[00:03:50.140 --> 00:03:54.860]   clear ranking order, in government, it's your workplace.
[00:03:54.860 --> 00:03:57.640]   What's more, even in school or classrooms,
[00:03:57.640 --> 00:04:00.480]   there is need for authority and submission.
[00:04:00.480 --> 00:04:03.500]   What's more, even in communities, in society,
[00:04:03.500 --> 00:04:05.680]   in essentially relationships that we have
[00:04:05.680 --> 00:04:08.260]   amongst neighbors or even friends,
[00:04:08.260 --> 00:04:10.820]   one might think you're supposed to be completely equal.
[00:04:10.820 --> 00:04:13.540]   Well, actually, if you look at most friendships,
[00:04:13.540 --> 00:04:16.420]   a lot of friendships end up looking like siblings,
[00:04:16.420 --> 00:04:19.300]   where you have an individual who is maybe
[00:04:19.300 --> 00:04:23.780]   like providing care, exhorting, encouraging.
[00:04:23.780 --> 00:04:25.100]   And what's more, even in communities,
[00:04:25.100 --> 00:04:27.060]   you have community leaders.
[00:04:27.060 --> 00:04:28.280]   I mean, I think that's kind of funny,
[00:04:28.280 --> 00:04:31.340]   but even in the ideas of games and leisure,
[00:04:31.340 --> 00:04:33.980]   you realize that sometimes in leisure,
[00:04:33.980 --> 00:04:38.060]   there are things like dance classes and you have instructors
[00:04:38.060 --> 00:04:40.820]   and when you think about which classes are the best,
[00:04:40.820 --> 00:04:43.540]   and typically the classes that are the best
[00:04:43.540 --> 00:04:46.460]   are the classes where the instructors are good,
[00:04:46.460 --> 00:04:48.580]   where the individual who is teaching,
[00:04:48.580 --> 00:04:53.500]   the individual who's guiding, when that person is capable,
[00:04:53.500 --> 00:04:56.080]   is able to control the classroom,
[00:04:56.080 --> 00:04:59.280]   is able to direct for the purpose of you learning,
[00:04:59.280 --> 00:05:01.820]   those are actually the most enjoyable times.
[00:05:01.820 --> 00:05:03.620]   You even think about church
[00:05:03.620 --> 00:05:06.100]   and the scripture challenges the believers
[00:05:06.100 --> 00:05:08.740]   to submit to the elders of the church,
[00:05:08.740 --> 00:05:11.540]   that there will be order in the church,
[00:05:11.540 --> 00:05:13.260]   that there will be also this thought,
[00:05:13.260 --> 00:05:15.940]   like if you think about how to conduct oneself
[00:05:15.940 --> 00:05:18.460]   in the household of God, in the book of Titus,
[00:05:18.460 --> 00:05:19.820]   it says actually the younger men
[00:05:19.820 --> 00:05:21.500]   should be respectful to the older,
[00:05:21.500 --> 00:05:23.340]   that the older ladies should be instructing
[00:05:23.340 --> 00:05:25.440]   and setting an example for the younger.
[00:05:25.440 --> 00:05:29.160]   There is so much in terms of submission,
[00:05:29.160 --> 00:05:31.180]   there is so much in terms of authority,
[00:05:31.180 --> 00:05:34.820]   so much in terms of seeing this kind of,
[00:05:34.820 --> 00:05:37.620]   what sounds like almost a bad word, hierarchy.
[00:05:37.620 --> 00:05:42.940]   And we realize that no, that's not a bad term,
[00:05:42.940 --> 00:05:45.900]   but actually embedded into the design of God,
[00:05:45.900 --> 00:05:49.420]   such things exist, authority and submission.
[00:05:49.420 --> 00:05:52.300]   More so here in this passage specifically,
[00:05:52.300 --> 00:05:54.620]   we realize it also applies
[00:05:54.620 --> 00:05:57.780]   to the home between husband and wife.
[00:05:57.780 --> 00:06:00.980]   Now the problem is that sin tends to pervert
[00:06:00.980 --> 00:06:03.220]   and ruin these relationships.
[00:06:03.220 --> 00:06:07.660]   It ruins the relationships amongst teachers and students
[00:06:07.660 --> 00:06:11.340]   in the home between husband and wife, parent and child.
[00:06:11.340 --> 00:06:13.460]   Sin tends to pervert things.
[00:06:13.460 --> 00:06:16.700]   Sin takes something that's good, like authority,
[00:06:16.700 --> 00:06:19.300]   where you need authority in order to make sure
[00:06:19.300 --> 00:06:21.260]   that you are instructing well,
[00:06:21.260 --> 00:06:25.660]   to guide and to protect sometimes even from oneself.
[00:06:25.660 --> 00:06:29.740]   But then that authority is perverted to selfishness,
[00:06:29.740 --> 00:06:33.200]   competition, greed, abuse.
[00:06:33.200 --> 00:06:37.060]   Sometimes our sins causes these relationships
[00:06:37.060 --> 00:06:40.180]   to be completely loveless and authority is practiced
[00:06:40.180 --> 00:06:42.260]   where we essentially simply subjecting people
[00:06:42.260 --> 00:06:47.140]   without any care or consideration of the individuals.
[00:06:47.140 --> 00:06:49.580]   So we realize again, that a massive hindrance
[00:06:49.580 --> 00:06:52.300]   to the idea of authority and submission
[00:06:52.300 --> 00:06:56.220]   is because it a lot of times goes sour.
[00:06:56.220 --> 00:07:00.140]   We're afraid that authority will be abused
[00:07:00.140 --> 00:07:01.860]   and that we won't be loved.
[00:07:01.860 --> 00:07:05.660]   And Satan seeks to pervert the design of God
