
[00:00:00.000 --> 00:00:04.380]   Good morning.
[00:00:04.380 --> 00:00:08.100]   If you can turn your Bibles with me to Hebrews chapter 11.
[00:00:08.100 --> 00:00:11.200]   We're going to be reading from verse 1 through 4.
[00:00:11.200 --> 00:00:14.780]   And main text today is going to be on one verse, verse 4.
[00:00:14.780 --> 00:00:19.220]   Again, I promise we are going to be going faster than just one verse a week.
[00:00:19.220 --> 00:00:22.860]   It's just that we want to make sure that we cover this and set the right foundation before
[00:00:22.860 --> 00:00:27.100]   we get to the other heroes of the faith.
[00:00:27.100 --> 00:00:29.880]   So Hebrews chapter 11, verses 1 through 4.
[00:00:29.880 --> 00:00:34.800]   I want to read all four verses before we get started this morning.
[00:00:34.800 --> 00:00:36.160]   Reading out of the NASV.
[00:00:36.160 --> 00:00:40.600]   Now faith is the assurance of things hoped for, the conviction of things not seen.
[00:00:40.600 --> 00:00:43.440]   For by it the men of old gained approval.
[00:00:43.440 --> 00:00:47.880]   By faith we understand that the worlds were prepared by the word of God, so that what
[00:00:47.880 --> 00:00:51.200]   is seen was not made out of things which are invisible.
[00:00:51.200 --> 00:00:56.400]   By faith Abel offered to God a better sacrifice than Cain, through which he obtained the testimony
[00:00:56.400 --> 00:00:58.120]   that he was righteous.
[00:00:58.120 --> 00:01:03.320]   God testifying about his gifts and through faith, though he is dead, he still speaks.
[00:01:03.320 --> 00:01:04.720]   Let's pray.
[00:01:04.720 --> 00:01:08.360]   Heavenly Father, we pray for your anointing over this time.
[00:01:08.360 --> 00:01:11.200]   May your word have its effect on us.
[00:01:11.200 --> 00:01:16.200]   Help us, Lord God, to hear from you and to glean from this verse, this passage, what
[00:01:16.200 --> 00:01:18.240]   it is that you have desired.
[00:01:18.240 --> 00:01:23.760]   I pray that you would give us eagerness, Lord God, to hear from you, that we may apply all
[00:01:23.760 --> 00:01:24.760]   that you have to say.
[00:01:24.760 --> 00:01:25.760]   In Jesus' name we pray.
[00:01:25.760 --> 00:01:26.760]   Amen.
[00:01:26.760 --> 00:01:30.760]   All right, again, I want to apologize if you are not a Lakers fan.
[00:01:30.760 --> 00:01:36.040]   I'm going to mention this just for today, okay, just for today and then next week maybe
[00:01:36.040 --> 00:01:37.040]   consider it again.
[00:01:37.040 --> 00:01:43.840]   Okay, but again, as you guys know, Lakers won their 17th championship, tying the record
[00:01:43.840 --> 00:01:45.360]   for the Celtics.
[00:01:45.360 --> 00:01:49.280]   So now they're tied, so next year they'll break it, I'm assuming.
[00:01:49.280 --> 00:01:54.960]   Okay, but after every game that happens, and obviously, like, they'll put up the banner
[00:01:54.960 --> 00:01:58.400]   up there, it's the 17th championship banner, and then they'll have the Hall of Famers,
[00:01:58.400 --> 00:02:03.480]   who, jerseys have been retired, and obviously, Kobe's was retired, and then, you know, eventually
[00:02:03.480 --> 00:02:04.480]   other people will get retired.
[00:02:04.480 --> 00:02:09.320]   And the reason why they do that is obviously to venerate, you know, just to kind of honor
[00:02:09.320 --> 00:02:13.360]   that these are the teams that win, won the championship team, and the new people that
[00:02:13.360 --> 00:02:17.560]   have come and that they put, retired their jersey and put it up there to inspire people,
[00:02:17.560 --> 00:02:18.560]   right?
[00:02:18.560 --> 00:02:22.760]   When they look up, this is what Lakers is about, this is what you should aspire for.
[00:02:22.760 --> 00:02:26.400]   But obviously, you can look at that and the new players coming in, maybe get intimidated
[00:02:26.400 --> 00:02:29.200]   and think, "I will never be able to live up to that."
[00:02:29.200 --> 00:02:34.260]   Now, obviously, these guys are Hall of Fame basketball players, so it's not assumed that
[00:02:34.260 --> 00:02:39.480]   every basketball player, in fact, more than 99% of the players that come in and play for
[00:02:39.480 --> 00:02:42.060]   Lakers are not going to have their jerseys retired like that.
[00:02:42.060 --> 00:02:46.360]   But the reason why they do that is not simply to intimidate, but to inspire.
[00:02:46.360 --> 00:02:52.000]   So they're kind of like the Hall of Fame, or, you know, the heroes, basically, of Lakers,
[00:02:52.000 --> 00:02:53.920]   if you're a Lakers fan.
[00:02:53.920 --> 00:02:59.920]   I say all of this because Chapter 11 is a Hall of Fame for people of faith.
[00:02:59.920 --> 00:03:04.240]   And so everything that the author has been saying has been leading up to Chapter 11,
[00:03:04.240 --> 00:03:09.360]   saying that not to drift, but here's some examples of people who live by faith and what
[00:03:09.360 --> 00:03:10.520]   does this faith look like.
[00:03:10.520 --> 00:03:13.880]   And then after he does that, starting from Chapter 12, he's going to point back to them
[00:03:13.880 --> 00:03:19.960]   saying, "Considering the cloud of witnesses, this Hall of Fame people who live by faith,
[00:03:19.960 --> 00:03:24.360]   that we ought to follow that example and continue to persevere in our faith."
[00:03:24.360 --> 00:03:29.320]   So today is the first person in the Hall of Fame, so he's like the first, you know, first
[00:03:29.320 --> 00:03:32.280]   retired jersey that we're looking at today, right?
[00:03:32.280 --> 00:03:38.720]   So we're looking at verse 4, and it starts out of the story between Abel and Kane, how
[00:03:38.720 --> 00:03:45.600]   Abel's offering was acceptable and Kane's offering was not.
[00:03:45.600 --> 00:03:51.560]   Just to kind of, before we even jump into it, that we understand what's going on.
[00:03:51.560 --> 00:03:58.360]   The story of Kane and Abel is the first generation of people who were born into sin.
[00:03:58.360 --> 00:04:00.640]   Now Adam and Eve were not born into sin.
[00:04:00.640 --> 00:04:03.280]   They fell because they chose to sin.
[00:04:03.280 --> 00:04:08.640]   So the first generation of people, the first fruits of Adam and Eve after they fell was
[00:04:08.640 --> 00:04:09.640]   a murderer.
[00:04:09.640 --> 00:04:13.640]   And it is not by accident.
[00:04:13.640 --> 00:04:16.920]   The stories that we see in the Old Testament and New Testament are not a collection of
