
[00:00:00.000 --> 00:00:06.400]   Good morning.
[00:00:06.400 --> 00:00:12.120]   My name is Flora and I'm currently a second year at UCI and this is my testimony.
[00:00:12.120 --> 00:00:17.000]   I was first introduced to church at age four, just a couple months after my father passed
[00:00:17.000 --> 00:00:18.320]   away.
[00:00:18.320 --> 00:00:23.080]   This is when my mom, sister and I began to attend a church back home in San Francisco.
[00:00:23.080 --> 00:00:26.960]   I remember being a difficult child at church and in life.
[00:00:26.960 --> 00:00:31.720]   When I was put in the nursery, that meant I was apart from my sister who was two years
[00:00:31.720 --> 00:00:33.240]   older than me.
[00:00:33.240 --> 00:00:36.960]   I cried and caused so much trouble that the teachers just let me be with the older class
[00:00:36.960 --> 00:00:38.520]   to quiet me down.
[00:00:38.520 --> 00:00:43.280]   This self-serving attitude didn't stop there but continued on into Sunday school classes
[00:00:43.280 --> 00:00:46.840]   where I would bring books to read so I could avoid talking to people.
[00:00:46.840 --> 00:00:50.680]   In learning of the many Bible stories, my heart and heart stopped me from understanding
[00:00:50.680 --> 00:00:53.440]   anything past the point of gaining head knowledge.
[00:00:53.440 --> 00:00:57.680]   I couldn't dwell on the implications of God's love and mercy because I didn't see how his
[00:00:57.680 --> 00:01:01.400]   love, mercy and goodness was real.
[00:01:01.400 --> 00:01:05.400]   At this time, I was realizing how different my life was from my friends in terms of family.
[00:01:05.400 --> 00:01:08.560]   They had both their parents while I only had one.
[00:01:08.560 --> 00:01:13.600]   And while I can say this now that my mother is one of the greatest blessings in my life,
[00:01:13.600 --> 00:01:16.360]   as a clueless child, I didn't see this as enough.
[00:01:16.360 --> 00:01:20.400]   I saw the happiness in my classmates' faces when they saw their fathers pick them up from
[00:01:20.400 --> 00:01:22.800]   school and their joy made me angry.
[00:01:22.800 --> 00:01:26.520]   They would go on and on about how they had fun times with their parents, how they learned
[00:01:26.520 --> 00:01:30.600]   things about their dad and from their dads and the general exuberance that came with
[00:01:30.600 --> 00:01:32.120]   childhood bliss.
